cbsa_code,cbsa_name,i5hgc_density
25780,"Henderson, NC",22.5
25860,"Hickory-Lenoir-Morganton, NC",13.7
25900,"Hilo, HI",5.3
25940,"Hilton Head Island-Bluffton-Beaufort, SC",21.3
26090,"Holland, MI",26.9
26300,"Hot Springs, AR",10.6
26380,"Houma-Thibodaux, LA",9.6
26420,"Houston-The Woodlands-Sugar Land, TX",89.8
26580,"Huntington-Ashland, WV-KY-OH",2.8
26620,"Huntsville, AL",296.8
26740,"Hutchinson, KS",77.8
26820,"Idaho Falls, ID",68.6
26860,"Indiana, PA",45.1
26900,"Indianapolis-Carmel-Anderson, IN",111.4
26960,"Ionia, MI",46.9
26980,"Iowa City, IA",71.1
27060,"Ithaca, NY",39.1
27100,"Jackson, MI",56.1
27140,"Jackson, MS",50.9
27180,"Jackson, TN",7.7
27260,"Jacksonville, FL",93.8
27300,"Jacksonville, IL",24.2
27420,"Jamestown, ND",142.5
27500,"Janesville-Beloit, WI",62.4
27600,"Jefferson, GA",17.4
27620,"Jefferson City, MO",27
27740,"Johnson City, TN",35.4
27780,"Johnstown, PA",6.9
27860,"Jonesboro, AR",8.5
27900,"Joplin, MO",22.9
27980,"Kahului-Wailuku-Lahaina, HI",6.5
28020,"Kalamazoo-Portage, MI",52.2
28060,"Kalispell, MT",65.7
28140,"Kansas City, MO-KS",99.3
28180,"Kapaa, HI",43.7
28420,"Kennewick-Richland, WA",11.1
28500,"Kerrville, TX",80.5
28580,"Key West, FL",13.1
28660,"Killeen-Temple, TX",4.8
28700,"Kingsport-Bristol-Bristol, TN-VA",3.3
28740,"Kingston, NY",11
28940,"Knoxville, TN",62.5
29060,"Laconia, NH",99.7
29100,"La Crosse-Onalaska, WI-MN",67.6
29180,"Lafayette, LA",47.2
29200,"Lafayette-West Lafayette, IN",19.4
29340,"Lake Charles, LA",24.9
29420,"Lake Havasu City-Kingman, AZ",10
29460,"Lakeland-Winter Haven, FL",21.1
29540,"Lancaster, PA",53.6
29620,"Lansing-East Lansing, MI",34.4
29660,"Laramie, WY",55.1
29700,"Laredo, TX",35.9
29820,"Las Vegas-Henderson-Paradise, NV",63
29940,"Lawrence, KS",17.8
30140,"Lebanon, PA",52
30340,"Lewiston-Auburn, ME",65
30460,"Lexington-Fayette, KY",31.8
30620,"Lima, OH",9.4
30700,"Lincoln, NE",85.2
30780,"Little Rock-North Little Rock-Conway, AR",17.1
30860,"Logan, UT-ID",114.1
30940,"London, KY",39.5
30980,"Longview, TX",9.3
31020,"Longview, WA",29.3
31060,"Los Alamos, NM",166.2
31080,"Los Angeles-Long Beach-Anaheim, CA",112.8
31140,"Louisville/Jefferson County, KY-IN",88.3
31180,"Lubbock, TX",30.5
31420,"Macon-Bibb County, GA",25.9
31460,"Madera, CA",13.2
31540,"Madison, WI",96.5
31680,"Malvern, AR",90.8
31700,"Manchester-Nashua, NH",94.8
31740,"Manhattan, KS",66.1
31820,"Manitowoc, WI",61.7
31900,"Mansfield, OH",8.2
31930,"Marietta, OH",16.3
31980,"Marion, IN",71.3
32700,"McPherson, KS",102.6
32780,"Medford, OR",29.3
32820,"Memphis, TN-MS-AR",46.7
32900,"Merced, CA",3.8
