year,stco_code,totalpopulation,Crude prevalence,Age-adjusted prevalence
2018,45071,38520,15.7,14.5
2018,45073,78374,15.6,13.9
2018,45075,86934,16.6,15.4
2018,45077,124937,13.2,13.2
2018,45079,414576,11.1,11.5
2018,45081,20544,16.2,14.7
2018,45083,313888,13.9,13.2
2018,45085,106512,15,14.4
2018,45087,27410,16.9,15.2
2018,45089,30606,18.1,16.4
2018,45091,274118,11.5,10.9
2018,46003,2801,10.6,9.5
2018,46005,18883,12,11
2018,46007,3468,17.5,17.3
2018,46009,6980,11.7,10.8
2018,46011,35232,7.9,9.1
2018,46013,39316,10.3,9.7
2018,46015,5229,12.5,11.2
2018,46017,2036,21.9,22.6
2018,46019,10222,12.7,11.4
2018,46021,1377,11,9.1
2018,46023,9338,14.8,13.7
2018,46025,3739,12.1,10.8
2018,46027,14041,8.9,10.6
2018,46029,28015,11.4,10.5
2018,46031,4165,20.4,19.9
2018,46033,8726,12,9.7
2018,46035,19790,10.8,10.1
2018,46037,5505,13.4,11.5
2018,46039,4337,10.9,9.6
2018,46041,5904,18.1,18
2018,46043,2935,11.4,9.8
2018,46045,3875,10.8,9.3
2018,46047,6758,13,10.9
2018,46049,2330,11.1,9.6
2018,46051,7147,10.9,9.5
2018,46053,4212,13,11.2
2018,46055,1918,13.6,11.7
2018,46057,6111,10.4,9.6
2018,46059,3262,10.9,9.4
2018,46061,3376,9.8,9
2018,46063,1249,10.8,9.6
2018,46065,17650,10.2,9.5
2018,46067,7380,11.4,10
2018,46069,1282,11.7,10.2
2018,46071,3307,19.7,19.2
2018,46073,2043,11.6,9.9
2018,46075,928,11.3,9.6
2018,46077,4919,10.9,9.5
2018,46079,13057,10.5,9.4
2018,46081,25741,10.2,9.4
2018,46083,58807,8.2,8
2018,46085,3821,14.6,13.7
2018,46087,5546,11,9.9
2018,46089,2407,13.1,11.1
2018,46091,5112,10.7,9.8
2018,46093,28294,9.8,9.6
2018,46095,2042,20.3,19.5
2018,46097,2213,11.5,10
2018,46099,192876,9.6,9.4
2018,46101,6579,12,10.8
2018,46102,14309,21.9,23.3
2018,46103,111729,10.9,10.1
2018,46105,2922,11.9,10.2
2018,46107,2207,11.2,9.4
2018,46109,10447,14.7,13.6
2018,46111,2429,11.2,10
2018,46115,6495,10.9,9.7
2018,46117,3022,9.4,8.4
2018,46119,1392,10.6,9
2018,46121,10283,22.6,23.6
2018,46123,5478,13.2,11.8
2018,46125,8424,10.9,9.6
2018,46127,15619,9.6,8.7
2018,46129,5587,11.8,10.5
2018,46135,22869,11,10.2
2018,46137,2742,20.1,20.1
2018,47001,76482,16.2,14.7
2018,47003,49038,17.4,16.5
2018,47005,16184,21,18.5
2018,47007,14755,19.3,17.7
2018,47009,131349,15.6,14.1
2018,47011,106727,16.6,15.6
2018,47013,39583,20,18.1
2018,47015,14462,17.8,16.3
2018,47017,28020,18,16.6
2018,47019,56351,19.4,17.4
2018,47021,40439,15.5,14.3
2018,47023,17276,16.2,15.7
2018,47025,31756,19.2,17.8
2018,47027,7717,22,19.3
2018,47029,35774,21.1,18.9
2018,47031,55700,16.6,15.3
2018,47033,14328,19.2,17.6
2018,47035,59673,18.1,15.5
2018,47037,692587,13.3,13.6
2018,47039,11706,19.3,17
2018,47041,20138,18,16.5
2018,47043,53446,16.6,15.4
2018,47045,37320,17.7,16.4
2018,47047,40507,16.3,14.4
2018,47049,18217,21,18.7
2018,47051,41890,15.9,14.8
2018,47053,49045,17.4,16.1
2018,47055,29503,17.4,15.8
2018,47057,23145,19.4,17.3
2018,47059,69087,18.6,16.8
2018,47061,13346,21,19.1
2018,47063,64569,18.2,16.8
2018,47065,364286,15,14.1
2018,47067,6549,21.2,18.9
2018,47069,25220,19.8,18.7
2018,47071,25776,19.1,17
2018,47073,56530,18.6,16.7
2018,47075,17335,19.3,17.6
2018,47077,27847,18.6,17.1
2018,47079,32358,18.8,16.7
2018,47081,25063,17.8,16.6
2018,47083,8263,19,17.2
2018,47085,18486,17.8,16.1
2018,47087,11758,20.1,17.7
2018,47089,54012,17.5,15.9
2018,47091,17778,19.9,17.9
2018,47093,465289,13.5,13.2
2018,47095,7411,19.3,19
2018,47097,25825,20.4,19.5
2018,47099,43734,18.6,17.1
2018,47101,12086,19,17.1
2018,47103,34117,17.8,16.1
2018,47105,53054,16.3,14.2
2018,47107,53285,17.9,16.3
2018,47109,25832,19.9,18
