cbsa_code,cbsa_name,pop_total,pop_white,pop_black,pop_latino,pop_asian,pct_white,pct_black,pct_latino,pct_asian,pct_edu_hsplus_white,pct_edu_hsplus_black,pct_edu_hsplus_asian,pct_edu_hsplus_latino,pct_edu_baplus_white,pct_edu_baplus_black,pct_edu_baplus_asian,pct_edu_baplus_latino,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus,pct_nocar,med_hh_inc_total,med_hh_inc_white,med_hh_inc_black,med_hh_inc_asian,med_hh_inc_latino,pct_belowpoverty_total,pct_belowpoverty_white,pct_belowpoverty_black,pct_belowpoverty_asian,pct_belowpoverty_latino,pct_edu_hs,pct_edu_somecollege,pct_edu_associate,pct_edu_ba,pct_edu_grad,pct_edu_baplus,pct_edu_hsplus,lfp_total,lfp_white,lfp_black,lfp_asian,lfp_latino,epratio_total,epratio_white,epratio_black,epratio_asian,epratio_latino,unemp_total,unemp_white,unemp_black,unemp_asian,unemp_latino,med_earnings_total,med_earnings_hs,med_earnings_ba,med_earnings_grad,commuter_total,commuter_white,commuter_black,commuter_asian,commuter_latino,publictrans_total,publictrans_white,publictrans_black,publictrans_asian,publictrans_latino,pct_publictrans_total,pct_publictrans_white,pct_publictrans_black,pct_publictrans_asian,pct_publictrans_latino
45380,"Taylorville, IL Micro Area",33231,31605,417,533,212,0.9510697842376095,0.01254852396858355,0.01603924046823749,0.006379585326953748,0.8947970268724986,0.8121019108280255,0.7902097902097902,0.7155688622754491,0.16031138672648107,0.012738853503184714,0.45454545454545453,0.3772455089820359,195,1234,0.05187925670562516,0.1580226904376013,0.052658009900279794,52415,52748,NA,NA,126797,0.13,0.125,0.556,0,0.013000000000000001,0.419,0.21,0.09300000000000001,0.114,0.051,0.165,0.887,0.5710000000000001,0.574,0.20199999999999999,0.6859999999999999,0.495,0.551,0.5539999999999999,0.20199999999999999,0.6859999999999999,0.495,0.034,0.036000000000000004,0,0,0,35765,31637,47971,60269,14727,14123.193000000001,73.635,103.089,191.45100000000002,92,85.00800000000001,6.991999999999999,0,0,0.006247029265974062,0.006019035497142891,0.09495484484280571,0,0
45460,"Terre Haute, IN Metro Area",170313,151705,8231,3338,2233,0.8907423391050595,0.04832866545712893,0.01959920851608509,0.013111154169088679,0.8959585351148452,0.8184580326623623,0.864367816091954,0.8014861995753716,0.20386253573720753,0.13634637295860236,0.5969348659003831,0.17728237791932058,1127,5820,0.05143841972689911,0.1936426116838488,0.06975279955626845,46067,46896,30056,64721,42188,0.17,0.153,0.389,0.223,0.32799999999999996,0.37,0.218,0.098,0.125,0.078,0.203,0.889,0.5870000000000001,0.597,0.424,0.5870000000000001,0.58,0.545,0.557,0.353,0.569,0.532,0.071,0.065,0.165,0.021,0.08199999999999999,33007,30016,42545,57181,74377,68054.955,2454.441,1041.2779999999998,1338.786,590,377.01,136.88,0,80.24,0.007932559796711348,0.005539787661309892,0.05576829917687979,0,0.05993489624181907
45500,"Texarkana, TX-AR Metro Area",150034,99278,36299,8610,1221,0.661703347241292,0.2419384939413733,0.05738699228174947,0.008138155351453671,0.9009602579378987,0.8394846796657381,0.9285714285714286,0.639110365086026,0.20727553094553866,0.10780814763231197,0.5673469387755102,0.06357532522031054,1002,6139,0.06016798816046104,0.16321876527121681,0.07598490674010623,45185,51634,30364,68125,34430,0.183,0.124,0.345,0.048,0.233,0.358,0.26899999999999996,0.067,0.12300000000000001,0.059000000000000004,0.18200000000000002,0.876,0.542,0.54,0.5579999999999999,0.56,0.483,0.502,0.508,0.489,0.5329999999999999,0.442,0.07400000000000001,0.057,0.124,0.048,0.084,33678,30894,46703,54149,58577,40535.28400000001,13414.132999999998,527.193,2577.3880000000004,220,102.96,117.04,0,1.98,0.003755740307629274,0.002540009340997832,0.00872512595484181,0,7.68219608378715e-4
45520,"The Dalles, OR Micro Area",25866,19408,82,4597,183,0.7503286167169257,0.003170184798577283,0.1777236526714606,0.0070749246114590585,0.9174807022337591,1,0.7210884353741497,0.4894760412001791,0.22849921442721496,0.3225806451612903,0.25170068027210885,0.06941334527541423,334,1284,0.07112391292305988,0.2601246105919003,0.0676992012468342,50973,49569,NA,NA,65153,0.134,0.121,0.21100000000000002,0.086,0.149,0.285,0.267,0.102,0.13,0.075,0.20500000000000002,0.859,0.584,0.5479999999999999,0.8590000000000001,0.415,0.7659999999999999,0.5579999999999999,0.528,0.535,0.415,0.73,0.044000000000000004,0.036000000000000004,0.377,0,0.047,33347,31806,52932,51000,11131,8259.202000000001,33.393,55.655,2170.545,42,13.985999999999999,0,0,18.018,0.0037732458898571556,0.001693383937092227,0,0,0.008301140957685742
45540,"The Villages, FL Metro Area",120999,102747,8684,6841,1027,0.8491557781469269,0.07176918817510888,0.056537657336011043,0.008487673451846709,0.9394584791868753,0.7480647431386348,0.7496855345911949,0.7146991937151127,0.340148032558728,0.050809289232934554,0.33962264150943394,0.10709117221418235,2614,9015,0.08321794516754362,0.28996117581808095,0.03232301046928765,55228,56277,29452,NA,46875,0.08800000000000001,0.07400000000000001,0.278,0,0.213,0.302,0.222,0.08,0.17800000000000002,0.133,0.31100000000000005,0.915,0.23600000000000002,0.23199999999999998,0.27699999999999997,0.247,0.251,0.225,0.221,0.261,0.247,0.237,0.047,0.046,0.059000000000000004,0,0.055999999999999994,24968,20402,39480,44868,24403,20791.356,1879.031,195.22400000000002,1317.7620000000002,61,53.00900000000001,0,0,7.9910000000000005,0.002499692660738434,0.0025495691574902576,0,0,0.006064069232532126
45580,"Thomaston, GA Micro Area",26216,17662,7284,600,105,0.6737107110161733,0.27784559047909674,0.022886786695148,0.0040051876716509,0.8360436797863147,0.692967409948542,1,0.6261682242990654,0.15979259957577185,0.07375643224699828,0.6976744186046512,0,130,678,0.03772325154398264,0.19174041297935104,0.1037828302626421,36529,42293,25625,82250,20357,0.223,0.16899999999999998,0.299,0,0.782,0.359,0.207,0.096,0.083,0.055,0.138,0.7999999999999999,0.522,0.513,0.5539999999999999,0.634,0.525,0.479,0.473,0.501,0.634,0.5,0.08199999999999999,0.079,0.09699999999999999,0,0.048,30845,30077,46518,55357,9771,6761.532000000001,2687.025,48.855,68.39699999999999,45,0,45,0,0,0.00460546515198035,0,0.016747146007201272,0,0
45620,"Thomasville, GA Micro Area",44730,25758,16234,1651,58,0.5758551307847083,0.3629331544824503,0.03691035099485804,0.0012966689023027052,0.8830762593032035,0.7431969552806851,0.52,0.5894495412844036,0.2904756768417646,0.13282588011417698,0.52,0.11123853211009174,332,1983,0.06516381321678552,0.16742309631870902,0.07238358690640849,40112,53373,26815,NA,38015,0.20800000000000002,0.11599999999999999,0.331,0.528,0.365,0.309,0.218,0.069,0.129,0.10099999999999999,0.22999999999999998,0.8260000000000001,0.579,0.594,0.542,0.33299999999999996,0.71,0.531,0.5579999999999999,0.475,0.16,0.643,0.081,0.057999999999999996,0.122,0,0.07200000000000001,31616,29800,41737,60116,18129,11385.011999999999,5746.892999999999,18.129,670.773,20,19,0,0,1,0.0011032048099729715,0.0016688607794177119,0,0,0.0014908173107742858
45660,"Tiffin, OH Micro Area",55475,49919,1407,2794,317,0.8998467778278504,0.025362776025236594,0.050365029292474085,0.005714285714285714,0.9175708127188034,0.8429752066115702,0.6824644549763034,0.8280675973548861,0.15516592888348812,0,0.4312796208530806,0.115356355620867,281,1489,0.04013477088948787,0.18871725990597715,0.0654443007574358,49936,51471,18125,NA,39583,0.147,0.126,0.52,0.488,0.207,0.461,0.19699999999999998,0.102,0.098,0.054000000000000006,0.15200000000000002,0.912,0.613,0.623,0.39,0.408,0.595,0.583,0.595,0.316,0.39799999999999996,0.55,0.049,0.046,0.19,0.025,0.076,33905,31560,41924,56804,25369,23593.17,355.166,126.845,1040.129,133,127.015,5.985,0,0,0.005242618944380937,0.005383549561165372,0.0168512751783673,0,0
45700,"Tifton, GA Micro Area",40510,22753,12154,4661,576,0.5616637867193286,0.30002468526289805,0.11505801036781042,0.014218711429276722,0.8706685882574096,0.7513912075681691,0.8514851485148515,0.6187290969899666,0.2162416191490695,0.08695047301057318,0.1311881188118812,0.051600573339703776,160,907,0.0351686700271423,0.17640573318632854,0.11568601407889494,42790,53429,26992,NA,41690,0.247,0.154,0.38799999999999996,0.009000000000000001,0.34299999999999997,0.345,0.188,0.12,0.08900000000000001,0.076,0.165,0.818,0.595,0.593,0.552,0.76,0.7170000000000001,0.5770000000000001,0.5770000000000001,0.531,0.76,0.691,0.028999999999999998,0.026000000000000002,0.037000000000000005,0,0.03,29780,27111,41174,57154,17959,10649.687,4795.053,377.139,2029.3670000000002,46,0,39.007999999999996,0,6.991999999999999,0.002561389832396013,0,0.008135050853452506,0,0.0034454093320725127
45740,"Toccoa, GA Micro Area",25676,21210,2876,843,84,0.8260632497273719,0.11201121670042062,0.03283221685620813,0.003271537622682661,0.856873949579832,0.714134462678666,NaN,0.5925925925925926,0.2512268907563025,0.036527263102170464,NaN,0,234,1107,0.06404396875903963,0.21138211382113822,0.0740388677651035,43416,45905,26410,NA,39583,0.162,0.146,0.259,0,0.306,0.36700000000000005,0.19399999999999998,0.053,0.125,0.096,0.221,0.8350000000000001,0.551,0.563,0.431,0.8690000000000001,0.649,0.5,0.514,0.386,0.75,0.5770000000000001,0.091,0.086,0.105,0.13699999999999998,0.111,30572,25177,37159,60320,10161,8850.231,884.007,60.965999999999994,274.347,0,NA,NA,NA,NA,0,NA,NA,NA,NA
45780,"Toledo, OH Metro Area",604620,450597,84113,40970,9683,0.745256524759353,0.13911713142138865,0.06776156925010751,0.016015017697065925,0.9266841025024747,0.8121098142618947,0.8822833481218575,0.7859595761381476,0.2938296748648828,0.1363371980301679,0.5593019816622301,0.14398547880690737,5732,16310,0.04070610491742725,0.35144083384426733,0.08658455758275628,50428,56954,26340,60050,41027,0.172,0.12300000000000001,0.355,0.183,0.263,0.308,0.226,0.099,0.163,0.107,0.27,0.903,0.643,0.644,0.607,0.647,0.71,0.599,0.611,0.514,0.617,0.6509999999999999,0.067,0.049,0.155,0.042,0.08199999999999999,36903,30526,50619,63459,282627,222992.703,32219.478000000003,4804.659,17522.874,3499,1168.666,1759.9969999999998,241.431,192.445,0.012380275062184434,0.0052408261986940435,0.05462524873928745,0.050249351722983886,0.010982502071292644
45820,"Topeka, KS Metro Area",233260,182301,14524,23573,2634,0.7815356254822944,0.06226528337477493,0.10105890422704278,0.011292120380691075,0.9435326016588346,0.8743763166648187,0.8871554862194487,0.7673292999135696,0.3075698606975026,0.12795210111985808,0.5689027561102444,0.13569576490924806,1549,6715,0.04241463383822433,0.23067758749069248,0.06583467639324794,56125,59468,32581,83504,44815,0.12,0.09699999999999999,0.248,0.064,0.20800000000000002,0.331,0.239,0.069,0.184,0.10099999999999999,0.285,0.9239999999999999,0.633,0.627,0.628,0.648,0.703,0.602,0.599,0.573,0.61,0.664,0.047,0.042,0.08,0.057999999999999996,0.055,38774,31225,46842,58027,109250,88274,6445.75,1311,10050.999999999998,844,400.9,331.69199999999995,28.695999999999998,109.72,0.007725400457665904,0.004541541110632802,0.05145902338750338,0.021888634630053392,0.010916326733658345
45860,"Torrington, CT Micro Area",183031,162898,2863,10941,3361,0.8900022400576951,0.01564215897853369,0.05977675912823511,0.018363009544831204,0.9342577699793667,0.7836624775583483,0.9142724745134384,0.7925020374898125,0.3531949115367744,0.29443447037701975,0.5157553290083411,0.25574572127139367,2175,4897,0.03634083353122774,0.4441494792730243,0.053279630205306336,78314,79615,58380,79355,62727,0.07,0.062,0.14300000000000002,0.064,0.168,0.297,0.183,0.095,0.203,0.14800000000000002,0.35100000000000003,0.9259999999999999,0.6709999999999999,0.665,0.67,0.6779999999999999,0.754,0.635,0.632,0.621,0.6609999999999999,0.6829999999999999,0.052000000000000005,0.049,0.073,0.026000000000000002,0.095,48521,40617,57892,73734,95382,85748.418,1716.876,1716.876,5246.01,1224,966.96,41.61599999999999,68.544,96.696,0.012832609926401208,0.011276709501509405,0.0242393743054245,0.03992367532658153,0.018432294257921734
45900,"Traverse City, MI Micro Area",148400,137346,1241,4294,860,0.9255121293800539,0.008362533692722373,0.028935309973045824,0.005795148247978436,0.947532436987966,0.8594594594594595,0.7310549777117384,0.8023698688108337,0.33908902042256284,0.061621621621621624,0.27191679049034173,0.1320355480321625,2347,6989,0.06442602852112352,0.3358134210902847,0.04674357525183683,59063,59574,NA,68821,45149,0.10300000000000001,0.099,0.348,0.14800000000000002,0.08800000000000001,0.26899999999999996,0.24,0.10300000000000001,0.20199999999999999,0.127,0.32899999999999996,0.9409999999999998,0.613,0.61,0.491,0.7120000000000001,0.716,0.578,0.578,0.45799999999999996,0.652,0.6509999999999999,0.053,0.051,0.068,0.084,0.07400000000000001,32926,26971,41359,55148,70282,65783.95199999999,491.97399999999993,421.69199999999995,1757.05,749,621.67,86.135,0,8.239,0.01065706724339091,0.009450177149588094,0.17508039042713644,0,0.004689109587092001
45940,"Trenton, NJ Metro Area",368762,185755,73089,63371,39522,0.5037259804426704,0.19820100769602075,0.1718479669814135,0.10717481736187569,0.9511989467611426,0.8421758600053654,0.9350644384106467,0.618976651763537,0.5038756823123919,0.18165872180606285,0.7913878159776665,0.14649224485290058,7739,14364,0.0579911422607825,0.5387774993038151,0.11120864228900541,79990,98146,46061,146858,49851,0.114,0.054000000000000006,0.195,0.066,0.217,0.245,0.161,0.055,0.215,0.204,0.419,0.88,0.649,0.639,0.618,0.675,0.71,0.605,0.607,0.539,0.642,0.66,0.068,0.05,0.128,0.049,0.07,49889,31655,66003,91955,176477,94944.62599999999,31236.429,19941.901,29295.182,13335,5093.97,3240.405,3653.79,1453.515,0.07556225457141724,0.0536520097514524,0.10373801051330164,0.1832217500227285,0.04961617920653301
45980,"Troy, AL Micro Area",33403,18765,12661,263,715,0.5617758883932581,0.3790378109750621,0.007873544292428824,0.02140526300032931,0.8525233156105639,0.7269029633933759,0.9365079365079365,0.7676056338028169,0.30881199337575177,0.10647879140034863,0.546031746031746,0.13380281690140844,219,614,0.03188285387890747,0.3566775244299674,0.07785572010045899,34678,48480,21162,50511,NA,0.266,0.185,0.373,0.39,0.32299999999999995,0.33299999999999996,0.18600000000000003,0.055999999999999994,0.14800000000000002,0.08800000000000001,0.23600000000000004,0.8109999999999999,0.5539999999999999,0.552,0.5489999999999999,0.532,0.8420000000000001,0.509,0.523,0.47600000000000003,0.532,0.7659999999999999,0.08,0.051,0.132,0,0.09,30063,26706,43388,57760,13757,8267.957,4759.9220000000005,275.14,137.57,19,19,0,0,0,0.001381115068692302,0.0022980284004863595,0,0,0
46020,"Truckee-Grass Valley, CA Micro Area",99092,84470,601,9281,989,0.8524401566221289,0.006065070843256771,0.09366043676583377,0.009980624066524038,0.9609235434524792,0.8539325842696629,0.8968166849615807,0.7322052602538165,0.38138201252007864,0.3089887640449438,0.4972557628979144,0.18263748390656612,1821,3736,0.04930255882391755,0.4874197002141328,0.04129180520242519,63240,63954,60370,84107,49581,0.114,0.105,0.073,0.07,0.19399999999999998,0.184,0.287,0.105,0.23600000000000002,0.13,0.366,0.942,0.552,0.537,0.648,0.642,0.653,0.515,0.505,0.6459999999999999,0.636,0.584,0.064,0.057,0.003,0.009000000000000001,0.099,37157,30863,44147,65772,42329,36148.966,338.63200000000006,550.277,3851.939,350,298.90000000000003,0,0,51.1,0.00826856292376385,0.00826856292376385,0,0,0.013266046009555188
46060,"Tucson, AZ Metro Area",1019722,531149,32824,376826,28133,0.5208762780444082,0.03218916528230243,0.3695379721139683,0.027588891874452057,0.951644831024712,0.8833879438035819,0.8600958033947724,0.7550335086140952,0.401443423144135,0.25939225279411104,0.5059877121732792,0.15769014274236615,15054,38028,0.05605319363763529,0.3958662038497949,0.0836777606776634,51037,57619,41978,51116,42035,0.17800000000000002,0.11800000000000001,0.281,0.19,0.23600000000000002,0.225,0.251,0.08800000000000001,0.184,0.135,0.319,0.883,0.584,0.5379999999999999,0.615,0.602,0.654,0.5329999999999999,0.499,0.531,0.564,0.595,0.076,0.06,0.10400000000000001,0.055999999999999994,0.084,33780,26405,44721,60067,436164,230294.592,15265.74,14393.412,161380.68,11018,4252.948,1234.0159999999998,264.432,4319.0560000000005,0.02526114030502288,0.01846742454117203,0.08083564897607322,0.018371738403653005,0.02676315405288911
