cbsa_code,cbsa_name,pop_total,pop_white,pop_black,pop_latino,pop_asian,pct_white,pct_black,pct_latino,pct_asian,pct_edu_hsplus_white,pct_edu_hsplus_black,pct_edu_hsplus_asian,pct_edu_hsplus_latino,pct_edu_baplus_white,pct_edu_baplus_black,pct_edu_baplus_asian,pct_edu_baplus_latino,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus,pct_nocar,med_hh_inc_total,med_hh_inc_white,med_hh_inc_black,med_hh_inc_asian,med_hh_inc_latino,pct_belowpoverty_total,pct_belowpoverty_white,pct_belowpoverty_black,pct_belowpoverty_asian,pct_belowpoverty_latino,pct_edu_hs,pct_edu_somecollege,pct_edu_associate,pct_edu_ba,pct_edu_grad,pct_edu_baplus,pct_edu_hsplus,lfp_total,lfp_white,lfp_black,lfp_asian,lfp_latino,epratio_total,epratio_white,epratio_black,epratio_asian,epratio_latino,unemp_total,unemp_white,unemp_black,unemp_asian,unemp_latino,med_earnings_total,med_earnings_hs,med_earnings_ba,med_earnings_grad,commuter_total,commuter_white,commuter_black,commuter_asian,commuter_latino,publictrans_total,publictrans_white,publictrans_black,publictrans_asian,publictrans_latino,pct_publictrans_total,pct_publictrans_white,pct_publictrans_black,pct_publictrans_asian,pct_publictrans_latino
29540,"Lancaster, PA Metro Area",545724,443438,19511,59832,12475,0.8125682579472407,0.03575250492923163,0.10963783890757965,0.022859540720217546,0.8743088455006321,0.8562674474024647,0.745397571484528,0.7254065417671428,0.29937365121119636,0.20031320215156262,0.37798668233450844,0.12010758671860508,4567,12024,0.03253044318129553,0.37982368596141053,0.09755203931588023,67376,70810,35528,73347,56706,0.111,0.08199999999999999,0.19399999999999998,NA,0.259,0.348,0.146,0.08,0.184,0.098,0.28200000000000003,0.856,0.66,0.655,0.705,NA,0.69,0.6409999999999999,0.637,0.67,NA,0.6559999999999999,0.027999999999999997,0.025,0.049,NA,0.05,41166,35716,50465,65144,272559,226496.52899999998,12537.714,NA,26165.664,3940,2391.58,882.56,NA,338.84,0.014455585763082488,0.010559013908773852,0.07039241762892341,NA,0.012949795579428061
29620,"Lansing-East Lansing, MI Metro Area",550391,427820,44385,35407,23951,0.7773019544287606,0.08064267039250278,0.06433063040638383,0.04351633656800347,0.9493849238606189,0.9056464691139614,0.9089497459062676,0.8931973143184302,0.33149758846799976,0.34475895621406455,0.6864765669113495,0.2489460261281424,8349,22020,0.06104119310306592,0.37915531335149866,0.060170300295570155,59117,61831,40781,55038,44489,0.131,0.111,0.257,0.16699999999999998,0.16399999999999998,0.262,0.24,0.09699999999999999,0.19899999999999998,0.141,0.33999999999999997,0.939,0.644,0.634,0.695,0.621,0.723,0.615,0.609,0.6579999999999999,0.594,0.669,0.046,0.039,0.054000000000000006,0.043,0.07400000000000001,40520,31308,51380,66885,272551,214225.08599999998,23984.488,12537.345999999998,17443.264000000003,6955,3428.815,1585.74,632.905,959.79,0.025518159904017963,0.01600566518152781,0.066115232478592,0.05048157720142685,0.055023532293038725
29700,"Laredo, TX Metro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8848094170403588,NA,NA,0.6450628011422107,0.3978419282511211,NA,NA,0.186870029236777,1417,4622,0.0296190915615708,0.3065772392903505,0.05124073055053324,56084,70495,NA,96242,54652,0.205,0.102,NA,NA,0.21100000000000002,0.198,0.179,0.081,0.15,0.052000000000000005,0.202,0.66,0.623,NA,NA,NA,0.616,0.595,NA,NA,NA,0.589,0.045,NA,NA,NA,0.044000000000000004,31866,31143,56976,66974,116198,NA,NA,NA,108877.526,1854,NA,NA,NA,1846.5839999999998,0.01595552419146629,NA,NA,NA,0.01696019433799405
29740,"Las Cruces, NM Metro Area",218195,58241,3423,150033,2467,0.2669217901418456,0.015687802195284036,0.6876097069135406,0.011306400238318935,0.9415032679738562,NA,NA,0.6867989240870597,0.4496965452847806,NA,NA,0.16464052057272396,3427,7457,0.055409833629318096,0.4595681909615127,0.0574759147343667,43038,56633,58643,NA,35424,0.259,0.145,NA,NA,0.308,0.20800000000000002,0.20199999999999999,0.09699999999999999,0.153,0.11900000000000001,0.272,0.779,0.562,0.47700000000000004,NA,NA,0.5870000000000001,0.523,0.439,NA,NA,0.5479999999999999,0.067,0.077,NA,NA,0.065,29557,24658,37665,58442,88582,22145.5,NA,NA,60590.08800000001,104,104,NA,NA,0,0.001174053419430584,0.004696213677722336,NA,NA,0
29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2266715,935092,269990,717278,222607,0.4125317916015026,0.11911069543370031,0.3164394288651198,0.09820687647101643,0.9432420941677295,0.9059978453488117,0.9018999545300188,0.6796345130246091,0.3172669815280421,0.1777862058351472,0.42277297816865334,0.10967528486771046,28052,81875,0.05245213322425425,0.3426198473282443,0.077719341156111,62107,71170,43102,70171,54195,0.128,0.091,0.198,0.09,0.16399999999999998,0.282,0.24,0.085,0.168,0.08800000000000001,0.256,0.863,0.642,0.596,0.636,0.659,0.708,0.604,0.5589999999999999,0.581,0.637,0.672,0.053,0.052000000000000005,0.078,0.033,0.047,38216,32075,50232,65657,1075208,447286.52800000005,121498.504,121498.504,341916.144,31231,7651.595,7901.443,3123.1,10618.54,0.02904647286850544,0.017106696761499597,0.06503325341355644,0.025704843246464992,0.03105597728079199
29860,"Laurel, MS Micro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9024361677207777,0.841745414118955,NA,NA,0.2386097446708831,0.10405780989438577,NA,NA,NA,NA,NA,NA,0.0663601838896662,39213,53341,24952,NA,28060,0.266,0.14300000000000002,0.43700000000000006,NA,NA,0.36,0.20600000000000002,0.115,0.11,0.075,0.185,0.8660000000000001,NA,0.542,NA,NA,NA,NA,0.5329999999999999,NA,NA,NA,NA,0.017,NA,NA,NA,28263,22094,43664,48325,33278,NA,NA,NA,NA,68,NA,NA,NA,NA,0.00204339203077108,NA,NA,NA,NA
29940,"Lawrence, KS Metro Area",122259,95462,3703,7946,6746,0.780817772106757,0.03028815874495947,0.06499317023695597,0.05517794191020702,0.962338545207342,NA,NA,0.7553048616706957,0.48920802175390893,NA,NA,0.4010206822455009,2403,4764,0.06585750228095884,0.5044080604534005,0.04448750721530469,64233,70651,44644,43441,50380,0.157,0.136,NA,NA,0.278,0.209,0.18100000000000002,0.08900000000000001,0.297,0.174,0.471,0.95,0.7340000000000001,0.731,NA,NA,NA,0.696,0.691,NA,NA,NA,0.047,0.049,NA,NA,NA,41294,30627,46222,58816,69400,55103.6,NA,NA,NA,1041,642.297,NA,NA,NA,0.015,0.011656171284634762,NA,NA,NA
30020,"Lawton, OK Metro Area",126043,71228,17055,16856,3027,0.5651087327340669,0.13531096530549097,0.1337321390319177,0.0240156137191276,0.9118944505992547,0.9363099146421536,0.8555596601403768,0.899814065405228,0.2385940175244234,0.18097504924491137,0.29109715552271886,0.16876298807831128,2456,9157,0.11176887022751684,0.268210112482254,0.08267047385954178,51332,54142,42371,48686,55499,0.17800000000000002,0.14800000000000002,0.248,NA,0.099,0.342,0.284,0.071,0.12300000000000001,0.08199999999999999,0.20500000000000002,0.9019999999999999,0.622,0.5920000000000001,0.738,NA,0.722,0.489,0.46799999999999997,0.5720000000000001,NA,0.5589999999999999,0.063,0.055999999999999994,0.096,NA,0.052000000000000005,31514,29642,31421,41051,58459,32912.416999999994,9938.03,NA,NA,675,130.275,0,NA,NA,0.011546553995107683,0.003958232541839757,0,NA,NA
30100,"Lebanon, NH-VT Micro Area",216986,201344,1944,4489,3920,0.9279123998783332,0.00895910335229001,0.020687970652484493,0.018065681656881088,0.9273019820083376,0.9598583234946871,NA,NA,0.3673131519982979,0.5678866587957497,NA,NA,3776,8093,0.050791399415079895,0.46657605337946373,0.061556407265455755,61321,61342,87113,NA,112745,0.092,0.092,NA,NA,NA,0.29100000000000004,0.163,0.09699999999999999,0.212,0.165,0.377,0.928,0.612,0.613,NA,NA,NA,0.598,0.598,NA,NA,NA,0.023,0.023,NA,NA,NA,40970,32896,46850,65178,108675,101502.45,NA,NA,NA,856,727.6,NA,NA,NA,0.007876696572348746,0.00716829987847584,NA,NA,NA
30140,"Lebanon, PA Metro Area",141793,114824,2811,20058,1445,0.8098002017024818,0.019824673996600678,0.14145973355525307,0.010190912104264668,0.8912184491594425,NA,NA,0.6416682794658409,0.2234182671583888,NA,NA,0.0796400232243081,1068,5516,0.05618366640184155,0.19361856417693982,0.09314717513599821,61204,67718,NA,69691,30809,0.115,0.081,NA,NA,0.322,0.442,0.139,0.077,0.13699999999999998,0.07200000000000001,0.209,0.8669999999999999,0.6509999999999999,0.639,NA,NA,NA,0.635,0.624,NA,NA,NA,0.021,0.018000000000000002,NA,NA,NA,40352,39825,53126,67685,71178,58223.60399999999,NA,NA,8612.537999999999,448,68.992,NA,NA,0,0.006294079631346764,0.0011849489770506135,NA,NA,0
