cbsa_code,cbsa_name,msa,Med inc,Med rent,Med inc (white),Med inc (black),Med inc (non-Hisp white),Med inc (Hispanic),region,Med rent/med inc,Med rent/65% AMI,Med rent/med white inc,Med rent/med black inc,Med inc/med nh white inc,Med rent/med Hisp inc
44060,"Spokane-Spokane Valley, WA Metro Area",44060,51709,713,52822,31152,52886,46244,W,0.1654644,0.2545606,0.161978,0.2746533,0.161782,0.1850186
44140,"Springfield, MA Metro Area",44140,55306,774,59530,38930,64467,26266,NE,0.1679384,0.2583667,0.1560222,0.2385821,0.1440737,0.353613
44700,"Stockton-Lodi, CA Metro Area",44700,57813,902,61661,38122,67768,49205,W,0.1872243,0.2880374,0.1755405,0.2839305,0.1597214,0.2199776
45060,"Syracuse, NY Metro Area",45060,56305,682,59980,30362,60335,36476,NE,0.1453512,0.2236173,0.1364455,0.2695475,0.1356427,0.2243667
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",45300,50567,859,52216,36950,53885,43016,S,0.2038484,0.3136128,0.1974108,0.2789716,0.1912963,0.2396318
45780,"Toledo, OH Metro Area",45780,48284,566,54050,24848,54479,38011,MW,0.1406677,0.2164119,0.1256614,0.2733419,0.1246719,0.1786851
46060,"Tucson, AZ Metro Area",46060,48676,719,51496,36998,54954,39986,W,0.1772537,0.272698,0.167547,0.2332018,0.157004,0.2157755
46140,"Tulsa, OK Metro Area",46140,52210,636,56319,30634,57078,42319,S,0.1461789,0.2248906,0.1355138,0.2491349,0.1337118,0.1803445
46520,"Urban Honolulu, HI Metro Area",46520,80078,1488,82637,72234,84826,66134,W,0.2229826,0.3430502,0.2160776,0.2471966,0.2105015,0.2699973
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",47260,61889,936,71570,44494,72361,53191,S,0.1814862,0.2792096,0.1569373,0.2524385,0.1552217,0.2111635
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",47900,97148,1456,112044,70715,116413,71940,S,0.1798493,0.2766912,0.1559387,0.2470763,0.1500863,0.2428691
48620,"Wichita, KS Metro Area",48620,53953,583,56954,29195,58569,40851,MW,0.1296684,0.1994899,0.122836,0.2396301,0.1194489,0.1712565
49180,"Winston-Salem, NC Metro Area",49180,47099,564,51837,31080,53228,33803,S,0.1436973,0.2210728,0.1305631,0.2177606,0.1271511,0.2002189
49340,"Worcester, MA-CT Metro Area",49340,68311,832,70960,44272,73388,34475,NE,0.1461551,0.224854,0.140699,0.225515,0.136044,0.2896011
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",49660,44947,520,47517,25121,47862,32053,MW,0.1388302,0.2135849,0.1313214,0.2483978,0.1303748,0.1946776
