cbsa_code,period,cbsa_name,Early-Stage VC_Capital Invested ($ M),Early-Stage VC_Capital Invested ($ M) per 1M Residents,Early-Stage VC_Deals per 1M Residents,Early-Stage VC_Number of Deals,Early-Stage VC_Share of Global Capital Invested (%),Early-Stage VC_Share of Global Deals (%),Later-Stage VC_Capital Invested ($ M),Later-Stage VC_Capital Invested ($ M) per 1M Residents,Later-Stage VC_Deals per 1M Residents,Later-Stage VC_Number of Deals,Later-Stage VC_Share of Global Capital Invested (%),Later-Stage VC_Share of Global Deals (%),Pre-VC (Angel/Seed)_Capital Invested ($ M),Pre-VC (Angel/Seed)_Capital Invested ($ M) per 1M Residents,Pre-VC (Angel/Seed)_Deals per 1M Residents,Pre-VC (Angel/Seed)_Number of Deals,Pre-VC (Angel/Seed)_Share of Global Capital Invested (%),Pre-VC (Angel/Seed)_Share of Global Deals (%),Total VC_Capital Invested ($ M),Total VC_Capital Invested ($ M) per 1M Residents,Total VC_Deals per 1M Residents,Total VC_Number of Deals,Total VC_Share of Global Capital Invested (%),Total VC_Share of Global Deals (%)
23540,2015-17,Gainesville,13.71,48.61702,31.914894,9,0.00863708,0.05083597,20.712,73.446808,10.638298,3,0.00655818,0.03327418,33.898037,120.2058,74.468086,21,0.09029046,0.08755837,68.320037,242.26964,117.02128,33,0.01334124,0.06508362
24340,2015-17,Grand Rapids,22.157766,21.142906,8.5877867,9,0.01395904,0.05083597,64.642792,61.682053,10.496183,11,0.02046829,0.12200533,19.083,18.208969,12.40458,13,0.05082928,0.0542028,105.88356,101.03393,31.48855,33,0.02067648,0.06508362
24860,2015-17,Greenville (SC),36.6833,41.450058,11.299435,10,0.0231099,0.05648441,9.698,10.958192,5.6497173,5,0.00307074,0.05545696,10.558,11.929943,16.949152,15,0.02812218,0.06254169,56.9393,64.338188,33.898304,30,0.01111886,0.05916693
25540,2015-17,Hartford,41.449394,34.340839,16.570009,20,0.02611246,0.11296882,157.13901,130.18973,14.084507,17,0.049756,0.18855368,41.326012,34.238617,23.198011,28,0.11007554,0.1167445,239.91441,198.7692,53.852528,65,0.04684944,0.12819502
46520,2015-17,Honolulu,20.257767,20.359564,10.050251,10,0.01276207,0.05648441,18.488001,18.580906,3.0150754,3,0.00585398,0.03327418,21.353024,21.460325,14.070352,14,0.0568757,0.05837225,60.098791,60.400795,27.135679,27,0.01173583,0.05325024
26420,2015-17,Houston,364.13971,53.684166,9.1404982,62,0.22940226,0.35020334,972.58148,143.38515,7.0765147,48,0.3079551,0.53238687,234.51416,34.573811,28.011204,190,0.62464951,0.79219481,1571.2354,231.64313,44.228218,300,0.30682397,0.59166928
26620,2015-17,Huntsville,5.25,11.666667,6.6666665,3,0.00330742,0.01694532,41,91.111115,4.4444447,2,0.01298211,0.02218279,10.006,22.235554,28.888889,13,0.02665188,0.0542028,56.256,125.01334,40,18,0.01098543,0.03550016
26900,2015-17,Indianapolis,134.24478,67.055336,16.983017,34,0.08457209,0.19204699,192.532,96.16983,12.987013,26,0.06096272,0.28837621,109.77006,54.8302,44.955044,90,0.29238239,0.37525017,436.54684,218.05536,74.925072,150,0.08524695,0.29583464
26980,2015-17,Iowa City,39.747002,235.18936,41.42012,7,0.02503998,0.03953909,49.782768,294.5726,35.50296,6,0.01576306,0.06654836,5.3351536,31.568956,29.585798,5,0.01421066,0.02084723,94.864923,561.33093,106.50887,18,0.01852481,0.03550016
27060,2015-17,Ithaca,8,76.190475,19.047619,2,0.00503987,0.01129688,33.185001,316.04764,47.619049,5,0.01050759,0.05545696,7.3369999,69.87619,76.190475,8,0.01954276,0.03335557,48.522001,462.11429,142.85715,15,0.00947516,0.02958346
27260,2015-17,Jacksonville,57.339767,38.769283,5.40906,8,0.03612315,0.04518753,16.738001,11.317107,3.3806627,5,0.00529987,0.05545696,46.081036,31.156887,15.551048,23,0.12274097,0.09589727,120.1588,81.243279,24.340771,36,0.02346409,0.07100031
28020,2015-17,Kalamazoo,79.161766,234.90138,14.836795,5,0.04987066,0.02824221,45.581001,135.2552,8.9020767,3,0.01443262,0.03327418,2.2803066,6.7664886,11.869436,4,0.0060738,0.01667779,127.02307,376.92307,35.608307,12,0.02480451,0.02366677
28140,2015-17,Kansas City,131.15997,62.308777,18.052256,38,0.08262871,0.21464075,158.33269,75.21743,7.6009502,16,0.05013396,0.17746229,59.206074,28.1264,25.653206,54,0.15770069,0.2251501,348.69873,165.6526,51.306412,108,0.06809236,0.21300095
28940,2015-17,Knoxville,19.826767,22.815613,4.6029921,4,0.01249055,0.02259376,21,24.165709,1.150748,1,0.00664937,0.01109139,12.388024,14.255494,20.713463,18,0.03299661,0.07505004,53.214791,61.236813,26.467203,23,0.01039155,0.04536131
29620,2015-17,Lansing,0,0,0,0,0,0,16.405639999999998,34.538189,4.2105265,2,0.00519463,0.02218279,5.369,11.303158,8.4210529,4,0.01430081,0.01667779,21.77464,45.841347,12.631579,6,0.00425206,0.01183339
29820,2015-17,Las Vegas,75.894394,35.185162,6.954103,15,0.04781227,0.08472662,90.815796,42.102825,3.7088549,8,0.02875562,0.08873115,130.34512,60.428894,39.87019,86,0.34718593,0.35857239,297.05531,137.71689,50.53315,109,0.05800766,0.21497319
30460,2015-17,Lexington (KY),17.257999,34.039448,13.806706,7,0.01087227,0.03953909,17.880768,35.267788,7.8895464,4,0.00566171,0.04436557,21.254013,41.921131,45.364891,23,0.05661197,0.09589727,56.39278,111.22836,67.061142,34,0.01101214,0.06705585
30700,2015-17,Lincoln,29.986,91.70031,33.639145,11,0.01889071,0.06213285,133.85899,409.35471,18.348623,6,0.04238469,0.06654836,8.0319996,24.562691,36.697247,12,0.02139395,0.05003336,171.87699,525.61774,88.685013,29,0.03356339,0.0571947
30780,2015-17,Little Rock,19.080767,25.995594,9.5367851,7,0.01202058,0.03953909,12.9,17.574932,2.7247956,2,0.00408461,0.02218279,14.698,20.024523,21.798365,16,0.03914944,0.06671114,46.678766,63.595051,34.059944,25,0.00911523,0.04930578
31080,2015-17,Los Angeles,6058.126,454.54126,40.666267,542,3.8165238,3.0614551,9070.8008,680.58228,20.483192,273,2.8721495,3.0279502,2261.9624,169.71507,78.706482,1049,6.0249396,4.3737493,17390.889,1304.8386,139.85594,1864,3.3960167,3.6762387
31140,2015-17,Louisville,31.122789,24.22007,13.229572,17,0.01960686,0.0960235,151.9628,118.25899,7.003891,9,0.04811702,0.09982254,30.458014,23.702734,24.902723,32,0.08112765,0.13342228,213.5436,166.18179,45.136189,58,0.04169986,0.11438939
31540,2015-17,Madison,160.7038,247.61755,64.714943,42,0.10124085,0.23723452,218.59589,336.81955,50.847458,33,0.0692155,0.36601597,70.745102,109.00632,109.39908,71,0.18843592,0.29603068,450.04478,693.44342,224.96149,146,0.08788278,0.28794573
31700,2015-17,Manchester,24.442768,59.908745,17.156862,7,0.01539856,0.03953909,208.911,512.03674,31.862745,13,0.06614891,0.14418811,19.264036,47.215775,41.666668,17,0.05131149,0.07088059,252.6178,619.16125,90.686272,37,0.0493301,0.07297255
32820,2015-17,Memphis,36.228394,26.915598,21.545319,29,0.02282332,0.16380479,31.447767,23.363869,3.7147102,5,0.00995752,0.05545696,11.519012,8.5579586,21.545319,29,0.03068192,0.12091395,79.195173,58.837425,46.805347,63,0.01546489,0.12425055
33100,2015-17,Miami,615.43433,101.35612,11.034256,67,0.3877139,0.37844556,1589.0865,261.70728,7.246377,44,0.50316332,0.48802132,335.91928,55.322674,40.019764,243,0.89475112,1.0131755,2540.4402,418.38605,58.300396,354,0.49608601,0.69816979
33340,2015-17,Milwaukee,42.677185,27.11384,9.5298605,15,0.02688595,0.08472662,73.45179,46.665688,5.082592,8,0.02325754,0.08873115,34.769012,22.089588,21.601017,34,0.09261039,0.14176117,150.89799,95.869118,36.21347,57,0.0294667,0.11241717
33460,2015-17,Minneapolis,579.75757,163.22003,18.862612,67,0.3652381,0.37844556,934.9917,263.22964,14.076576,50,0.29605278,0.55456967,241.96115,68.11969,45.608109,162,0.64448523,0.67545031,1756.7104,494.56937,78.547295,279,0.34304273,0.55025243
33540,2015-17,Missoula,0,0,0,0,0,0,24.66,212.58621,51.724136,6,0.00780826,0.06654836,6.0504599,52.159138,77.586205,9,0.01611594,0.03752502,30.71046,264.74533,129.31035,15,0.005997,0.02958346
34980,2015-17,Nashville,301.28998,161.46301,33.226151,62,0.18980793,0.35020334,398.26279,213.43129,22.508039,42,0.12610466,0.46583852,167.6301,89.833923,51.446945,96,0.44649779,0.40026684,867.18286,464.72821,107.18114,200,0.16933967,0.39444622
35300,2015-17,New Haven,271.142,316.38507,30.33839,26,0.17081518,0.14685947,293.83389,342.86334,25.670944,22,0.09303862,0.24401066,25.965023,30.297577,24.504084,21,0.069160170000000007,0.08755837,590.94091,689.54602,80.51342,69,0.11539635,0.13608393
35380,2015-17,New Orleans,32.559765,25.637609,5.5118113,7,0.02051214,0.03953909,78.080765,61.480919,4.7244096,6,0.02472324,0.06654836,38.354012,30.200008,26.771654,34,0.10215935,0.14176117,148.99454,117.31853,37.007874,47,0.029095,0.09269486
35620,2015-17,New York,12298.838,609.66827,55.172756,1113,7.7480733,6.286715,18373.736,910.80835,26.768454,540,5.8178011,5.9893522,3090.3948,153.19461,80.999359,1634,8.2315437,6.812875,33762.969,1673.6711,162.94057,3287,6.5930851,6.4827234
36260,2015-17,Ogden,0,0,0,0,0,0,43.445,66.227135,6.0975609,4,0.01375629,0.04436557,2.904,4.4268293,13.719512,9,0.00773506,0.03752502,46.349,70.653961,19.817074,13,0.00905083,0.025639
36420,2015-17,Oklahoma City,36.312534,26.428337,6.5502181,9,0.02287632,0.05083597,39.364895,28.649851,6.5502181,9,0.01246437,0.09982254,26.992023,19.64485,13.828238,19,0.07189568,0.07921948,102.66945,74.723038,26.928675,37,0.02004884,0.07297255
36540,2015-17,Omaha,17.788767,19.2311,6.4864864,6,0.01120664,0.03389065,9.1999998,9.9459457,2.1621621,2,0.00291306,0.02218279,42.816025,46.287594,30.270269,28,0.11404433,0.1167445,69.804791,75.464638,38.918919,36,0.01363117,0.07100031
36740,2015-17,Orlando,98.642578,40.361122,11.456629,28,0.06214327,0.15815635,205.55589,84.106339,4.9099836,12,0.06508656,0.13309672,78.898048,32.282345,28.641571,70,0.21015203,0.29186124,383.09652,156.7498,45.008183,110,0.07480941,0.2169454
37100,2015-17,Oxnard-Ventura,44.635769,52.450962,11.750881,10,0.02811983,0.05648441,224.43188,263.72723,10.575793000000001,9,0.07106339,0.09982254,50.757,59.643948,44.653351,38,0.13519583,0.15843896,319.82465,375.82214,66.980026,57,0.06245396,0.11241717
37340,2015-17,Palm Bay,121.686,210.1658,6.908463,4,0.07666026,0.02259376,20.6,35.578583,3.4542315,2,0.00652272,0.02218279,10.162024,17.550993,22.452505,13,0.02706746,0.0542028,152.44802,263.29538,32.815197,19,0.02976938,0.03747239
37980,2015-17,Philadelphia,1162.9589,191.46507,29.634508,180,0.73264572,1.0167194,1533.4701,252.46461,17.945341,109,0.48555308,1.2089618,288.49023,47.495922,40.994404,249,0.76841959,1.0381921,2984.9192,491.42563,88.574249,538,0.58288197,1.0610603
38060,2015-17,Phoenix,226.30019,48.541439,9.4380093,44,0.14256554,0.24853142,319.79846,68.59684,7.0785069,33,0.10125997,0.36601597,254.61113,54.614143,40.96954,191,0.67817955,0.79636425,800.70978,171.75243,57.486057,268,0.15635911,0.52855792
38300,2015-17,Pittsburgh,241.03458,102.83045,20.904436,49,0.15184798,0.27677361,511.75089,218.32376,23.890785,56,0.16203917,0.62111802,143.20009,61.09219,52.901024,124,0.38142628,0.51701134,895.98555,382.2464,97.696243,229,0.17496414,0.45164088
38860,2015-17,Portland (ME),4.8449998,9.1415091,7.5471697,4,0.00305227,0.02259376,318.50101,600.94531,33.962265,18,0.10084914,0.19964508,15.142024,28.569857,37.735847,20,0.04033214,0.08338892,338.48803,638.65668,79.245285,42,0.06609846,0.0828337
38900,2015-17,Portland (OR),364.25012,150.08246,33.374535,81,0.22947183,0.45752372,534.67059,220.30103,18.541409,45,0.16929639,0.49911267,195.35808,80.493645,56.036259,136,0.52035376,0.56704469,1094.2788,450.87714,107.9522,262,0.21368598,0.51672454
39300,2015-17,Providence,61.879395,38.315414,9.9071207,16,0.03898304,0.09037505,137.92389,85.401787,9.2879257,15,0.04367178,0.16637089,39.385025,24.387012,25.386997,41,0.10490555,0.1709473,239.18831,148.10422,44.582043,72,0.04670765,0.14200063
39340,2015-17,Provo,273.52557,454.36142,64.78405,39,0.17231678,0.2202892,959.74493,1594.2607,29.900331,18,0.30389058,0.19964508,118.63604,197.06984,131.22923,79,0.31599773,0.32938626,1351.9065,2245.6919,225.91362,136,0.2639944,0.26822342
39580,2015-17,Raleigh,171.61301,131.60507,22.239264,29,0.10811348,0.16380479,374.90546,287.50418,28.374233,37,0.11870887,0.41038156,92.788101,71.156517,76.687119,100,0.24714943,0.41694464,639.30656,490.26578,127.30061,166,0.12484099,0.32739034
39900,2015-17,Reno,76.652763,167.36411,19.650656,9,0.04829003,0.05083597,34.926998,76.259819,8.7336245,4,0.01105917,0.04436557,20.25,44.213974,37.117905,17,0.05393769,0.07088059,131.82976,287.83792,65.502182,30,0.02574314,0.05916693
40060,2015-17,Richmond,47.131767,36.764248,7.0202808,9,0.02969227,0.05083597,48.250893,37.637203,7.0202808,9,0.01527801,0.09982254,40.282009,31.421225,21.840874,28,0.10729474,0.1167445,135.66467,105.82268,35.881435,46,0.026492,0.09072262
40140,2015-17,Riverside,15.156767,3.3466034,1.1039965,5,0.00954852,0.02824221,12.08564,2.6685007,0.2207993,1,0.00382676,0.01109139,10.756012,2.3749199,3.3119893,15,0.0286496,0.06254169,37.998419,8.3900242,4.636785,21,0.00742016,0.04141685
40380,2015-17,Rochester,28.970394,26.8493,12.048193,13,0.01825089,0.07342973,151.52289,140.429,12.974977,14,0.04797772,0.15527951,42.401012,39.296581,25.949953,28,0.1129389,0.1167445,222.89429,206.57487,50.973122,55,0.04352582,0.1084727
40900,2015-17,Sacramento,132.97177,57.864132,8.7032204,20,0.08377011,0.11296882,192.7139,83.861572,6.0922542,14,0.06102031,0.15527951,48.849052,21.257202,23.498695,54,0.13011383,0.2251501,374.53472,162.98291,38.29417,88,0.0731375,0.17355633
41540,2015-17,Salisbury (MD),8.1137667,20.284416,10,4,0.00511154,0.02259376,3,7.5,2.5,1,9.4991e-4,0.01109139,10.666153,26.665382,20,8,0.02841025,0.03335557,21.77992,54.449799,32.5,13,0.00425309,0.025639
41620,2015-17,Salt Lake City,359.42358,303.0553,37.099495,44,0.22643118,0.24853142,691.35571,582.9306,32.040474,38,0.21890868,0.42147292,191.4641,161.43684,80.944351,96,0.50998176,0.40026684,1242.2434,1047.4227,150.08432,178,0.24257984,0.35105711
41700,2015-17,San Antonio,74.795181,30.767248,4.9362402,12,0.04711978,0.06778129,87.303894,35.91275,4.1135335,10,0.02764363,0.11091393,63.900047,26.2855,16.865488,41,0.17020351,0.1709473,225.99912,92.9655,25.91526,63,0.04413212,0.12425055
41740,2015-17,San Diego,2538.9375,764.50995,62.631737,208,1.5994905,1.1748757,2928.8801,881.92719,43.360435,144,0.92739128,1.5971607,562.05231,169.24188,104.4866,347,1.4970767,1.4467979,6029.8699,1815.679,210.47878,699,1.1774866,1.3785895
41860,2015-17,San Francisco,24724.424,5276.2319,411.43832,1928,15.575996,10.890194,53141.445,11340.471,207.85318,974,16.826537,10.803017,3942.2878,841.29065,426.37643,1998,10.500637,8.3305538,81808.157,17457.994,1045.668,4900,15.975139,9.663932
41940,2015-17,San Jose,8586.4229,4330.0166,389.81342,773,5.4093108,4.3662447,14869.298,7498.3853,243.06606,482,4.7081672,5.3460516,1401.4232,706.71869,340.89764,676,3.7328165,2.8185457,24857.144,12535.12,973.7771,1931,4.8539944,3.8083781
42020,2015-17,San Luis Obispo,9.3031387,32.873283,7.0671377,2,0.00586083,0.01129688,82.972,293.18729,14.134275,4,0.02627199,0.04436557,6.4694595,22.860281,28.268551,8,0.01723199,0.03335557,98.744598,348.92084,49.469963,14,0.01928241,0.02761123
42200,2015-17,Santa Barbara,94.535004,211.4877,49.217003,22,0.05955556,0.12426571,730.72894,1634.7404,58.165546,26,0.23137568,0.28837621,133.09702,297.7562,120.80537,54,0.35451583,0.2251501,958.36096,2143.9844,228.18791,102,0.18714453,0.20116756
