cbsa_code,cbsa_name,naics2_code,naics2_name,year,cbsa_jobdensity
14860,"Bridgeport, CT",22,Utilities,2004,9070.2939453125
14860,"Bridgeport, CT",23,Construction,2004,3262.9453125
14860,"Bridgeport, CT",31,Manufacturing,2004,4690.8115234375
14860,"Bridgeport, CT",42,Wholesale,2004,5497.59423828125
14860,"Bridgeport, CT",44,Retail,2004,5074.4111328125
14860,"Bridgeport, CT",48,Logistics,2004,4469.3173828125
14860,"Bridgeport, CT",51,Information,2004,6580.5966796875
14860,"Bridgeport, CT",52,Finance,2004,14015.833984375
14860,"Bridgeport, CT",53,Real Estate,2004,8481.4443359375
14860,"Bridgeport, CT",54,Professional,2004,10467.60546875
14860,"Bridgeport, CT",55,Headquarters,2004,10789.84375
14860,"Bridgeport, CT",61,Education,2004,3650.52270507812
14860,"Bridgeport, CT",62,Health Care,2004,8530.2734375
14860,"Bridgeport, CT",71,Arts/Entertainment,2004,3939.06079101562
14860,"Bridgeport, CT",72,Hospitality,2004,6465.89208984375
14860,"Bridgeport, CT",81,Local Services,2004,4469.32080078125
15380,"Buffalo, NY",00,Total,2004,5404.3017578125
15380,"Buffalo, NY",11,Agriculture,2004,168.265991210938
15380,"Buffalo, NY",21,Mining,2004,2225.76123046875
15380,"Buffalo, NY",22,Utilities,2004,1658.11853027344
15380,"Buffalo, NY",23,Construction,2004,3217.34106445312
15380,"Buffalo, NY",31,Manufacturing,2004,2808.1005859375
15380,"Buffalo, NY",42,Wholesale,2004,2499.80810546875
15380,"Buffalo, NY",44,Retail,2004,2655.72998046875
15380,"Buffalo, NY",48,Logistics,2004,2518.58032226562
15380,"Buffalo, NY",51,Information,2004,10052.1279296875
15380,"Buffalo, NY",52,Finance,2004,13293.166015625
15380,"Buffalo, NY",53,Real Estate,2004,5934.0673828125
15380,"Buffalo, NY",54,Professional,2004,10577.57421875
15380,"Buffalo, NY",55,Headquarters,2004,8566.88671875
15380,"Buffalo, NY",61,Education,2004,5962.83544921875
15380,"Buffalo, NY",62,Health Care,2004,7855.25634765625
15380,"Buffalo, NY",71,Arts/Entertainment,2004,8771.16796875
15380,"Buffalo, NY",72,Hospitality,2004,4142.09814453125
15380,"Buffalo, NY",81,Local Services,2004,4254.6123046875
15980,"Cape Coral, FL",00,Total,2004,2459.13403320312
15980,"Cape Coral, FL",11,Agriculture,2004,13010.7216796875
15980,"Cape Coral, FL",21,Mining,2004,418.572387695312
15980,"Cape Coral, FL",22,Utilities,2004,1352.37487792969
15980,"Cape Coral, FL",23,Construction,2004,1269.7119140625
15980,"Cape Coral, FL",31,Manufacturing,2004,2039.90808105469
15980,"Cape Coral, FL",42,Wholesale,2004,1625.57458496094
15980,"Cape Coral, FL",44,Retail,2004,2205.98657226562
15980,"Cape Coral, FL",48,Logistics,2004,1065.09875488281
15980,"Cape Coral, FL",51,Information,2004,3030.40185546875
15980,"Cape Coral, FL",52,Finance,2004,2259.52709960938
15980,"Cape Coral, FL",53,Real Estate,2004,1803.68200683594
15980,"Cape Coral, FL",54,Professional,2004,2660.33862304688
15980,"Cape Coral, FL",55,Headquarters,2004,4080.27197265625
15980,"Cape Coral, FL",61,Education,2004,2405.67529296875
15980,"Cape Coral, FL",62,Health Care,2004,2958.8623046875
15980,"Cape Coral, FL",71,Arts/Entertainment,2004,803.949096679688
15980,"Cape Coral, FL",72,Hospitality,2004,1871.31372070312
15980,"Cape Coral, FL",81,Local Services,2004,1888.44372558594
16700,"Charleston, SC",00,Total,2004,3318.45068359375
16700,"Charleston, SC",11,Agriculture,2004,1189.66040039062
16700,"Charleston, SC",21,Mining,2004,298.526397705078
16700,"Charleston, SC",22,Utilities,2004,12123.4052734375
16700,"Charleston, SC",23,Construction,2004,1331.47937011719
16700,"Charleston, SC",31,Manufacturing,2004,1379.53039550781
16700,"Charleston, SC",42,Wholesale,2004,2074.79516601562
16700,"Charleston, SC",44,Retail,2004,2647.39721679688
16700,"Charleston, SC",48,Logistics,2004,2318.97485351562
16700,"Charleston, SC",51,Information,2004,3103.0107421875
16700,"Charleston, SC",52,Finance,2004,4469.40380859375
16700,"Charleston, SC",53,Real Estate,2004,3342.13745117188
16700,"Charleston, SC",54,Professional,2004,4544.48095703125
16700,"Charleston, SC",55,Headquarters,2004,6011.71337890625
16700,"Charleston, SC",61,Education,2004,3244.69458007812
16700,"Charleston, SC",62,Health Care,2004,4801.59130859375
16700,"Charleston, SC",71,Arts/Entertainment,2004,3822.39135742188
16700,"Charleston, SC",72,Hospitality,2004,5215.11181640625
16700,"Charleston, SC",81,Local Services,2004,2740.9677734375
16740,"Charlotte, NC-SC",00,Total,2004,5610.00830078125
16740,"Charlotte, NC-SC",11,Agriculture,2004,383.473663330078
16740,"Charlotte, NC-SC",21,Mining,2004,1689.4990234375
16740,"Charlotte, NC-SC",22,Utilities,2004,3797.78784179688
16740,"Charlotte, NC-SC",23,Construction,2004,2088.74755859375
16740,"Charlotte, NC-SC",31,Manufacturing,2004,2525.369140625
16740,"Charlotte, NC-SC",42,Wholesale,2004,1891.3271484375
16740,"Charlotte, NC-SC",44,Retail,2004,2083.22387695312
16740,"Charlotte, NC-SC",48,Logistics,2004,2464.48364257812
16740,"Charlotte, NC-SC",51,Information,2004,16811.470703125
16740,"Charlotte, NC-SC",52,Finance,2004,17322.197265625
16740,"Charlotte, NC-SC",53,Real Estate,2004,6744.56591796875
16740,"Charlotte, NC-SC",54,Professional,2004,12793.259765625
16740,"Charlotte, NC-SC",55,Headquarters,2004,18919.578125
16740,"Charlotte, NC-SC",61,Education,2004,2311.80688476562
16740,"Charlotte, NC-SC",62,Health Care,2004,4121.732421875
16740,"Charlotte, NC-SC",71,Arts/Entertainment,2004,4218.1650390625
16740,"Charlotte, NC-SC",72,Hospitality,2004,5149.72412109375
16740,"Charlotte, NC-SC",81,Local Services,2004,4404.92333984375
16860,"Chattanooga, TN-GA",00,Total,2004,4605.57568359375
16860,"Chattanooga, TN-GA",11,Agriculture,2004,69.7487945556641
16860,"Chattanooga, TN-GA",21,Mining,2004,2663.17407226562
16860,"Chattanooga, TN-GA",22,Utilities,2004,6711.7373046875
16860,"Chattanooga, TN-GA",23,Construction,2004,1956.54138183594
16860,"Chattanooga, TN-GA",31,Manufacturing,2004,1601.11291503906
16860,"Chattanooga, TN-GA",42,Wholesale,2004,2699.63940429688
16860,"Chattanooga, TN-GA",44,Retail,2004,3907.9228515625
16860,"Chattanooga, TN-GA",48,Logistics,2004,2932.58276367188
16860,"Chattanooga, TN-GA",51,Information,2004,5729.1669921875
16860,"Chattanooga, TN-GA",52,Finance,2004,14632.423828125
16860,"Chattanooga, TN-GA",53,Real Estate,2004,5486.5234375
16860,"Chattanooga, TN-GA",54,Professional,2004,6795.07470703125
16860,"Chattanooga, TN-GA",55,Headquarters,2004,13499.9951171875
16860,"Chattanooga, TN-GA",61,Education,2004,5825.21875
16860,"Chattanooga, TN-GA",62,Health Care,2004,4183.40576171875
16860,"Chattanooga, TN-GA",71,Arts/Entertainment,2004,7954.95263671875
16860,"Chattanooga, TN-GA",72,Hospitality,2004,4781.376953125
16860,"Chattanooga, TN-GA",81,Local Services,2004,4091.2021484375
16980,"Chicago, IL-IN-WI",00,Total,2004,35228.98828125
16980,"Chicago, IL-IN-WI",11,Agriculture,2004,3774.10302734375
16980,"Chicago, IL-IN-WI",21,Mining,2004,43561.984375
16980,"Chicago, IL-IN-WI",22,Utilities,2004,68548.6953125
16980,"Chicago, IL-IN-WI",23,Construction,2004,8113.5322265625
16980,"Chicago, IL-IN-WI",31,Manufacturing,2004,6466.67041015625
16980,"Chicago, IL-IN-WI",42,Wholesale,2004,10383.826171875
16980,"Chicago, IL-IN-WI",44,Retail,2004,12283.3232421875
16980,"Chicago, IL-IN-WI",48,Logistics,2004,8881.2802734375
16980,"Chicago, IL-IN-WI",51,Information,2004,73397.453125
16980,"Chicago, IL-IN-WI",52,Finance,2004,129462.625
16980,"Chicago, IL-IN-WI",53,Real Estate,2004,57909.07421875
16980,"Chicago, IL-IN-WI",54,Professional,2004,99162.1953125
16980,"Chicago, IL-IN-WI",55,Headquarters,2004,47043.80078125
16980,"Chicago, IL-IN-WI",61,Education,2004,37303.37890625
16980,"Chicago, IL-IN-WI",62,Health Care,2004,23757.685546875
