cbsa,cbsaname,naics,sector,measure,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,cbsa_code
32580,"McAllen, TX",54,Professional,actual job density,3041.93798828125,2833.803466796875,2660.816162109375,2770.48828125,2697.394287109375,2607.00048828125,2496.014892578125,2656.005859375,2508.4521484375,2403.344970703125,2372.7294921875,2420.848388671875,32580
32580,"McAllen, TX",55,Headquarters,actual job density,2032.5777587890625,2201.042724609375,2428.83642578125,2835.406494140625,2564.494873046875,2069.397216796875,2726.9658203125,2873.789794921875,2665.873046875,2718.852294921875,1618.750732421875,2210.785400390625,32580
32580,"McAllen, TX",61,Education,actual job density,2565.01904296875,2463.126220703125,2063.674560546875,1897.590576171875,1582.3074951171875,1870.809326171875,1778.0843505859375,1909.29150390625,1706.9571533203125,1790.605224609375,1524.2218017578125,1324.749755859375,32580
32580,"McAllen, TX",62,Health Care,actual job density,2952.03857421875,2908.439697265625,2764.482666015625,3480.844970703125,3569.046875,3421.774169921875,3232.236083984375,3410.87255859375,3340.814208984375,3216.05908203125,3326.50439453125,3347.683837890625,32580
32580,"McAllen, TX",71,Arts/Entertainment,actual job density,1568.298583984375,1645.672119140625,1510.504150390625,1494.8787841796875,1470.9989013671875,1546.6258544921875,1439.39599609375,1536.5361328125,1482.2239990234375,1911.4632568359375,2024.2900390625,2354.515869140625,32580
32580,"McAllen, TX",72,Hospitality,actual job density,2587.536376953125,2604.8984375,2511.234130859375,2545.4775390625,2455.304931640625,2343.841552734375,2438.093994140625,2585.3681640625,2250.93017578125,2211.33984375,2214.19873046875,2336.20263671875,32580
32580,"McAllen, TX",81,Local Services,actual job density,1975.3583984375,1980.57177734375,1821.5518798828125,1829.2747802734375,1884.123046875,1950.0037841796875,2070.57958984375,1896.5709228515625,1760.1904296875,1781.4853515625,1868.0552978515625,1841.5816650390625,32580
32820,"Memphis, TN-MS-AR",00,Total,actual job density,4039.411865234375,4122.43212890625,4121.30029296875,3698.728759765625,3940.992919921875,4014.111328125,4126,4009.07958984375,3951.838134765625,3909.22216796875,3957.367919921875,3875.352783203125,32820
32820,"Memphis, TN-MS-AR",11,Agriculture,actual job density,377.8176574707031,549.586181640625,653.76568603515625,536.78680419921875,688.06683349609375,632.4967041015625,609.60504150390625,646.04559326171875,500.2345275878906,350.68756103515625,341.42950439453125,266.0530700683594,32820
32820,"Memphis, TN-MS-AR",21,Mining,actual job density,747.1099853515625,658.1107177734375,682.80743408203125,983.6536865234375,643.06878662109375,249.49549865722656,650.6292724609375,661.20013427734375,379.1550598144531,511.2159423828125,419.1711120605469,352.81500244140625,32820
