cbsa,cbsaname,stco_code,county,type,naics,sector,measure,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,cbsa_code
19100,"Dallas, TX",48397,"Rockwall County, Texas",ES,00,Total,actual job density,1324.5430908203125,1095.68359375,1037.9864501953125,841.87939453125,877.49737548828125,833.61090087890625,843.58453369140625,1125.968017578125,1192.2415771484375,1255.2022705078125,1297.16845703125,1266.836181640625,19100
19100,"Dallas, TX",48439,"Tarrant County, Texas",UC,00,Total,actual job density,5312.14599609375,5076.548828125,4794.1845703125,3962.157958984375,3942.760009765625,3836.094482421875,4516.54345703125,4068.4697265625,5178.81982421875,5147.724609375,4670.12109375,5078.98046875,19100
19100,"Dallas, TX",48497,"Wise County, Texas",EX,00,Total,actual job density,494.3473205566406,525.2132568359375,534.76666259765625,444.8901062011719,478.74029541015625,353.8367614746094,193.41952514648437,303.29058837890625,284.5535583496094,314.6011047363281,268.2802429199219,273.4296875,19100
19430,"Dayton, OH",00000,Metro Total,TOTAL,00,Total,actual job density,3417.9208984375,3475.191650390625,3455.11083984375,3380.909912109375,3375.232666015625,3272.052734375,2802.16796875,3169.121337890625,3149.18896484375,3155.47509765625,3042.188232421875,3111.031005859375,19430
19430,"Dayton, OH",39057,"Greene County, Ohio",MS,00,Total,actual job density,1455.3450927734375,1477.4923095703125,1399.7197265625,1482.3277587890625,1544.7406005859375,1610.8309326171875,1526.8797607421875,1609.3753662109375,1668.2034912109375,1804.7158203125,1784.435302734375,1884.6685791015625,19430
19430,"Dayton, OH",39109,"Miami County, Ohio",ES,00,Total,actual job density,1172.6180419921875,1082.5740966796875,975.89678955078125,989.10723876953125,1041.1951904296875,1019.192626953125,1081.5675048828125,1067.79833984375,921.9033203125,918.69195556640625,950.66607666015625,1301.304443359375,19430
19430,"Dayton, OH",39113,"Montgomery County, Ohio",MS,00,Total,actual job density,4179.2158203125,4247.345703125,4253.85693359375,4156.28857421875,4146.3076171875,4012.5400390625,3405.384765625,3887.89013671875,3865.560302734375,3841.583740234375,3689.524658203125,3710.46923828125,19430
19660,"Deltona, FL",00000,Metro Total,TOTAL,00,Total,actual job density,1474.2130126953125,1752.0379638671875,1681.5682373046875,2245.90673828125,2222.17724609375,1940.5172119140625,1658.51708984375,1510.19287109375,1445.0628662109375,1433.505615234375,1420.2550048828125,1473.9005126953125,19660
19660,"Deltona, FL",12035,"Flagler County, Florida",EX,00,Total,actual job density,569.7137451171875,751.13134765625,457.6097106933594,415.052490234375,446.9520568847656,471.7861022949219,501.86163330078125,490.06134033203125,469.3343200683594,451.13104248046875,475.26458740234375,457.3484191894531,19660
19660,"Deltona, FL",12127,"Volusia County, Florida",MS,00,Total,actual job density,1575.2646484375,1868.974365234375,1819.4329833984375,2424.466796875,2400.873291015625,2091.39111328125,1786.931640625,1624.019775390625,1553.9620361328125,1545.43359375,1532.291748046875,1590.770263671875,19660
