"","rank_year_range","cbsa_code","count","prosperity_rank","growth_rank","inclusion_rank","racial_inclusion_rank","value_year","average_annual_wage","output_per_job","output_per_person","employment_at_firms_0_5_years_old","jobs","real_gdp","employment_to_population_ratio","median_income","relative_income_poverty","gap_in_employment_to_population_ratio","gap_in_median_income","gap_in_relative_income_poverty"
"51","2007-2017","31540",3,"10","25","51","48","2017",51481.5992719258,122098.245791033,74039.9155802669,25884,396722.60363986,48439133970.078,0.8166739,38644.18,0.2994731,0.1308448,9783.146,0.0691073
"52","2007-2017","32580",3,"53","12","5","93","2017",33246.1903166169,75756.0186611588,23159.4515972572,29552,263113.57332941,19932436771.147,0.6566091,20983.13,0.2370651,0.072202,24827.4,0.0383202
"53","2007-2017","32820",3,"63","80","53","13","2017",50078.2387822353,118159.198809877,55879.4495660782,49795,637614.56941821,75340026671.9605,0.7081569,30132.85,0.2295251,0.0670074,14158.83,0.0392297
"54","2007-2017","33100",3,"78","40","68","33","2017",52199.2830259935,128684.245321158,54117.8507210195,368891,2590078.6612783,333302317849.032,0.724694,29999.11,0.205865,0.0170305,12804.77,0.0137783
"55","2007-2017","33340",3,"56","66","37","25","2017",51011.7406219941,114729.538106346,62501.8140389026,70513,858694.37792127,98517609353.4237,0.7580451,36969.56,0.2741664,0.1427768,15631.07,0.1254478
"56","2007-2017","33460",3,"35","27","48","44","2017",59670.274683457,131197.848090259,71924.6112933286,157089,1973912.33038822,258973050065.762,0.8171431,39993.64,0.259133,0.0745908,17478.72,0.138703
"57","2007-2017","34980",3,"11",NA,"35","24","2017",52968.1899124958,131529.94534777,67007.1711145045,NA,969495.28578029,127517661953.602,0.7693813,34492.7,0.2523152,0.0055096,9187.279,0.0385312
"58","2007-2017","35300",3,"79","68","66","99","2017",54435.9538394948,138836.294468099,62157.1607861568,31648,385217.6899847,53482196641.0368,0.7323822,40295.42,0.2645318,0.0609544,19902.78,0.0855572
"59","2007-2017","35380",3,"98","49","23","29","2017",49687.7814018593,127962.725858736,57409.7577416524,59525,572363.450876003,73241187356.006,0.690946,32034.37,0.252048,0.102918,12875.76,0.077484
"60","2007-2017","35620",3,"39","19","47","52","2017",74592.2807090981,180992.685727302,84758.9323620592,1064924,9516272.70185308,1722375754421.79,0.7327818,40033.04,0.2527993,0.0579642,21176.11,0.0736205
"61","2007-2017","35840",3,"91","56","78","43","2017",43375.6964702566,106400.34634278,39113.7559827385,45073,295811.52114253,31474448301.7499,0.702071,30032.82,0.235389,0.0084322,7055.416,0.0283045
"62","2007-2017","36260",3,"83","30","10","45","2017",42202.2864339799,102842.841469663,40575.70694764,26080,262510.9423025,26997371223.2678,0.78182,33205.65,0.2724955,0.0229672,6435.164,0.0571162
"63","2007-2017","36420",3,"5","21","58","75","2017",47372.7070759756,117355.526512123,53588.5109442403,61368,631861.21329182,74152405368.4502,0.7209232,31505.84,0.2736642,0.0675429,10948.31,0.0740335
"64","2007-2017","36540",3,"25","18","24","59","2017",48543.5459456141,120898.947020163,65640.7958034189,43317,506733.98309951,61263604976.0637,0.8105074,36021.19,0.2517995,0.0714055,15037.46,0.083192
"65","2007-2017","36740",3,"89","16","84","74","2017",45645.9492038828,102013.939414349,50347.6618685079,140429,1238694.6652638,126364122535.099,0.7316576,30000.17,0.2184245,0.0106278,13181.45,0.0571422
"66","2007-2017","37100",3,"96","91","44","31","2017",54072.6232530492,149730.714749019,58598.2400404526,37483,334306.58823729,50055964402.0756,0.7500346,35188.55,0.2589113,0.0068769,20494.32,0.0430865
"67","2007-2017","37340",3,"94","67","86","6","2017",47628.4875096466,108313.71112428,39905.1517448029,24817,217060.229662847,23510599012.2716,0.6781753,30123.36,0.2375929,0.0113008,3113.926,0.0311639
"68","2007-2017","37980",3,"51","42","52","71","2017",59561.0737321102,146885.485543801,69580.2740346216,258319,2887757.7561702,424169700147.937,0.7223911,39974.32,0.2689167,0.1086533,16447.87,0.0873206
"69","2007-2017","38060",3,"90","57","81","47","2017",51805.6605783955,118246.244484078,51032.0341546142,205072,2044483.74233299,241752524439.629,0.7206532,34997.4,0.2504421,0.0420516,12108.55,0.0678455
"70","2007-2017","38300",3,"7","70","12","96","2017",53177.8526775918,127034.610847233,63101.0182745305,86759,1159037.15315229,147237833708.186,0.745653,35073.52,0.2730671,0.1025146,13983.93,0.1276518
"71","2007-2017","38900",3,"21","17","21","32","2017",56338.5624480484,126537.726880243,62440.6589847588,116464,1210527.7239988,153177426520.323,0.7684245,37925.67,0.2592745,0.0070735,10054.95,0.0666009
"72","2007-2017","39300",3,"33",NA,"42","88","2017",50370.1753174176,116766.130662623,52244.8269863473,56784,725340.79816753,84695238413.7612,0.7402573,37946.48,0.2704651,0.0866073,16641.48,0.1074367
"73","2007-2017","39340",3,"12","2","69","19","2017",41363.1868980325,101125.659665432,41972.1938207258,37348,256365.94019746,25925174818.2168,0.7439737,24981.49,0.332311,0.0172156,917.5332,0.0235662
"74","2007-2017","39580",3,"16","7","20","65","2017",53455.952289972,126540.457166228,59417.3436341309,61059,626889.21391761,79326847721.7118,0.7695627,39983.71,0.2460693,0.0416722,15955.55,0.0995101
"75","2007-2017","40060",3,"81","43","73","95","2017",51731.2103136952,122893.189932419,63478.8233155333,54915,668503.65830226,82154547050.2565,0.745109,36027.73,0.2620494,0.0710532,15547.25,0.1058766
"76","2007-2017","40140",3,"82","37","90","61","2017",44750.4498096892,110297.632777497,36204.1899815152,187054,1503563.0661011,165839446922.627,0.6675425,30006.18,0.2372236,0.0111046,13940.72,0.0540486
"77","2007-2017","40380",3,"17","60","25","94","2017",48247.0707862338,121877.149971489,58795.8721185744,39923,520022.76696903,63378892758.4731,0.7387998,32025.74,0.2758882,0.1504602,12312.52,0.144575
"78","2007-2017","40900",3,"59","64","91","85","2017",56998.1773144123,132530.992854418,57085.4239749819,105533,1001403.4149615,132716988832.652,0.6993064,36466.7,0.2772254,0.0478022,13985.54,0.0723772
"79","2007-2017","41180",3,"64","73","55","79","2017",51257.798968663,116795.878109214,57946.1669162897,105398,1392810.0800469,162674476338.443,0.7600831,35040.82,0.2664171,0.0932077,14879.31,0.109565
"80","2007-2017","41620",3,"32","15","39","83","2017",51364.4764093191,114506.152439605,70980.2911183563,70417,745783.011013241,85396743145.9501,0.7888286,33044.35,0.2592081,0.0430655,10021.16,0.0695538
"81","2007-2017","41700",3,"30","4","26","21","2017",48185.1058654953,113342.404035619,48839.1766654078,107837,1066033.97271911,120826853251.626,0.714288,29989.48,0.2325612,0.0317543,12036.33,0.0413946
"82","2007-2017","41740",3,"46","50","33","23","2017",59411.744971731,146505.370247175,68982.597539255,167505,1571561.37470836,230242181067.808,0.7432559,36071.18,0.2408766,0.0235207,15484.1,0.058665
"83","2007-2017","41860",3,"3","5","17","84","2017",89002.6164669796,216958.185247346,112187.365399317,323835,2444478.9973118,530349727132.019,0.7655267,50536.45,0.2643457,0.0478699,28716.13,0.0860627
"84","2007-2017","41940",3,"1","3","14","100","2017",122925.662240312,279206.061650848,156625.517291406,125190,1121072.72783411,313010301162.735,0.7627929,52890.57,0.280785,0.0182928,28024.05,0.0865914
"85","2007-2017","42540",3,"28","84","15","64","2017",41377.0332152297,101229.519641099,47854.0623101968,18117,262565.608400973,26579390412.7034,0.7387229,30027.15,0.2466854,0.0844151,12043.01,0.1259658
"86","2007-2017","42660",3,"2","11","34","67","2017",71667.7342518589,169225.666534205,90212.1400846598,175204,2061475.08596345,348854495465.823,0.7662879,45436.12,0.2592708,0.0315505,14418.14,0.0709528
