cbsa_code,rank_year_range,count,prosperity_rank,growth_rank,inclusion_rank,racial_inclusion_rank,value_year,average_annual_wage,output_per_job,output_per_person,employment_at_firms_0_5_years_old,jobs,real_gdp,employment_to_population_ratio,median_income,relative_income_poverty,gap_in_employment_to_population_ratio,gap_in_median_income,gap_in_relative_income_poverty
40220,NA,NA,NA,NA,NA,NA,2017,42564.2707808794,93359.5416697238,46874.3061391637,10106,157718.555334964,14724532038.8832,0.7467484,33980.19,0.2560989,0.0256799,10794.94,0.0754374
40260,NA,NA,NA,NA,NA,NA,2017,33677.6517115636,82990.2223152939,25297.6094367909,NA,21695.103454416,1800481458.83529,NA,NA,NA,NA,NA,NA
40300,NA,NA,NA,NA,NA,NA,2017,45052.9462293242,140875.999981573,45241.7916881452,NA,16398.6882739,2310181608.97176,NA,NA,NA,NA,NA,NA
40340,NA,NA,NA,NA,NA,NA,2017,55326.1732722155,103386.970549417,56368.1302181542,7677,119009.536681777,12304035464.0187,0.8259447,40030.06,0.2462749,0.0744406,7859.313,0.0648217
40420,NA,NA,NA,NA,NA,NA,2017,45554.1580892381,104922.94686715,45988.3534227889,9787,148274.963030222,15557446067.7487,0.7127874,32626.25,0.2900276,0.0551255,14554.71,0.1141225
40460,NA,NA,NA,NA,NA,NA,2017,34461.9079810278,86771.2109966316,27656.8513310447,NA,14278.602450025,1238971625.92814,NA,NA,NA,NA,NA,NA
40540,NA,NA,NA,NA,NA,NA,2017,57332.7299189431,159030.036122579,84001.4309501169,NA,22995.1422017138,3656918294.98239,NA,NA,NA,NA,NA,NA
40580,NA,NA,NA,NA,NA,NA,2017,37529.888746072,102497.473172894,40752.9457632301,3907,58342.957833875,5980005755.40486,0.6991752,28080.96,0.2551913,0.06333,7187.693,0.0057001
40620,NA,NA,NA,NA,NA,NA,2017,36919.5521304041,78319.8070598657,34036.0409598369,NA,19444.7442336377,1522908616.70694,NA,NA,NA,NA,NA,NA
40660,NA,NA,NA,NA,NA,NA,2017,40040.8704338249,97455.8644734028,41980.352424092,2370,42048.040549589,4097828141.17289,0.6851032,28801.87,0.2574705,0.094688,8903.854,0.0782097
40700,NA,NA,NA,NA,NA,NA,2017,39540.6541253198,94117.1781185527,33591.4900708841,NA,39047.887374777,3675076971.20507,NA,NA,NA,NA,NA,NA
40740,NA,NA,NA,NA,NA,NA,2017,34040.2725521002,108029.960066069,36820.9447118801,NA,22108.9353196105,2388427399.68082,NA,NA,NA,NA,NA,NA
40760,NA,NA,NA,NA,NA,NA,2017,30361.9566948024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
