"","cbsa_type","cbsa_name","cbsa_code","year","patents_issued"
"115","Metropolitan Statistical Area","Winston-Salem, NC","49180",2000,82
"116","Metropolitan Statistical Area","Kalamazoo-Portage, MI","28020",2000,109
"117","Metropolitan Statistical Area","York-Hanover, PA","49620",2000,83
"118","Metropolitan Statistical Area","Birmingham-Hoover, AL","13820",2000,64
"119","Metropolitan Statistical Area","Baton Rouge, LA","12940",2000,167
"120","Metropolitan Statistical Area","South Bend-Mishawaka, IN-MI","43780",2000,69
"121","Metropolitan Statistical Area","Racine, WI","39540",2000,89
"122","Metropolitan Statistical Area","Kingsport-Bristol-Bristol, TN-VA","28700",2000,126
"123","Metropolitan Statistical Area","Port St. Lucie, FL","38940",2000,43
"124","Metropolitan Statistical Area","Lansing-East Lansing, MI","29620",2000,84
"125","Metropolitan Statistical Area","Erie, PA","21500",2000,103
"126","Metropolitan Statistical Area","Spokane, WA","44060",2000,53
"127","Metropolitan Statistical Area","San Luis Obispo-Paso Robles, CA","42020",2000,73
"128","Metropolitan Statistical Area","Hickory-Lenoir-Morganton, NC","25860",2000,73
"129","Metropolitan Statistical Area","Kingston, NY","28740",2000,78
"130","Metropolitan Statistical Area","Reading, PA","39740",2000,130
"131","Metropolitan Statistical Area","Charlottesville, VA","16820",2000,72
"132","Metropolitan Statistical Area","Columbia, SC","17900",2000,69
"133","Metropolitan Statistical Area","Niles-Benton Harbor, MI","35660",2000,48
"134","Metropolitan Statistical Area","Eugene-Springfield, OR","21660",2000,73
"135","Metropolitan Statistical Area","Evansville, IN-KY","21780",2000,66
"136","Metropolitan Statistical Area","Davenport-Moline-Rock Island, IA-IL","19340",2000,44
"137","Metropolitan Statistical Area","Kennewick-Pasco-Richland, WA","28420",2000,59
"138","Metropolitan Statistical Area","Charleston-North Charleston-Summerville, SC","16700",2000,82
"139","Metropolitan Statistical Area","Ames, IA","11180",2000,65
"140","Metropolitan Statistical Area","Blacksburg-Christiansburg-Radford, VA","13980",2000,42
"141","Metropolitan Statistical Area","Spartanburg, SC","43900",2000,59
"142","Metropolitan Statistical Area","Salinas, CA","41500",2000,54
"143","Metropolitan Statistical Area","Honolulu, HI","26180",2000,52
"144","Metropolitan Statistical Area","State College, PA","44300",2000,56
"145","Metropolitan Statistical Area","Lincoln, NE","30700",2000,83
"146","Metropolitan Statistical Area","Bakersfield-Delano, CA","12540",2000,66
"147","Metropolitan Statistical Area","Iowa City, IA","26980",2000,42
"148","Metropolitan Statistical Area","Elmira, NY","21300",2000,46
"149","Metropolitan Statistical Area","Bloomington, IN","14020",2000,21
"150","Metropolitan Statistical Area","Youngstown-Warren-Boardman, OH-PA","49660",2000,67
"151","Metropolitan Statistical Area","Scranton--Wilkes-Barre, PA","42540",2000,80
"152","Metropolitan Statistical Area","Roanoke, VA","40220",2000,60
"153","Metropolitan Statistical Area","Stockton, CA","44700",2000,56
"154","Metropolitan Statistical Area","Naples-Marco Island, FL","34940",2000,42
"155","Metropolitan Statistical Area","Asheville, NC","11700",2000,59
"156","Metropolitan Statistical Area","Logan, UT-ID","30860",2000,48
"157","Metropolitan Statistical Area","Deltona-Daytona Beach-Ormond Beach, FL","19660",2000,59
"158","Metropolitan Statistical Area","Columbus, IN","18020",2000,60
"159","Metropolitan Statistical Area","Lafayette, LA","29180",2000,56
"160","Metropolitan Statistical Area","Kokomo, IN","29020",2000,44
"161","Metropolitan Statistical Area","College Station-Bryan, TX","17780",2000,44
"162","Metropolitan Statistical Area","Little Rock-North Little Rock-Conway, AR","30780",2000,75
"163","Metropolitan Statistical Area","Tallahassee, FL","45220",2000,31
"164","Metropolitan Statistical Area","Vallejo-Fairfield, CA","46700",2000,37
"165","Metropolitan Statistical Area","Cape Coral-Fort Myers, FL","15980",2000,42
"166","Metropolitan Statistical Area","Fargo, ND-MN","22020",2000,47
"167","Metropolitan Statistical Area","Saginaw-Saginaw Township North, MI","40980",2000,40
"168","Metropolitan Statistical Area","Wilmington, NC","48900",2000,33
"169","Metropolitan Statistical Area","Fresno, CA","23420",2000,58
"170","Metropolitan Statistical Area","Augusta-Richmond County, GA-SC","12260",2000,38
"171","Metropolitan Statistical Area","Chattanooga, TN-GA","16860",2000,60
"172","Metropolitan Statistical Area","Idaho Falls, ID","26820",2000,37
"173","Metropolitan Statistical Area","Elkhart-Goshen, IN","21140",2000,50
"174","Metropolitan Statistical Area","Bend, OR","13460",2000,31
"175","Metropolitan Statistical Area","Fayetteville-Springdale-Rogers, AR-MO","22220",2000,48
"176","Metropolitan Statistical Area","Barnstable Town, MA","12700",2000,50
"177","Metropolitan Statistical Area","Sheboygan, WI","43100",2000,33
"178","Metropolitan Statistical Area","Monroe, MI","33780",2000,38
"179","Metropolitan Statistical Area","Bellingham, WA","13380",2000,41
"180","Metropolitan Statistical Area","Athens-Clarke County, GA","12020",2000,66
"181","Metropolitan Statistical Area","Salem, OR","41420",2000,38
"182","Metropolitan Statistical Area","Santa Fe, NM","42140",2000,30
"183","Metropolitan Statistical Area","Pensacola-Ferry Pass-Brent, FL","37860",2000,52
"184","Metropolitan Statistical Area","Green Bay, WI","24580",2000,45
"185","Metropolitan Statistical Area","Modesto, CA","33700",2000,42
"186","Metropolitan Statistical Area","Flagstaff, AZ","22380",2000,27
"187","Metropolitan Statistical Area","El Paso, TX","21340",2000,29
"188","Metropolitan Statistical Area","Olympia, WA","36500",2000,21
"189","Metropolitan Statistical Area","Eau Claire, WI","20740",2000,36
"190","Metropolitan Statistical Area","Waterloo-Cedar Falls, IA","47940",2000,23
"191","Metropolitan Statistical Area","Lakeland-Winter Haven, FL","29460",2000,39
"192","Metropolitan Statistical Area","Lynchburg, VA","31340",2000,37
"193","Metropolitan Statistical Area","Columbia, MO","17860",2000,22
"194","Metropolitan Statistical Area","Charleston, WV","16620",2000,43
"195","Metropolitan Statistical Area","Sioux City, IA-NE-SD","43580",2000,32
"196","Metropolitan Statistical Area","Florence, SC","22500",2000,42
"197","Metropolitan Statistical Area","Springfield, MO","44180",2000,34
"198","Metropolitan Statistical Area","Napa, CA","34900",2000,21
"199","Metropolitan Statistical Area","Janesville, WI","27500",2000,21
"200","Metropolitan Statistical Area","Bloomington-Normal, IL","14060",2000,22
"201","Metropolitan Statistical Area","Anderson, SC","11340",2000,23
"202","Metropolitan Statistical Area","Lawrence, KS","29940",2000,24
"203","Metropolitan Statistical Area","Jackson, MS","27140",2000,42
"204","Metropolitan Statistical Area","Dubuque, IA","20220",2000,17
"205","Metropolitan Statistical Area","Jackson, MI","27100",2000,34
"206","Metropolitan Statistical Area","Anchorage, AK","11260",2000,31
"207","Metropolitan Statistical Area","Sioux Falls, SD","43620",2000,28
"208","Metropolitan Statistical Area","Johnson City, TN","27740",2000,21
"209","Metropolitan Statistical Area","Fond du Lac, WI","22540",2000,32
"210","Metropolitan Statistical Area","Ocala, FL","36100",2000,19
"211","Metropolitan Statistical Area","Lubbock, TX","31180",2000,31
"212","Metropolitan Statistical Area","Pittsfield, MA","38340",2000,33
"213","Metropolitan Statistical Area","Anderson, IN","11300",2000,11
"214","Metropolitan Statistical Area","Springfield, IL","44100",2000,23
"215","Metropolitan Statistical Area","Utica-Rome, NY","46540",2000,23
"216","Metropolitan Statistical Area","Joplin, MO","27900",2000,29
"217","Metropolitan Statistical Area","Auburn-Opelika, AL","12220",2000,22
"218","Metropolitan Statistical Area","Mankato-North Mankato, MN","31860",2000,17
"219","Metropolitan Statistical Area","Corpus Christi, TX","18580",2000,29
"220","Metropolitan Statistical Area","Panama City-Lynn Haven-Panama City Beach, FL","37460",2000,27
"221","Metropolitan Statistical Area","Gainesville, GA","23580",2000,17
"222","Metropolitan Statistical Area","Beaumont-Port Arthur, TX","13140",2000,30
"223","Metropolitan Statistical Area","Jackson, TN","27180",2000,20
"224","Metropolitan Statistical Area","Shreveport-Bossier City, LA","43340",2000,13
"225","Metropolitan Statistical Area","Battle Creek, MI","12980",2000,24
"226","Metropolitan Statistical Area","Prescott, AZ","39140",2000,16
"227","Metropolitan Statistical Area","Bay City, MI","13020",2000,22
"228","Metropolitan Statistical Area","Medford, OR","32780",2000,18
"229","Metropolitan Statistical Area","Parkersburg-Marietta-Vienna, WV-OH","37620",2000,30
"230","Metropolitan Statistical Area","Mobile, AL","33660",2000,26
"231","Metropolitan Statistical Area","Savannah, GA","42340",2000,15
"232","Metropolitan Statistical Area","Houma-Bayou Cane-Thibodaux, LA","26380",2000,17
"233","Metropolitan Statistical Area","Duluth, MN-WI","20260",2000,15
"234","Metropolitan Statistical Area","La Crosse, WI-MN","29100",2000,29
"235","Metropolitan Statistical Area","Morgantown, WV","34060",2000,14
"236","Metropolitan Statistical Area","Manhattan, KS","31740",2000,12
"237","Metropolitan Statistical Area","Longview, TX","30980",2000,27
"238","Metropolitan Statistical Area","Glens Falls, NY","24020",2000,26
"239","Metropolitan Statistical Area","Muskegon-Norton Shores, MI","34740",2000,28
"240","Metropolitan Statistical Area","Greenville, NC","24780",2000,21
"241","Metropolitan Statistical Area","Tyler, TX","46340",2000,10
"242","Metropolitan Statistical Area","Midland, TX","33260",2000,16
"243","Metropolitan Statistical Area","Williamsport, PA","48700",2000,16
"244","Metropolitan Statistical Area","Decatur, IL","19500",2000,17
"245","Metropolitan Statistical Area","Sebastian-Vero Beach, FL","42680",2000,16
"246","Metropolitan Statistical Area","Sherman-Denison, TX","43300",2000,18
"247","Metropolitan Statistical Area","Coeur d'Alene, ID","17660",2000,14
"248","Metropolitan Statistical Area","San Juan-Caguas-Guaynabo, PR","41980",2000,18
"249","Metropolitan Statistical Area","Burlington, NC","15500",2000,15
"250","Metropolitan Statistical Area","Punta Gorda, FL","39460",2000,16
"251","Metropolitan Statistical Area","Hagerstown-Martinsburg, MD-WV","25180",2000,12
"252","Metropolitan Statistical Area","St. Cloud, MN","41060",2000,23
"253","Metropolitan Statistical Area","Gulfport-Biloxi, MS","25060",2000,19
"254","Metropolitan Statistical Area","Macon, GA","31420",2000,20
"255","Metropolitan Statistical Area","Atlantic City-Hammonton, NJ","12100",2000,19
"256","Metropolitan Statistical Area","Crestview-Fort Walton Beach-Destin, FL","18880",2000,18
"257","Metropolitan Statistical Area","Montgomery, AL","33860",2000,15
"258","Metropolitan Statistical Area","Killeen-Temple-Fort Hood, TX","28660",2000,14
"259","Metropolitan Statistical Area","Myrtle Beach-North Myrtle Beach-Conway, SC","34820",2000,5
"260","Metropolitan Statistical Area","St. George, UT","41100",2000,6
"261","Metropolitan Statistical Area","Amarillo, TX","11100",2000,22
"262","Metropolitan Statistical Area","Wausau, WI","48140",2000,17
"263","Metropolitan Statistical Area","Grand Junction, CO","24300",2000,10
"264","Metropolitan Statistical Area","Springfield, OH","44220",2000,17
"265","Metropolitan Statistical Area","Lebanon, PA","30140",2000,15
"266","Metropolitan Statistical Area","Chico, CA","17020",2000,15
"267","Metropolitan Statistical Area","Redding, CA","39820",2000,15
"268","Metropolitan Statistical Area","Winchester, VA-WV","49020",2000,4
"269","Metropolitan Statistical Area","Waco, TX","47380",2000,13
"270","Metropolitan Statistical Area","Las Cruces, NM","29740",2000,9
"271","Metropolitan Statistical Area","Morristown, TN","34100",2000,8
"272","Metropolitan Statistical Area","Grand Forks, ND-MN","24220",2000,13
"273","Metropolitan Statistical Area","Kankakee-Bradley, IL","28100",2000,5
"274","Metropolitan Statistical Area","Missoula, MT","33540",2000,13
"275","Metropolitan Statistical Area","Huntington-Ashland, WV-KY-OH","26580",2000,15
"276","Metropolitan Statistical Area","Bangor, ME","12620",2000,5
"277","Metropolitan Statistical Area","Visalia-Porterville, CA","47300",2000,13
"278","Metropolitan Statistical Area","Mount Vernon-Anacortes, WA","34580",2000,9
"279","Metropolitan Statistical Area","Odessa, TX","36220",2000,17
"280","Metropolitan Statistical Area","Decatur, AL","19460",2000,10
"281","Metropolitan Statistical Area","Tuscaloosa, AL","46220",2000,4
"282","Metropolitan Statistical Area","Bowling Green, KY","14540",2000,13
"283","Metropolitan Statistical Area","Yakima, WA","49420",2000,23
"284","Metropolitan Statistical Area","Fayetteville, NC","22180",2000,9
"285","Metropolitan Statistical Area","Lake Charles, LA","29340",2000,19
"286","Metropolitan Statistical Area","Michigan City-La Porte, IN","33140",2000,18
"287","Metropolitan Statistical Area","Fort Smith, AR-OK","22900",2000,18
