YEAR,X.ID.,MEDSCHL,Tot.Res.Exp,Fed.Res.Exp,Ind.Res.Exp,Leg.Fees,Reimb.Leg.Fee,Act.Lic,Excl.Lic.Opt.,Lic.w.Equ,Tot.Lic.Lg.Co,Tot.Lic.Sm.Co,Tot.Lic.St.Ups,Tot.Discl.Lic,Non.Excl.Lic.Opt,Lic.Iss,Opt.Iss,NEWCOMPSUPP,Lic.Inc.Equ,Lic..1mm.,Lic.Gen.Inc,Lic.Gen.Run.Roy,Lic.Inc.Other,Lic.Inc.Pd.Oth,Gross.Lic.Inc,Lic.Inc.Run.Roy,Inv.Dis.Rec,INVDISRES,New.Pat.App.Fld,For..Pat.App.Fld,Pro.Pat.App.Fld,Util.Pat.App.Fld,Tot.Pat.App.Fld,Iss.US.Pat,New.Prod,Cum.Op.St.Ups,St.Ups.Cld,St.Ups.in.Home.St,STRTSBIRSTTR,St.Ups.Formed,St.Ups.w.Equ,add,FIPS.x,FIPS.y,FIPS
2009,95055,Yes,709803045,438970952,196360803,3523529,2030839,689,29,6,48,45,4,NA,63,92,5,NA,666591,3,255,110,7706571,408659,19048244,10675082,192,NA,155,33,93,29,175,34,12,46,0,3,NA,4,4,"Duke Univ.,NC",371000000000000,371000000000000,37063
2010,95055,Yes,826993375,482024803,265748583,3868220,1631600,738,30,10,42,41,16,97,63,93,6,0,2208535,3,213,91,10221309,127956,25733526,13303682,214,NA,125,0,120,5,282,43,23,50,1,2,NA,5,3,"Duke Univ.,NC",371000000000000,371000000000000,37063
2011,95055,Yes,854368058,523063348,229806636,4876814,2231186,743,32,12,66,22,14,97,61,93,9,0,5087926,4,216,83,2550896,181951,24481478,16842656,253,NA,111,0,109,2,265,52,27,53,2,4,NA,5,3,"Duke Univ.,NC",371000000000000,371000000000000,37063
2012,95055,Yes,840113651,491327781,236366095,4179765,1624911,799,34,9,65,40,18,143,81,115,8,NA,436893,2,256,99,2540222,187096,24590271,21613156,215,NA,113,0,110,3,280,50,17,58,1,3,NA,6,6,"Duke Univ.,NC",371000000000000,371000000000000,37063
2013,95055,Yes,806048885,481464074,297145753,3805349,1170316,866,35,16,82,36,14,181,93,128,4,NA,1501889,4,260,102,5273611,286848,29202127,22426627,218,NA,148,0,143,5,250,41,17,64,3,7,NA,9,5,"Duke Univ.,NC",371000000000000,371000000000000,37063
2014,95055,yes,898148000,557969000,252366000,3773530,1403113,973,42,5,92,38,5,159,85,127,8,0,2473850,6,272,101,7942013,1542861,35866260,25450397,162,NA,138,0,138,0,305,49,61,69,1,3,0,6,5,"Duke Univ.,NC",371000000000000,371000000000000,37063
2015,95055,yes,898699000,559217000,240640000,4543831,1538138,1108,56,26,95,34,33,164,98,154,8,NA,1124142,3,289,104,8347011,604183,36765244,27294091,229,NA,141,0,141,0,258,79,24,75,1,4,NA,7,5,"Duke Univ.,NC",371000000000000,371000000000000,37063
2015,99999,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dummy US university,",201000000000000,201000000000000,20125
2016,2000007,no,17089000,5809000,526000,NA,NA,2,1,0,NA,0,2,5,0,1,0,3,0,0,1,0,2500,0,2500,0,5,NA,3,0,3,0,3,10,0,0,0,0,0,0,0,"Duquesne Univ.,PA",420000000000000,420000000000000,42003
2017,2000007,no,17179000,5759000,443000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Duquesne Univ.,PA",420000000000000,420000000000000,42003
2006,2000007,No,10700000,5000000,2000000,117000,NA,NA,1,1,0,0,2,4,0,1,1,NA,0,0,2,2,0,0,172000,172000,10,NA,9,0,8,1,9,1,1,1,0,1,NA,1,0,"Duquesne Univ.,PA",420000000000000,420000000000000,42003
2007,2000007,No,11000000,5000000,2000000,140000,0,1,0,0,0,0,1,4,0,0,1,NA,0,0,1,1,0,0,0,0,4,0,4,0,4,0,4,0,1,0,0,0,NA,0,0,"Duquesne Univ.,PA",420000000000000,420000000000000,42003
2008,2000007,No,13200000,NA,NA,150000,0,0,NA,0,0,0,1,4,NA,0,1,NA,0,0,1,1,0,0,0,0,3,NA,2,0,2,0,2,1,NA,0,0,0,NA,0,0,"Duquesne Univ.,PA",420000000000000,420000000000000,42003
2009,2000007,No,12200000,7767000,200000,100000,NA,1,1,0,0,1,0,1,0,1,0,NA,0,0,0,0,0,0,0,0,5,NA,4,0,4,0,4,1,NA,0,0,0,NA,0,0,"Duquesne Univ.,PA",420000000000000,420000000000000,42003
2011,2000007,No,15243000,8739981,1955218,NA,0,2,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,9,NA,6,0,6,0,6,5,NA,1,0,1,NA,1,0,"Duquesne Univ.,PA",420000000000000,420000000000000,42003
2012,2000007,No,10000000,6000000,250000,NA,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,NA,4,0,4,0,4,5,NA,1,0,1,NA,1,0,"Duquesne Univ.,PA",420000000000000,420000000000000,42003
2013,2000007,No,14767000,4343000,328000,NA,NA,3,3,1,0,0,3,9,0,3,0,3,0,0,0,0,0,NA,0,0,1,NA,1,0,1,0,1,10,0,4,0,1,NA,3,1,"Duquesne Univ.,PA",420000000000000,420000000000000,42003
2014,2000007,no,15025000,4670000,474000,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,6,0,6,0,6,8,0,3,0,1,0,1,0,"Duquesne Univ.,PA",420000000000000,420000000000000,42003
2015,2000007,no,16159000,5004000,574000,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,0,NA,1,NA,2500,0,2500,0,5,NA,5,NA,5,NA,5,4,NA,3,NA,NA,NA,NA,NA,"Duquesne Univ.,PA",420000000000000,420000000000000,42003
2016,95056,yes,25273000,13073000,2437000,264058,161537,24,3,0,2,1,4,6,2,5,2,0,0,0,13,10,195912,0,263886,67974,14,NA,5,0,5,0,13,5,2,7,0,3,0,3,0,"East Carolina Univ.,NC",371000000000000,371000000000000,37147
2017,95056,yes,26935000,11526000,2857000,246171,71330,25,1,0,1,3,0,2,3,4,0,0,0,0,11,8,260799,0,286454,25655,11,NA,3,1,2,0,12,6,NA,7,0,0,0,0,0,"East Carolina Univ.,NC",371000000000000,371000000000000,37147
2006,95056,Yes,14061000,10657000,1163000,302003,91539,13,1,0,0,1,1,2,0,1,1,NA,0,0,9,6,190001,0,343518,153517,30,NA,18,0,16,2,23,3,0,3,0,0,NA,0,0,"East Carolina Univ.,NC",371000000000000,371000000000000,37147
2007,95056,Yes,15970000,10354000,1929000,269092,91449,7,2,0,1,2,0,3,1,3,0,NA,0,0,6,2,160800,0,330637,169837,15,0,2,0,1,1,7,4,0,3,0,0,NA,0,0,"East Carolina Univ.,NC",371000000000000,371000000000000,37147
2008,95056,Yes,16192000,10807000,1381000,347794,165749,10,2,0,0,1,1,2,0,2,0,NA,0,0,4,4,756154,0,915311,159157,12,3,7,0,7,0,9,4,1,4,0,0,NA,1,0,"East Carolina Univ.,NC",371000000000000,371000000000000,37147
2009,95056,Yes,24177000,17079000,2872000,440919,273284,15,1,0,3,1,0,4,2,3,1,NA,0,0,7,4,683077,0,838090,155013,10,NA,9,0,6,3,19,5,NA,4,0,0,NA,0,0,"East Carolina Univ.,NC",371000000000000,371000000000000,37147
2010,95056,Yes,23995000,16113000,2551000,261818,129335,18,1,0,2,0,0,2,1,2,0,0,0,0,6,4,188077,0,293901,105824,15,NA,2,0,2,0,6,2,NA,4,0,0,NA,0,0,"East Carolina Univ.,NC",371000000000000,371000000000000,37147
2011,95056,Yes,28995000,19675000,2364000,310138,81821,19,1,0,1,0,0,1,0,1,0,0,0,0,7,5,455253,0,557354,102101,16,NA,8,3,5,0,13,4,NA,4,2,0,NA,0,0,"East Carolina Univ.,NC",371000000000000,371000000000000,37147
2012,95056,Yes,31990000,17838000,4855000,231559,20970,12,1,0,1,2,0,1,2,3,0,0,0,0,4,4,0,0,88079,88079,12,NA,3,0,2,1,14,4,NA,2,0,0,NA,0,0,"East Carolina Univ.,NC",371000000000000,371000000000000,37147
2013,95056,Yes,38271000,18227000,1754000,274497,12550,13,1,1,0,0,1,1,0,1,0,0,0,0,5,4,6225,0,73878,67653,10,NA,3,0,2,1,10,2,1,3,0,1,NA,1,1,"East Carolina Univ.,NC",371000000000000,371000000000000,37147
2014,95056,yes,29925000,17409000,2221000,338654,12944,17,3,1,1,2,2,4,1,4,1,0,0,0,7,5,67730,0,134910,67180,6,NA,4,1,3,0,10,4,1,5,0,1,NA,1,1,"East Carolina Univ.,NC",371000000000000,371000000000000,37147
2015,95056,yes,26549000,15079000,1733000,224256,8501,21,4,0,0,3,2,8,1,5,0,0,0,0,10,7,81245,0,154818,73573,10,NA,6,0,6,0,13,8,1,5,0,1,0,2,2,"East Carolina Univ.,NC",371000000000000,371000000000000,37147
2006,96010,Yes,33013000,19399000,4664000,833087,140490,30,1,0,0,3,0,2,2,3,0,NA,0,0,7,2,764283,0,795833,31550,6,NA,22,12,8,2,14,1,1,0,0,0,NA,0,0,"Eastern Virginia Medical School,VA",517000000000000,517000000000000,51710
2007,96010,Yes,31453000,20620000,3107000,768595,253709,26,2,0,2,1,1,4,3,3,1,NA,0,0,9,1,978750,0,991250,12500,6,0,23,7,1,15,16,NA,1,1,0,0,NA,1,0,"Eastern Virginia Medical School,VA",517000000000000,517000000000000,51710
2008,96010,Yes,30777000,17499000,3616000,663684,286128,22,2,0,1,4,0,11,2,4,1,NA,0,0,8,4,1080000,0,1188762,108762,7,0,9,3,5,1,6,3,0,0,0,0,NA,0,0,"Eastern Virginia Medical School,VA",517000000000000,517000000000000,51710
2009,96010,Yes,36678000,24083000,2664000,953376,259585,23,1,0,2,0,1,8,1,2,1,NA,0,0,10,3,1074760,0,1260808,186048,8,NA,39,24,4,11,15,2,NA,1,0,0,NA,1,0,"Eastern Virginia Medical School,VA",517000000000000,517000000000000,51710
2010,96010,Yes,44420000,29291000,1926000,709264,394054,23,0,0,1,0,0,1,1,1,0,0,0,0,7,4,1141821,0,1228505,86684,19,NA,24,11,6,7,9,2,NA,0,0,0,NA,0,0,"Eastern Virginia Medical School,VA",517000000000000,517000000000000,51710
2011,96010,Yes,36569000,25319000,2525000,598892,272740,22,1,0,2,0,1,2,2,3,0,0,0,0,1,0,15000,0,15000,0,7,NA,22,10,5,7,12,0,NA,4,1,0,NA,1,0,"Eastern Virginia Medical School,VA",517000000000000,517000000000000,51710
2012,96010,Yes,37745000,24694000,2151000,712607,429093,26,3,2,4,1,3,3,5,8,0,0,0,0,4,0,83937,0,83937,0,8,NA,6,0,6,0,11,1,NA,7,0,1,NA,3,2,"Eastern Virginia Medical School,VA",517000000000000,517000000000000,51710
2013,96010,Yes,41541000,28728000,1528000,640532,379161,20,0,1,1,0,1,2,2,2,0,0,0,0,5,0,65003,0,65003,0,8,NA,9,0,9,0,20,4,1,6,0,0,NA,1,1,"Eastern Virginia Medical School,VA",517000000000000,517000000000000,51710
2013,20070264,No,13877426,11455846,116160,156600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,3,0,3,0,9,0,0,0,0,0,NA,0,0,"Embry-Riddle Aeronautical University,FL",121000000000000,121000000000000,12127
2016,20070264,no,21237687,15898241,320810,127408,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,NA,NA,0,1,10,11,4,0,1,0,0,0,0,0,"Embry-Riddle Aeronautical University,FL",121000000000000,121000000000000,12127
2016,95059,yes,507923566,349496071,41900504,2236162,860030,301,13,2,12,14,5,33,15,28,3,0,0,2,110,82,965051,147211,6589646,5624595,164,NA,88,0,88,0,161,32,10,42,1,1,3,5,1,"Emory Univ.,GA",131000000000000,131000000000000,13089
2017,95059,yes,549904509,366940576,43628965,2165648,760918,319,13,3,16,32,8,74,39,52,4,0,0,2,129,97,1026312,270653,7936914,6910602,245,NA,83,0,83,0,150,46,5,49,1,5,1,8,3,"Emory Univ.,GA",131000000000000,131000000000000,13089
2006,95059,Yes,366020127,303677355,20516300,2063712,951051,NA,6,4,11,7,4,32,14,20,2,NA,0,1,63,41,911141,217452,17790432,16879291,130,NA,43,0,42,1,104,19,5,20,1,2,NA,3,3,"Emory Univ.,GA",131000000000000,131000000000000,13089
2007,95059,Yes,365017326,300005473,22041895,2453499,1364949,183,13,3,16,18,6,56,23,36,4,NA,17356,2,77,53,509238,212978,17681766,17155172,151,26,67,0,66,1,129,19,7,26,1,3,NA,6,4,"Emory Univ.,GA",131000000000000,131000000000000,13089
2008,95059,Yes,390965216,312835321,26049742,3628056,2178858,220,12,3,10,11,3,31,12,23,1,NA,636875,3,80,51,2624711,NA,19096296,15834710,167,16,70,0,67,3,145,3,7,21,2,3,NA,3,3,"Emory Univ.,GA",131000000000000,131000000000000,13089
2009,95059,Yes,416476261,337309865,27509111,3114243,1550823,244,8,1,12,23,1,34,24,32,4,NA,368360,2,89,52,303940,64776,15034198,14361898,184,NA,53,0,52,1,122,18,2,21,1,1,NA,1,0,"Emory Univ.,GA",131000000000000,131000000000000,13089
2010,95059,Yes,450204168,362199172,25311483,3468684,1972860,251,15,4,14,18,4,33,17,32,4,0,723500,1,72,54,216245,54824,14383542,13443797,212,NA,58,0,58,0,105,17,10,25,0,3,NA,4,2,"Emory Univ.,GA",131000000000000,131000000000000,13089
2011,95059,Yes,496433864,387991046,31155869,3821321,2524507,215,22,4,13,30,5,49,22,44,4,0,329480,1,100,66,1260456,431388,15899109,14309173,237,NA,133,35,88,10,148,16,17,24,1,3,NA,6,4,"Emory Univ.,GA",131000000000000,131000000000000,13089
2012,95059,Yes,490439552,396065205,32261275,3373653,2095021,295,5,2,23,15,6,55,36,41,3,0,15114149,3,137,66,848216,345954,25425749,9463384,244,NA,72,0,72,0,172,19,9,27,3,4,NA,6,2,"Emory Univ.,GA",131000000000000,131000000000000,13089
2013,95059,Yes,493567915,407537820,36137905,2657200,1372763,280,8,2,22,26,3,56,40,48,3,0,0,1,134,77,909214,108720,4124413,3215199,213,NA,107,0,107,0,223,18,9,30,0,2,NA,3,1,"Emory Univ.,GA",131000000000000,131000000000000,13089
2014,95059,yes,462142975,366869349,44218116,2664211,1311112,304,8,2,20,17,3,27,28,36,4,0,39303,3,114,72,11063330,135938,14085741,2983108,225,NA,71,0,71,0,196,35,4,33,0,2,2,3,1,"Emory Univ.,GA",131000000000000,131000000000000,13089
2015,95059,yes,478333305,332217396,41953278,2343657,952215,303,12,1,10,26,5,45,25,37,4,0,0,2,106,73,2666797,192931,7948859,5282062,233,NA,83,0,83,0,176,37,14,38,0,1,2,5,3,"Emory Univ.,GA",131000000000000,131000000000000,13089
2006,97003,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Florida Agricultural and Mechanical University,FL",121000000000000,121000000000000,12073
2006,95060,No,55791099,29049477,1741716,154138,23252,9,3,2,1,2,1,4,1,4,0,NA,0,0,4,2,52000,0,65847,13847,26,NA,12,0,12,0,17,2,0,1,0,1,NA,1,1,"Florida Atlantic University,FL",121000000000000,121000000000000,12099
2007,95060,No,39800000,25000000,9400000,181838,38690,11,NA,0,1,2,2,NA,NA,5,0,NA,NA,0,NA,NA,NA,0,91928,NA,35,NA,NA,NA,NA,NA,10,8,NA,NA,NA,2,NA,2,NA,"Florida Atlantic University,FL",121000000000000,121000000000000,12099
2008,95060,No,43249100,20614947,2194835,183413,38960,10,1,0,0,1,0,1,0,1,0,NA,0,0,9,9,100000,NA,198880,98880,29,NA,NA,NA,NA,NA,13,2,NA,NA,NA,NA,NA,0,NA,"Florida Atlantic University,FL",121000000000000,121000000000000,12099
2010,95060,No,41605782,25775806,837815,206570,31740,10,3,0,2,1,3,7,2,5,1,0,0,0,4,1,49250,7500,145476,96226,25,NA,15,1,7,7,14,4,NA,2,0,0,NA,1,0,"Florida Atlantic University,FL",121000000000000,121000000000000,12099
2006,20070262,No,12700000,8400000,400000,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,0,NA,"Florida Gulf Coast University,FL",121000000000000,121000000000000,12071
2006,95061,No,9100000,7800000,800000,15600,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,NA,66342,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Florida Institution of Technology,FL",120000000000000,120000000000000,12009
2007,95061,No,7800000,6200000,1100000,23655,5000,1,1,0,1,0,0,0,0,1,0,NA,0,0,2,1,69908,0,69908,0,5,2,5,0,4,1,0,1,NA,0,0,0,NA,0,0,"Florida Institution of Technology,FL",120000000000000,120000000000000,12009
2006,2000008,No,65805000,45894000,19911000,153324,NA,1,1,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,3,1,NA,NA,38992,NA,20,NA,14,4,5,5,10,0,NA,NA,NA,NA,NA,NA,NA,"Florida International University,FL",121000000000000,121000000000000,12086
2007,2000008,No,80667186,62366217,8497967,79807,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,2,1,4167,0,6166,1999,13,NA,14,1,6,7,13,0,NA,0,0,0,NA,0,0,"Florida International University,FL",121000000000000,121000000000000,12086
2008,2000008,Yes,74607044,54158655,7191498,76127,0,2,0,0,0,0,0,0,0,0,0,NA,0,0,2,2,0,0,9423,9423,18,NA,15,2,4,9,13,0,NA,0,0,0,NA,0,0,"Florida International University,FL",121000000000000,121000000000000,12086
2009,2000008,Yes,74626700,58898193,698650,48289,0,3,1,0,1,0,0,2,0,1,0,NA,0,0,3,2,20000,0,39819,19819,16,NA,11,2,4,5,9,1,0,0,0,0,NA,0,0,"Florida International University,FL",121000000000000,121000000000000,12086
2010,2000008,Yes,76746403,61220094,857660,99330,24381,4,1,0,0,1,0,2,0,1,0,0,0,0,3,2,5000,0,24942,19942,24,NA,7,0,7,0,10,1,NA,0,0,0,NA,0,0,"Florida International University,FL",121000000000000,121000000000000,12086
2011,2000008,Yes,84162535,68145804,2023336,134882,22656,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,12351,12351,15,NA,5,0,5,0,9,3,NA,0,0,0,NA,0,0,"Florida International University,FL",121000000000000,121000000000000,12086
2012,2000008,Yes,84199120,69471684,2404359,105034,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,50000,0,62035,12035,20,NA,15,0,15,0,17,1,0,0,0,0,NA,0,0,"Florida International University,FL",121000000000000,121000000000000,12086
2016,95062,yes,172212052,137126549,2345119,1035394,11088,NA,5,NA,1,2,6,12,1,6,3,NA,NA,0,30,30,NA,0,348929,NA,66,NA,41,2,37,2,105,28,NA,17,0,2,NA,3,0,"Florida State Univ.,FL",121000000000000,121000000000000,12073
2017,95062,yes,183262902,145769323,2285862,1058213,264528,63,7,NA,1,11,2,19,3,10,4,NA,0,0,25,8,424250,2588,448612,24362,53,NA,37,1,33,3,94,50,NA,20,1,2,NA,2,NA,"Florida State Univ.,FL",121000000000000,121000000000000,12073
2006,95062,Yes,189229916,128364870,1433131,483405,16251,42,1,0,2,0,0,3,0,1,1,NA,0,0,14,8,899086,0,1139604,240518,51,NA,36,0,33,3,55,12,1,9,2,0,NA,0,0,"Florida State Univ.,FL",121000000000000,121000000000000,12073
2007,95062,Yes,198994242,131182143,1626534,466353,5684,52,4,0,8,4,1,13,6,10,3,NA,0,1,17,8,1687500,0,1813580,126080,44,9,29,0,29,0,61,19,NA,10,0,1,NA,1,0,"Florida State Univ.,FL",121000000000000,121000000000000,12073
2008,95062,Yes,206541848,132023241,704150,338052,22140,59,9,1,3,5,3,12,2,10,1,NA,0,0,16,11,40690,0,1257266,1216576,56,4,27,0,26,1,60,11,NA,12,0,1,NA,3,1,"Florida State Univ.,FL",121000000000000,121000000000000,12073
2009,95062,Yes,199073850,126952645,1014611,545173,137540,63,6,0,4,4,2,10,1,7,3,NA,0,0,15,11,39176,0,1192448,1153272,45,NA,36,0,35,1,72,10,2,14,2,2,NA,2,0,"Florida State Univ.,FL",121000000000000,121000000000000,12073
2010,95062,Yes,217441956,143835261,957112,673221,84834,65,4,0,1,3,2,6,0,4,2,3,0,1,19,15,41867,0,1314917,1273050,45,NA,34,0,33,1,73,21,3,15,1,2,NA,2,0,"Florida State Univ.,FL",121000000000000,121000000000000,12073
2011,95062,Yes,206964109,154714048,1893923,637822,18663,69,6,0,2,4,4,11,1,7,3,2,0,1,15,14,11510,2499,1467981,1456471,64,NA,48,0,47,1,79,36,4,18,0,4,NA,4,0,"Florida State Univ.,FL",121000000000000,121000000000000,12073
2012,95062,Yes,198901113,152153750,2016886,765345,49075,80,NA,0,4,7,2,13,NA,9,4,NA,0,0,20,18,21300,NA,1133065,1111765,74,NA,46,0,46,0,90,27,4,20,0,2,NA,2,0,"Florida State Univ.,FL",121000000000000,121000000000000,12073
2013,95062,Yes,192536081,159142061,1302164,993955,23221,90,5,0,4,8,3,27,4,9,6,3,0,0,24,22,17345,NA,1036222,1018877,58,NA,48,0,48,0,126,43,4,23,0,2,NA,3,0,"Florida State Univ.,FL",121000000000000,121000000000000,12073
2014,95062,yes,201375381,162393335,1741613,1254386,52117,110,6,0,4,8,8,28,2,8,12,NA,0,0,27,24,43832,NA,1064265,1020433,61,NA,98,13,44,41,91,39,1,31,0,8,0,2,0,"Florida State Univ.,FL",121000000000000,121000000000000,12073
2015,95062,yes,221119645,152654975,1703997,1200000,NA,NA,11,NA,3,3,10,35,2,13,3,NA,NA,NA,NA,NA,NA,NA,497282,NA,76,NA,42,0,42,0,102,27,NA,NA,NA,NA,NA,8,NA,"Florida State Univ.,FL",121000000000000,121000000000000,12073
2006,95063,No,88362439,56683763,3966190,161685,43637,55,1,1,10,18,1,11,18,29,0,NA,0,0,31,17,72114,1717,581821,509707,50,NA,3,0,3,0,31,3,0,3,0,0,NA,1,1,NA,NA,NA,NA
2007,95063,No,87839833,54970347,5017893,286646,62600,36,2,1,7,11,1,8,17,19,0,NA,0,0,36,31,48617,311,438021,389404,50,11,13,0,13,0,36,8,0,3,0,0,NA,0,0,NA,NA,NA,NA
2009,95063,No,96137399,51017436,4426276,399371,53385,53,1,0,13,9,0,13,20,21,1,NA,0,0,39,31,862682,1093,1130000,267318,45,NA,13,1,12,0,16,5,NA,2,0,0,NA,0,0,NA,NA,NA,NA
2011,95063,No,83740552,45327168,5840255,266736,58649,151,1,0,4,16,0,7,19,20,0,0,0,0,52,42,755602,6289,1211000,455398,53,NA,29,0,29,0,44,5,NA,2,0,0,NA,0,0,NA,NA,NA,NA
2012,95063,No,80567585,38584086,6970363,320551,50596,191,0,0,7,21,0,12,27,27,1,0,0,0,56,44,732786,3025,1227860,495074,38,NA,11,2,9,0,19,2,NA,0,0,0,NA,0,0,NA,NA,NA,NA
2016,95063,no,39975661,13962699,9362413,303856,21047,76,0,0,1,11,0,0,12,12,0,0,0,0,13,13,831293,3087,1217554,386261,24,NA,7,0,7,0,13,9,0,5,0,0,0,0,0,NA,NA,NA,NA
2006,95064,No,276200000,236600000,4020000,841400,691600,118,4,2,9,19,1,45,27,30,1,NA,331500,0,52,49,1450000,134968,3439000,1657500,57,NA,16,NA,NA,NA,25,3,2,NA,1,1,NA,1,1,NA,NA,NA,NA
2007,95064,No,280534000,243250000,8262000,1173432,817486,186,1,0,4,14,2,18,16,17,3,NA,0,0,117,85,1762321,158144,3142120,1379799,46,8,16,0,14,2,32,5,12,0,0,0,NA,0,0,NA,NA,NA,NA
2008,95064,No,303070000,253950000,6652000,1072128,720794,171,3,1,6,12,1,16,14,19,0,NA,0,1,124,90,1089986,152758,4523689,3433703,40,3,19,1,17,1,39,6,2,2,0,0,NA,1,1,NA,NA,NA,NA
2009,95064,No,291571000,248235000,6903000,1053362,485346,178,1,1,5,7,3,18,13,14,1,NA,779,1,120,82,553468,125413,9138096,8583849,32,NA,12,0,12,0,22,5,11,2,1,1,NA,1,1,NA,NA,NA,NA
2010,95064,No,320158000,287217000,6779000,1112442,944672,186,3,2,5,10,2,19,14,17,0,0,0,2,124,95,1631893,149173,12824153,11192260,40,NA,12,0,12,0,30,6,11,5,0,2,NA,2,2,NA,NA,NA,NA
2011,95064,No,351701000,317185000,5802000,1076869,626090,164,0,0,7,11,0,14,17,17,1,0,0,1,135,103,567333,3126826,13196456,12629123,46,NA,14,0,14,0,30,4,7,5,0,0,NA,0,2,NA,NA,NA,NA
2012,95064,No,350324000,328804000,5442000,1057343,554850,195,4,1,9,4,3,14,12,16,0,0,0,1,132,104,1531475,4380267,10444290,8912815,42,NA,29,0,29,0,48,7,6,4,0,1,NA,1,1,NA,NA,NA,NA
2013,95064,No,328800000,302300000,6679000,941278,308669,214,0,1,4,12,2,15,17,17,1,NA,0,2,150,111,3382975,NA,10684882,7301907,38,NA,18,0,18,0,43,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,95064,no,314100000,283700000,9800000,NA,NA,NA,7,NA,NA,NA,NA,20,2,9,NA,NA,0,3,146,115,13122759,NA,22980481,9857722,41,NA,12,NA,12,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA
2015,95064,no,337864102,187132418,13649638,1956045,1321623,211,2,0,4,4,3,17,5,7,4,0,6245638,2,154,117,699332,NA,18056932,11111962,38,NA,28,0,27,1,61,8,NA,2,1,2,NA,3,1,NA,NA,NA,NA
2016,95064,no,389383844,193983513,15002239,2226113,1282605,236,10,5,4,16,4,38,13,23,1,0,66627,1,161,117,965771,NA,4685387,3652989,86,NA,34,0,34,0,79,14,0,20,0,1,1,3,3,NA,NA,NA,NA
2017,95064,no,426951979,209929805,19440184,2974957,2148415,235,5,2,6,29,1,56,31,36,0,0,772302,0,173,114,2187761,NA,3450620,490557,107,NA,36,0,36,0,83,5,9,17,0,1,1,1,1,NA,NA,NA,NA
2006,95065,No,69524779,54652056,1709847,39337,0,19,6,0,3,4,1,10,1,6,2,NA,0,0,7,5,139000,0,143269,4269,48,NA,72,8,37,27,64,5,1,2,0,1,NA,0,0,"George Mason University,VA",511000000000000,511000000000000,51059
2007,95065,No,67639000,51974487,1782463,230181,0,11,2,2,0,0,2,15,0,2,0,NA,0,0,2,2,51037,0,69542,18505,64,2,53,0,52,1,84,9,0,4,0,1,NA,2,2,"George Mason University,VA",511000000000000,511000000000000,51059
2008,95065,No,79883243,61200388,812694,195549,39738,19,7,4,5,2,6,19,5,12,1,NA,0,0,6,3,65504,0,104007,38503,55,2,38,0,37,1,68,5,1,8,1,3,NA,5,4,"George Mason University,VA",511000000000000,511000000000000,51059
2009,95065,No,100164596,83612664,1309144,131439,16399,16,1,0,2,1,1,6,3,4,0,NA,0,0,9,3,90088,15000,163444,73356,55,NA,45,0,45,0,72,7,1,10,0,0,NA,2,0,"George Mason University,VA",511000000000000,511000000000000,51059
2010,95065,No,100286575,85719417,759540,383408,162337,19,5,1,1,2,3,13,0,5,1,387,0,0,8,3,104500,12143,110375,5875,61,NA,44,0,41,3,86,24,4,12,0,1,NA,2,2,"George Mason University,VA",511000000000000,511000000000000,51059
2011,95065,No,91556982,78187475,733132,427650,74509,NA,4,3,1,0,5,10,2,6,0,NA,0,0,8,5,80000,10000,123372,43372,46,NA,76,8,33,35,68,29,NA,NA,NA,2,NA,4,NA,"George Mason University,VA",511000000000000,511000000000000,51059
