year,cbsa_code,cbsa_2013_name,cbsa_exports_nominal,cbsa_exports_real,cbsa_pct_exports_gdp
2017,13060,"Bay City, TX",167.171661376953,167.171661376953,0.0734355673193932
2017,13100,"Beatrice, NE",256.105621337891,256.105621337891,0.220292657613754
2017,13140,"Beaumont-Port Arthur, TX",12872.7548828125,12872.7548828125,0.419723868370056
2017,13180,"Beaver Dam, WI",641.011779785156,641.011779785156,0.164357349276543
2017,13220,"Beckley, WV",485.481353759766,485.481353759766,0.110403418540955
2017,13260,"Bedford, IN",256.427947998047,256.427947998047,0.197743579745293
2017,13300,"Beeville, TX",122.249015808105,122.249015808105,0.10400365293026
2017,13340,"Bellefontaine, OH",672.469970703125,672.469970703125,0.289841532707214
2017,13380,"Bellingham, WA",1277.83532714844,1277.83532714844,0.0979268923401833
2017,13420,"Bemidji, MN",117.038230895996,117.038230895996,0.0590472929179668
2017,13460,"Bend-Redmond, OR",622.17578125,622.17578125,0.0673824399709702
2017,13500,"Bennettsville, SC",201.831970214844,201.831970214844,0.238093629479408
2017,13540,"Bennington, VT",163.487670898438,163.487670898438,0.093541793525219
2017,13620,"Berlin, NH-VT",59.1235160827637,59.1235160827637,0.0417916737496853
2017,13660,"Big Rapids, MI",199.171005249023,199.171005249023,0.146329835057259
2017,13700,"Big Spring, TX",413.165252685547,413.165252685547,0.182508796453476
2017,13720,"Big Stone Gap, VA",219.460845947266,219.460845947266,0.0870020166039467
2017,13740,"Billings, MT",422.896636962891,422.896636962891,0.044151533395052
2017,13780,"Binghamton, NY",1132.12133789062,1132.12133789062,0.0801755040884018
2017,13820,"Birmingham-Hoover, AL",4357.2275390625,4357.2275390625,0.0744126364588737
2017,13900,"Bismarck, ND",370.804595947266,370.804595947266,0.049922801554203
2017,13940,"Blackfoot, ID",207.613235473633,207.613235473633,0.138974919915199
2017,13980,"Blacksburg-Christiansburg-Radford, VA",1225.82653808594,1225.82653808594,0.131244540214539
2017,14010,"Bloomington, IL",819.569641113281,819.569641113281,0.0539018921554089
2017,14020,"Bloomington, IN",1481.40905761719,1481.40905761719,0.164750009775162
2017,14100,"Bloomsburg-Berwick, PA",442.39013671875,442.39013671875,0.0936332866549492
2017,14140,"Bluefield, WV-VA",301.348907470703,301.348907470703,0.0766529738903046
2017,14180,"Blytheville, AR",484.954833984375,484.954833984375,0.249373853206635
2017,14220,"Bogalusa, LA",197.880157470703,197.880157470703,0.182413324713707
2017,14260,"Boise City, ID",2406.71557617188,2406.71557617188,0.0755662992596626
2017,14340,"Boone, IA",135.499282836914,135.499282836914,0.118881955742836
2017,14380,"Boone, NC",110.010467529297,110.010467529297,0.0362256653606892
2017,14420,"Borger, TX",962.980651855469,962.980651855469,0.365028083324432
2017,14460,"Boston-Cambridge-Newton, MA-NH",42777.5390625,42777.5390625,0.101887919008732
2017,14500,"Boulder, CO",2486.08740234375,2486.08740234375,0.104521177709103
2017,14540,"Bowling Green, KY",1310.25988769531,1310.25988769531,0.162472546100616
2017,14580,"Bozeman, MT",339.639038085938,339.639038085938,0.058126512914896
2017,14620,"Bradford, PA",441.802124023438,441.802124023438,0.16263173520565
2017,14660,"Brainerd, MN",256.848236083984,256.848236083984,0.057784017175436
2017,14700,"Branson, MO",115.280181884766,115.280181884766,0.0284925922751427
