cbsa_code,year,cbsa_2013_name,cbsa_exports_nominal,cbsa_exports_real,cbsa_pct_exports_gdp
14580,2017,"Bozeman, MT",339.639038085938,339.639038085938,0.058126512914896
14620,2017,"Bradford, PA",441.802124023438,441.802124023438,0.16263173520565
14660,2017,"Brainerd, MN",256.848236083984,256.848236083984,0.057784017175436
14700,2017,"Branson, MO",115.280181884766,115.280181884766,0.0284925922751427
14720,2017,"Breckenridge, CO",51.5119667053223,51.5119667053223,0.0184322837740183
14740,2017,"Bremerton-Silverdale, WA",399.200012207031,399.200012207031,0.0304227732121944
14780,2017,"Brenham, TX",324.08447265625,324.08447265625,0.150847122073174
14820,2017,"Brevard, NC",72.8423843383789,72.8423843383789,0.0636656209826469
14860,2017,"Bridgeport-Stamford-Norwalk, CT",8476.921875,8476.921875,0.114100247621536
15020,2017,"Brookhaven, MS",129.576629638672,129.576629638672,0.114660456776619
15060,2017,"Brookings, OR",41.4911422729492,41.4911422729492,0.0543469004333019
15100,2017,"Brookings, SD",379.400817871094,379.400817871094,0.18572224676609
15180,2017,"Brownsville-Harlingen, TX",968.509033203125,968.509033203125,0.0657611861824989
15220,2017,"Brownwood, TX",325.347808837891,325.347808837891,0.171208649873734
15260,2017,"Brunswick, GA",276.794250488281,276.794250488281,0.0587780885398388
15340,2017,"Bucyrus, OH",316.073974609375,316.073974609375,0.17660428583622
15380,2017,"Buffalo-Cheektowaga-Niagara Falls, NY",7236.8671875,7236.8671875,0.0862370505928993
15420,2017,"Burley, ID",296.759490966797,296.759490966797,0.150494948029518
15460,2017,"Burlington, IA-IL",481.241790771484,481.241790771484,0.187861040234566
15500,2017,"Burlington, NC",890.744323730469,890.744323730469,0.151261523365974
15540,2017,"Burlington-South Burlington, VT",988.794921875,988.794921875,0.0754504576325417
15580,2017,"Butte-Silver Bow, MT",72.5995941162109,72.5995941162109,0.0462294109165668
15620,2017,"Cadillac, MI",344.537567138672,344.537567138672,0.17748050391674
15660,2017,"Calhoun, GA",579.821533203125,579.821533203125,0.236461088061333
15680,2017,"California-Lexington Park, MD",254.890853881836,254.890853881836,0.0338222421705723
15700,2017,"Cambridge, MD",198.562576293945,198.562576293945,0.150683045387268
15740,2017,"Cambridge, OH",345.897399902344,345.897399902344,0.168820202350616
15780,2017,"Camden, AR",248.012741088867,248.012741088867,0.212844461202621
15820,2017,"Campbellsville, KY",125.775405883789,125.775405883789,0.12640617787838
15860,2017,"Ca�on City, CO",71.4947204589844,71.4947204589844,0.0426531136035919
15900,2017,"Canton, IL",62.2405395507812,62.2405395507812,0.0606479234993458
15940,2017,"Canton-Massillon, OH",2448.26928710938,2448.26928710938,0.122443214058876
15980,2017,"Cape Coral-Fort Myers, FL",1563.953125,1563.953125,0.0538419149816036
16020,2017,"Cape Girardeau, MO-IL",373.996337890625,373.996337890625,0.0849557220935822
16060,2017,"Carbondale-Marion, IL",570.139831542969,570.139831542969,0.0799889788031578
16100,2017,"Carlsbad-Artesia, NM",777.040954589844,777.040954589844,0.158088088035583
16180,2017,"Carson City, NV",213.018203735352,213.018203735352,0.0695794597268105
16220,2017,"Casper, WY",351.690795898438,351.690795898438,0.0708648264408112
16260,2017,"Cedar City, UT",192.385070800781,192.385070800781,0.106836676597595
16300,2017,"Cedar Rapids, IA",2402.1005859375,2402.1005859375,0.132684081792831
16340,2017,"Cedartown, GA",270.7705078125,270.7705078125,0.190326929092407
16380,2017,"Celina, OH",605.556091308594,605.556091308594,0.210989266633987
16460,2017,"Centralia, IL",277.099029541016,277.099029541016,0.157228231430054
16500,2017,"Centralia, WA",348.378448486328,348.378448486328,0.0982197150588036
16540,2017,"Chambersburg-Waynesboro, PA",787.196105957031,787.196105957031,0.12133351713419
16580,2017,"Champaign-Urbana, IL",1362.73901367188,1362.73901367188,0.0969304218888283
16620,2017,"Charleston, WV",1434.9873046875,1434.9873046875,0.113931283354759
