"","cbsa_code","cbsa_name","cbsa_type","cbsa_pop","cbsa_emp","cbsa_is.top100","cbsa_size","total","male","black","black_male","hispanic","asian","nonminority","male_nonminority"
"123","41620","Salt Lake City, UT","metro",1185990,608961,TRUE,"very large metros",24620,16369,109,96,922,1023,22037,14948
"124","41660","San Angelo, TX","metro",120131,40571,FALSE,"small metros",2015,1259,0,0,181,0,1687,1072
"125","41700","San Antonio-New Braunfels, TX","metro",2426204,876237,TRUE,"very large metros",30973,19053,489,233,6574,2592,20293,12885
"126","41740","San Diego-Chula Vista-Carlsbad, CA","metro",3302833,1266620,TRUE,"very large metros",65333,40383,651,373,7427,8391,46760,30104
"127","41860","San Francisco-Oakland-Berkeley, CA","metro",4673221,2167508,TRUE,"very large metros",96753,59897,1485,859,5955,26509,59540,39146
"128","41940","San Jose-Sunnyvale-Santa Clara, CA","metro",1981616,1068403,TRUE,"very large metros",36608,22467,257,152,2847,13145,19320,12812
"129","42660","Seattle-Tacoma-Bellevue, WA","metro",3809717,1726886,TRUE,"very large metros",77313,43217,1061,671,2865,11756,59192,34589
"130","42680","Sebastian-Vero Beach, FL","metro",150984,45434,FALSE,"small metros",3532,2019,0,0,0,0,3152,1794
"131","42700","Sebring-Avon Park, FL","metro",102101,20766,FALSE,"small metros",1440,859,0,0,0,75,1148,727
"132","42020","San Luis Obispo-Paso Robles, CA","metro",281455,91732,FALSE,"midsized metros",6770,3870,0,0,584,470,5391,3179
"133","42100","Santa Cruz-Watsonville, CA","metro",273765,79038,FALSE,"midsized metros",5688,3452,0,0,515,465,4449,2832
"134","42140","Santa Fe, NM","metro",148917,46842,FALSE,"small metros",3596,1961,0,0,606,98,2722,1470
"135","42200","Santa Maria-Santa Barbara, CA","metro",443738,149750,FALSE,"midsized metros",9150,5540,0,0,1065,0,7118,4480
"136","42220","Santa Rosa-Petaluma, CA","metro",501317,173035,FALSE,"large metros",11318,6870,0,0,749,907,9206,5882
"137","42340","Savannah, GA","metro",381623,151691,FALSE,"midsized metros",6389,4113,226,0,227,629,5231,3365
"138","42540","Scranton--Wilkes-Barre, PA","metro",556926,237277,TRUE,"large metros",9225,6467,44,33,88,402,8655,6122
"139","43100","Sheboygan, WI","metro",115205,53151,FALSE,"small metros",1983,1305,0,0,0,0,1892,1261
"140","43300","Sherman-Denison, TX","metro",128560,39443,FALSE,"small metros",1936,1231,0,0,50,139,1653,1076
"141","43340","Shreveport-Bossier City, LA","metro",401708,140406,FALSE,"midsized metros",6396,4173,233,120,85,306,5683,3772
"142","43420","Sierra Vista-Douglas, AZ","metro",126279,24819,FALSE,"small metros",1433,720,0,0,182,81,1122,592
"143","43580","Sioux City, IA-NE-SD","metro",143638,67718,FALSE,"small metros",3202,1973,0,0,98,67,2990,1850
"144","43620","Sioux Falls, SD","metro",255438,143288,FALSE,"midsized metros",5865,3709,0,0,61,69,5659,3612
"145","43780","South Bend-Mishawaka, IN-MI","metro",320700,129862,FALSE,"midsized metros",4273,2804,43,0,0,169,3925,2637
"146","43900","Spartanburg, SC","metro",302195,128430,FALSE,"midsized metros",4369,3002,93,0,0,375,3805,2636
"147","44060","Spokane-Spokane Valley, WA","metro",542089,199588,FALSE,"large metros",10080,5502,80,0,234,320,9213,5048
"148","44100","Springfield, IL","metro",210028,85368,FALSE,"small metros",3404,2218,0,0,0,0,3197,2086
"149","44140","Springfield, MA","metro",701210,242907,TRUE,"large metros",9314,6561,168,103,191,645,8212,5892
"150","44180","Springfield, MO","metro",458834,187570,FALSE,"midsized metros",8395,4691,175,72,125,293,7648,4356
"151","44220","Springfield, OH","metro",135198,41243,FALSE,"small metros",1521,1074,0,0,0,129,1377,1006
"152","44300","State College, PA","metro",161443,46119,FALSE,"small metros",2209,1576,0,NA,0,97,2082,1495
"153","44420","Staunton, VA","metro",121079,40023,FALSE,"small metros",1970,1338,0,0,0,0,1854,1260
"154","44700","Stockton, CA","metro",732212,190958,TRUE,"large metros",8611,5368,164,71,0,1638,5317,3438
"155","44940","Sumter, SC","metro",141012,36794,FALSE,"small metros",1278,872,69,39,0,0,1085,765
"156","45060","Syracuse, NY","metro",654705,259742,TRUE,"large metros",10522,7565,0,58,92,497,9764,7104
"157","45220","Tallahassee, FL","metro",380101,110687,FALSE,"midsized metros",6463,4011,337,157,0,409,5434,3498
"158","45300","Tampa-St. Petersburg-Clearwater, FL","metro",3030047,1120203,TRUE,"very large metros",58651,36871,1255,723,5183,3923,46909,30121
"159","45460","Terre Haute, IN","metro",187309,59212,FALSE,"small metros",2326,1412,0,0,21,121,2155,1303
"160","45500","Texarkana, TX-AR","metro",150034,48004,FALSE,"small metros",2007,1371,0,0,44,0,1799,1235
"161","45540","The Villages, FL","metro",120999,22470,FALSE,"small metros",1070,658,0,0,0,0,941,601
"162","45780","Toledo, OH","metro",645329,275095,TRUE,"large metros",8290,6017,169,0,177,361,7515,5625
