cbsa_code,cbsa_name,cbsa_score_02,cbsa_score_16,cbsa_pct_high_02,cbsa_pct_medium_02,cbsa_pct_low_02,cbsa_pct_high_16,cbsa_pct_medium_16,cbsa_pct_low_16
13140,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",27.5307157423988,43.7148508427601,0.0239640939328364,0.404824877775106,0.571211028292057,0.187269780462649,0.497274200677766,0.315456018859585
13220,"Beckley, WV Metropolitan Statistical Area",NA,41.9414149388565,NA,NA,NA,0.145734597156398,0.523696682464455,0.330568720379147
13380,"Bellingham, WA Metropolitan Statistical Area",26.0958995299159,43.1585015237008,0.0288893226625024,0.370290845207886,0.600819832129612,0.181046043808672,0.493667113693935,0.325286842497392
13460,"Bend-Redmond, OR Metropolitan Statistical Area",NA,43.2555772770303,NA,NA,NA,0.200296735905045,0.500989119683482,0.298714144411474
13740,"Billings, MT Metropolitan Statistical Area",26.8411758181601,43.214583235267,0.0245163761731469,0.414096916299559,0.561386707527294,0.177631578947368,0.5,0.322368421052632
13780,"Binghamton, NY Metropolitan Statistical Area",26.5338895789366,43.7893992595454,0.0203021148036254,0.384410876132931,0.595287009063444,0.193657851626492,0.482915984086122,0.323426164287386
13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",29.0260901847124,45.71691259462,0.0447099786341695,0.401941389042758,0.553348632323072,0.221362880886427,0.501983379501385,0.276653739612188
13900,"Bismarck, ND Metropolitan Statistical Area",29.0607271411457,44.3708678914095,0.0493112947658402,0.387052341597796,0.563636363636364,0.199935660286312,0.489786070451986,0.310278269261702
13980,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",NA,43.3081553492573,NA,NA,NA,0.176338373518594,0.509603596240294,0.314058030241112
14010,"Bloomington, IL Metropolitan Statistical Area",NA,46.669369088269,NA,NA,NA,0.25963197239793,0.467797584818861,0.272570442783209
14020,"Bloomington, IN Metropolitan Statistical Area",25.5282662517632,44.0746526355167,0.0149410222804718,0.381651376146789,0.603407601572739,0.195991561181435,0.507383966244726,0.29662447257384
14100,"Bloomsburg-Berwick, PA Metropolitan Statistical Area",NA,44.0195269046267,NA,NA,NA,0.170993423329872,0.529595015576324,0.299411561093804
14260,"Boise City, ID Metropolitan Statistical Area",30.0411533862957,45.3556543960209,0.0682967457909453,0.403890772800286,0.527812481408769,0.24572292512135,0.463833850560993,0.290443224317657
14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",32.5236581315592,48.3727586738241,0.079478159580664,0.422029120559115,0.498492719860221,0.297862647421978,0.463026355004896,0.239110997573126
14500,"Boulder, CO Metropolitan Statistical Area",34.6863084613044,49.3900828084445,0.102795844243602,0.440408818312357,0.456795337444041,0.31189799736678,0.445152796064029,0.242949206569191
14540,"Bowling Green, KY Metropolitan Statistical Area",NA,42.3305328510845,NA,NA,NA,0.166901905434016,0.477769936485533,0.355328158080452
14740,"Bremerton-Silverdale, WA Metropolitan Statistical Area",28.4900131296392,42.6256143637443,0.0538243626062323,0.384935844025996,0.561239793367772,0.170940170940171,0.495884773662551,0.333175055397278
14860,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",31.4855196608216,46.6618552289506,0.0621650921480564,0.44107170512622,0.496763202725724,0.280381561535068,0.46501433612704,0.254604102337891
15180,"Brownsville-Harlingen, TX Metropolitan Statistical Area",24.6914468517006,39.9822526915071,0.012277143162165,0.328600405679513,0.659122451158322,0.162920426579163,0.432977850697293,0.404101722723544
15260,"Brunswick, GA Metropolitan Statistical Area",NA,41.6562942522941,NA,NA,NA,0.173427020121367,0.460555732992654,0.366017246885979
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",28.08702581177,45.0911287410734,0.0399840329984698,0.384516443793937,0.575499523207593,0.223200277115553,0.492817409377101,0.283982313507346
15500,"Burlington, NC Metropolitan Statistical Area",27.6510170241605,44.9683608992625,0.0419280654953546,0.378235672891178,0.579836261613467,0.218041551059078,0.490153617107667,0.291804831833254
15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",29.1756357472266,NA,0.0436527847466131,0.41018564977421,0.546161565479177,NA,NA,NA
15680,"California-Lexington Park, MD Metropolitan Statistical Area",NA,52.9237486539398,NA,NA,NA,0.383588407684793,0.42461738847281,0.191794203842397
15940,"Canton-Massillon, OH Metropolitan Statistical Area",26.9782861750147,42.541995975201,0.03125,0.386599344978166,0.582150655021834,0.162227089662969,0.509856567512188,0.327916342824843
15980,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",27.55469292162,42.2908266392874,0.0278835690968444,0.419545701849837,0.552570729053319,0.173806831033703,0.505858403076227,0.32033476589007
16020,"Cape Girardeau, MO-IL Metropolitan Statistical Area",NA,43.0477647081163,NA,NA,NA,0.175412293853073,0.508845577211394,0.315742128935532
16060,"Carbondale-Marion, IL Metropolitan Statistical Area",NA,43.8965631970553,NA,NA,NA,0.160645867542419,0.546250684181719,0.293103448275862
16180,"Carson City, NV Metropolitan Statistical Area",NA,45.8085887869539,NA,NA,NA,0.218454697053919,0.525847693162868,0.255697609783213
16220,"Casper, WY Metropolitan Statistical Area",25.943920339895,41.6042280908959,0.0115163147792706,0.399232245681382,0.589251439539347,0.149225418906102,0.516914321846348,0.33386025924755
16300,"Cedar Rapids, IA Metropolitan Statistical Area",27.693744061066,46.441499316747,0.0341560416422973,0.386477950637501,0.579366007720201,0.248272195640617,0.480684033315612,0.271043771043771
16540,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",NA,41.4075472286367,NA,NA,NA,0.1638167616635,0.439518682710576,0.396664555625924
16580,"Champaign-Urbana, IL Metropolitan Statistical Area",29.0881338092382,44.8838358501147,0.0459850200313534,0.427625849155199,0.526389130813447,0.20826994883142,0.498824505600885,0.292905545567695
16620,"Charleston, WV Metropolitan Statistical Area",30.199546574142,45.9902123033848,0.0431639818256919,0.443102023957043,0.513733994217266,0.225853914871256,0.496374146085129,0.277771939043615
16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",27.9592989044552,45.2409286319689,0.0395442677427012,0.394635651554712,0.565820080702587,0.230882908890951,0.48156167302471,0.287555418084339
16740,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",28.0565443498372,45.9991863437384,0.0393641070517028,0.386975862320426,0.573660030627871,0.241142643322764,0.473560864170786,0.28529649250645
16820,"Charlottesville, VA Metropolitan Statistical Area",28.8172982526459,46.3416299700492,0.0457448644916278,0.396167788710513,0.55808734679786,0.237984405911789,0.501803793785639,0.260211800302572
16860,"Chattanooga, TN-GA Metropolitan Statistical Area",27.0666250318915,44.962635540986,0.0332970370794888,0.374118860679695,0.592584102240816,0.221726336439431,0.484796468857283,0.293477194703286
16940,"Cheyenne, WY Metropolitan Statistical Area",27.8550233422138,43.0772078414721,0.0289634146341463,0.408536585365854,0.5625,0.177437968840162,0.490478938257357,0.332083092902481
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",29.1306048436582,45.5013207495307,0.0524458723285375,0.397658890906551,0.549895236764911,0.238312802715381,0.468812529397557,0.292874667887063
17020,"Chico, CA Metropolitan Statistical Area",27.2071823527309,42.7196092463727,0.0190459549187489,0.407303861611043,0.573650183470208,0.167638984214139,0.494852436513384,0.337508579272478
17140,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",28.181637923692,45.5480436733089,0.0448692563391775,0.381238674682891,0.573892068977931,0.228541292204368,0.479964697398586,0.291494010397047
17300,"Clarksville, TN-KY Metropolitan Statistical Area",27.6103624600201,42.9605812204726,0.0331959210240833,0.401822521154263,0.564981557821653,0.1827478879502,0.501704461242033,0.315547650807766
17420,"Cleveland, TN Metropolitan Statistical Area",NA,43.307922984785,NA,NA,NA,0.188782991202346,0.500733137829912,0.310483870967742
17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",28.5514727515896,45.7827181653458,0.042796678274846,0.395896062148406,0.561307259576748,0.22886119257087,0.490758020083533,0.280380787345597
17660,"Coeur d'Alene, ID Metropolitan Statistical Area",NA,43.1549822456391,NA,NA,NA,0.175935715796151,0.524212307041658,0.299851977162191
17780,"College Station-Bryan, TX Metropolitan Statistical Area",27.8795536367446,44.9145402242787,0.0208850289495451,0.420802315963606,0.558312655086849,0.251443497387957,0.453533131701952,0.295023370910091
17820,"Colorado Springs, CO Metropolitan Statistical Area",32.4407419709861,46.2442258167275,0.0876231624426998,0.409610622266716,0.502766215290584,0.249567985447931,0.464120054570259,0.28631195998181
17860,"Columbia, MO Metropolitan Statistical Area",29.5655554317372,45.1149721250109,0.0269982238010657,0.456127886323268,0.516873889875666,0.209499112870206,0.503207315408762,0.287293571721032
17900,"Columbia, SC Metropolitan Statistical Area",30.6383209052402,45.7355060679145,0.0501068331308392,0.436340022623487,0.513553144245674,0.236994037290595,0.470139129886109,0.292866832823296
17980,"Columbus, GA-AL Metropolitan Statistical Area",28.7881334710915,45.345487299004,0.0492926117224343,0.388052997978891,0.562654390298675,0.228257210189653,0.496913926607564,0.274828863202783
18020,"Columbus, IN Metropolitan Statistical Area",NA,44.0905818532249,NA,NA,NA,0.161910868868227,0.563962808592498,0.274126322539275
18140,"Columbus, OH Metropolitan Statistical Area",29.4055915168787,46.4094614400912,0.0573894043947838,0.38250383748427,0.560106758120946,0.24833618981904,0.46172680125537,0.28993700892559
18580,"Corpus Christi, TX Metropolitan Statistical Area",27.5734122720512,42.2324440072931,0.0210950462194833,0.412578020067947,0.56632693371257,0.179544015199493,0.469094363521216,0.351361621279291
18700,"Corvallis, OR Metropolitan Statistical Area",30.3379007585484,46.1741001294173,0.0656804733727811,0.417159763313609,0.517159763313609,0.250779510022272,0.455679287305122,0.293541202672606
18880,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",NA,44.3227772687181,NA,NA,NA,0.201763426084965,0.515973892133287,0.282262681781747
19060,"Cumberland, MD-WV Metropolitan Statistical Area",26.5399070128394,42.3328292086597,0.0139143170999634,0.423288172830465,0.562797510069572,0.172492401215805,0.512537993920973,0.314969604863222
