cbsa_code,age_017,age_1834,age_35plus,female,male,total,race
12180,14127,14499,43414,36061,35979,72040,white non-hispanic
12180,477,1180,1535,777,2415,3192,black
12180,80,80,223,247,136,383,asian
12180,638,811,737,785,1401,2186,latino
12220,21827,37918,49736,54839,54642,109481,white non-hispanic
12220,8960,10821,16358,19662,16477,36139,black
12220,1410,2060,2530,2835,3165,6000,asian
12220,1846,2142,1825,2592,3221,5813,latino
12260,71702,76296,197481,173651,171828,345479,white non-hispanic
12260,55708,53395,100555,111104,98554,209658,black
12260,2175,2475,6728,6468,4910,11378,asian
12260,10306,9734,10614,14434,16220,30654,latino
12300,22335,22593,71411,59618,56721,116339,white non-hispanic
12300,404,391,293,379,709,1088,black
12300,257,340,462,654,405,1059,asian
12300,626,444,709,889,890,1779,latino
12380,8174,6834,20562,17978,17592,35570,white non-hispanic
12380,531,276,544,444,907,1351,black
12380,347,217,400,477,487,964,asian
12380,1865,1275,1194,2133,2201,4334,latino
12420,353422,414828,786717,777834,777133,1554967,white non-hispanic
12420,35344,41147,68752,73853,71390,145243,black
12420,24106,35300,50527,55648,54285,109933,asian
12420,206583,194063,243167,317265,326548,643813,latino
12460,2938,2698,8523,7233,6926,14159,white non-hispanic
12460,3225,2748,5409,5923,5459,11382,black
12460,31,24,64,66,53,119,asian
12460,636,525,403,796,768,1564,latino
12540,189567,165928,304701,323561,336635,660196,white non-hispanic
12540,13942,14386,19750,21866,26212,48078,black
12540,9867,9314,22082,21061,20202,41263,asian
12540,164869,132865,161173,220862,238045,458907,latino
12580,328708,379355,991233,865026,834270,1699296,white non-hispanic
12580,200615,204374,407797,438524,374262,812786,black
12580,33026,39735,76879,77449,72191,149640,asian
12580,52594,44700,55272,73164,79402,152566,latino
12620,25968,34530,83996,73117,71377,144494,white non-hispanic
12620,239,513,437,432,757,1189,black
12620,302,679,640,973,648,1621,asian
12620,649,738,548,955,980,1935,latino
12660,13117,11307,35280,30003,29701,59704,white non-hispanic
12660,133,128,183,159,285,444,black
12660,148,107,182,308,129,437,asian
12660,1312,619,1129,1456,1604,3060,latino
12680,9773,8565,23045,20923,20460,41383,white non-hispanic
12680,712,463,1211,1213,1173,2386,black
12680,50,22,93,75,90,165,asian
12680,385,370,174,370,559,929,latino
12700,28193,30240,138754,103363,93824,197187,white non-hispanic
12700,1603,1317,2937,2740,3117,5857,black
