year,stco_code,frominstate_edu_baplus,frominstate_total,fromdiffstate_edu_baplus,fromdiffstate_total,fromabroad_edu_baplus,fromabroad_total,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus
2009,05041,0,125,0,123,0,62,0,185,0.0209726788345993,0
2009,05043,104,707,0,132,0,42,0,174,0.0143588050833471,0
2009,05045,435,2219,385,1624,29,135,414,1759,0.0295844055367745,0.235361000568505
2009,05047,61,433,6,101,3,3,9,104,0.00867823765020027,0.0865384615384615
2009,05049,59,284,2,256,0,0,2,256,0.0305744655440105,0.0078125
2009,05051,358,1478,454,2376,79,178,533,2554,0.036994655040051,0.208692247454973
2009,05053,41,517,16,133,17,67,33,200,0.0169319336268202,0.165
2009,05055,54,747,85,493,61,118,146,611,0.0227450396456092,0.238952536824877
2009,05057,131,523,43,249,0,25,43,274,0.0184115038301304,0.156934306569343
2009,05059,159,1142,81,265,16,16,97,281,0.0128786837160273,0.345195729537367
2009,05061,55,206,13,177,0,48,13,225,0.0241416309012876,0.0577777777777778
2009,05063,94,964,62,270,22,57,84,327,0.0140687518822871,0.256880733944954
2009,05065,24,387,56,463,0,4,56,467,0.0483887680033157,0.119914346895075
2009,05067,46,1521,31,271,0,2,31,273,0.0232182343936044,0.113553113553114
2009,05069,106,1819,102,933,22,98,124,1031,0.0200408202935174,0.120271580989331
2009,05071,36,460,52,179,0,21,52,200,0.0124626121635095,0.26
2009,05073,5,175,0,68,0,0,0,68,0.0130343109066513,0
2009,05075,6,282,19,198,0,2,19,200,0.0173490631505899,0.095
2009,05077,11,575,8,113,8,8,16,121,0.016738138055056,0.132231404958678
2009,05079,18,856,0,66,0,0,0,66,0.00721548048540505,0
2009,05081,37,149,28,313,0,0,28,313,0.0355399114340865,0.0894568690095847
2009,05083,33,402,51,417,0,27,51,444,0.0290728129910948,0.114864864864865
2009,05085,382,2081,275,1063,24,118,299,1181,0.029003659225423,0.253175275190517
2009,05087,60,315,105,365,0,10,105,375,0.0359229811284606,0.28
2009,05089,21,336,7,449,0,0,7,449,0.0364981303853032,0.0155902004454343
2009,05091,103,812,233,1833,0,60,233,1893,0.0660202978411746,0.123085050184892
2009,05093,22,612,103,602,104,120,207,722,0.0246172730062396,0.286703601108033
2009,05095,37,121,0,68,0,0,0,68,0.0116838487972509,0
2009,05097,26,232,72,277,0,0,72,277,0.043139697866376,0.259927797833935
2009,05099,7,125,0,106,0,0,0,106,0.0171938361719384,0
