"","cbsa_name","cbsa_size","i5hgc_density","cbsa_code"
"243","Los Angeles-Long Beach-Anaheim, CA","Large",112.8,"31080"
"244","Louisville/Jefferson County, KY-IN","Large",88.3,"31140"
"245","Lubbock, TX","Medium",30.5,"31180"
"246","Macon-Bibb County, GA","Small",25.9,"31420"
"247","Madera, CA","Small",13.2,"31460"
"248","Madison, WI","Medium",96.5,"31540"
"249","Malvern, AR","Micro",90.8,"31680"
"250","Manchester-Nashua, NH","Medium",94.8,"31700"
"251","Manhattan, KS","Small",66.1,"31740"
"252","Manitowoc, WI","Micro",61.7,"31820"
"253","Mansfield, OH","Small",8.2,"31900"
"254","Marietta, OH","Micro",16.3,"31930"
"255","Marion, IN","Micro",71.3,"31980"
"256","McPherson, KS","Micro",102.6,"32700"
"257","Medford, OR","Small",29.3,"32780"
"258","Memphis, TN-MS-AR","Large",46.7,"32820"
"259","Merced, CA","Medium",3.8,"32900"
"260","Miami-Fort Lauderdale-West Palm Beach, FL","Large",116.8,"33100"
"261","Michigan City-La Porte, IN","Small",44.9,"33140"
"262","Midland, MI","Small",59.8,"33220"
"263","Midland, TX","Small",21.3,"33260"
"264","Milwaukee-Waukesha-West Allis, WI","Large",83,"33340"
"265","Minneapolis-St. Paul-Bloomington, MN-WI","Large",128.3,"33460"
"266","Missoula, MT","Small",27.3,"33540"
"267","Mobile, AL","Medium",43.7,"33660"
"268","Modesto, CA","Medium",27.1,"33700"
"269","Monroe, LA","Small",28.3,"33740"
"270","Monroe, MI","Small",33.1,"33780"
"271","Montgomery, AL","Medium",26.9,"33860"
"272","Morehead City, NC","Micro",148.9,"33980"
"273","Morgan City, LA","Micro",18.3,"34020"
"274","Morgantown, WV","Small",53.4,"34060"
"275","Morristown, TN","Small",26.4,"34100"
"276","Moscow, ID","Micro",108.9,"34140"
"277","Moses Lake, WA","Micro",10.9,"34180"
"278","Mount Airy, NC","Micro",13.6,"34340"
"279","Mount Pleasant, MI","Micro",28.4,"34380"
"280","Mount Pleasant, TX","Micro",30.7,"34420"
"281","Mount Vernon, OH","Micro",49.4,"34540"
"282","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Medium",39.3,"34820"
"283","Napa, CA","Small",28.7,"34900"
"284","Naples-Immokalee-Marco Island, FL","Medium",42.9,"34940"
"285","Nashville-Davidson--Murfreesboro--Franklin, TN","Large",152.5,"34980"
"286","Natchez, MS-LA","Micro",19,"35020"
"287","New Castle, PA","Micro",66.4,"35260"
"288","New Haven-Milford, CT","Medium",46.4,"35300"
"289","New Orleans-Metairie, LA","Large",78.1,"35380"
"290","New Philadelphia-Dover, OH","Micro",54,"35420"
"291","Newton, IA","Micro",27.2,"35500"
"292","New York-Newark-Jersey City, NY-NJ-PA","Large",100.7,"35620"
"293","Niles-Benton Harbor, MI","Small",6.4,"35660"
"294","Norfolk, NE","Micro",20.9,"35740"
"295","North Port-Sarasota-Bradenton, FL","Medium",108.4,"35840"
"296","Norwich-New London, CT","Medium",25.6,"35980"
"297","Ocala, FL","Medium",42.1,"36100"
"298","Ocean City, NJ","Small",20.8,"36140"
"299","Ogden-Clearfield, UT","Medium",83.5,"36260"
"300","Oklahoma City, OK","Large",84.4,"36420"
"301","Olympia-Tumwater, WA","Medium",15.5,"36500"
"302","Omaha-Council Bluffs, NE-IA","Medium",96.7,"36540"
"303","Oneonta, NY","Micro",16.1,"36580"
"304","Orlando-Kissimmee-Sanford, FL","Large",124.5,"36740"
"305","Oshkosh-Neenah, WI","Small",12,"36780"
"306","Ottawa-Peru, IL","Micro",12.9,"36860"
"307","Owatonna, MN","Micro",27.3,"36940"
"308","Owensboro, KY","Small",8.7,"36980"
"309","Owosso, MI","Micro",57.4,"37020"
"310","Oxford, MS","Micro",209.3,"37060"
"311","Oxnard-Thousand Oaks-Ventura, CA","Medium",108,"37100"
"312","Paducah, KY-IL","Micro",20.3,"37140"
"313","Palm Bay-Melbourne-Titusville, FL","Medium",18.4,"37340"
"314","Pampa, TX","Micro",44.5,"37420"
"315","Panama City, FL","Small",10.9,"37460"
"316","Parkersburg-Vienna, WV","Small",21.6,"37620"
"317","Payson, AZ","Micro",18.7,"37740"
"318","Pella, IA","Micro",30.1,"37800"
"319","Pensacola-Ferry Pass-Brent, FL","Medium",40,"37860"
"320","Peoria, IL","Medium",13.2,"37900"
"321","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Large",116.7,"37980"
"322","Phoenix-Mesa-Scottsdale, AZ","Large",118.6,"38060"
"323","Pinehurst-Southern Pines, NC","Micro",80.1,"38240"
"324","Pittsburgh, PA","Large",73.8,"38300"
"325","Pocatello, ID","Small",12,"38540"
"326","Poplar Bluff, MO","Micro",47.4,"38740"
"327","Portland-South Portland, ME","Medium",106.5,"38860"
