cbsa_code,cbsa_name,pop_total,pop_white,pop_black,pop_latino,pop_asian,pct_edu_hsplus_white,pct_edu_hsplus_black,pct_edu_hsplus_asian,pct_edu_hsplus_latino,pct_edu_baplus_white,pct_edu_baplus_black,pct_edu_baplus_asian,pct_edu_baplus_latino,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus,pct_nocar,income_total,income_white,income_black,income_asian,pct_belowpoverty_total,pct_belowpoverty_white,pct_belowpoverty_black,pct_belowpoverty_asian,pct_belowpoverty_latino,pct_edu_hs,pct_edu_somecollege,pct_edu_associate,pct_edu_ba,pct_edu_grad,pct_edu_baplus,pct_edu_hsplus,lfp_total,lfp_white,lfp_black,lfp_asian,lfp_latino,epratio_total,epratio_white,epratio_black,epratio_asian,epratio_latino,unemp_total,unemp_white,unemp_black,unemp_asian,unemp_latino,income_edu_hs,income_edu_ba,income_edu_grad,pct_drivealone_total,pct_drivealone_white,pct_drivealone_black,pct_drivealone_asian,pct_drivealone_latino,pct_publictrans_total,pct_publictrans_white,pct_publictrans_black,pct_publictrans_asian,pct_publictrans_latino
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1830410,1333558,276548,127924,47468,0.9159282516177679,0.8690829303969769,0.8327300438178701,0.6172061090093877,0.3615652837004818,0.26035396483570067,0.502127389344002,0.15277193965718555,36339,85131,0.06950853884365539,0.42685978080840115,0.04837935035138427,37910,36242,22620,36451,0.128,0.094,0.228,0.1,0.271,0.275,0.205,0.071,0.221,0.11900000000000001,0.34,0.891,0.6779999999999999,0.669,0.6890000000000001,0.7,0.743,0.642,0.639,0.63,0.669,0.7070000000000001,0.05,0.044000000000000004,0.084,0.043,0.045,30105,48993,60841,0.8176227009199067,0.8318137491334698,0.8176227009199067,0.7267757341510281,0.7121229975754026,0.010784431131145758,0.006306516469214742,0.03250204416765998,0.011583277881600998,0.011480200881542257
35020,"Natchez, MS-LA Micro Area",51794,23146,24988,2933,240,0.839514853225523,0.7509559330533442,0.6824324324324325,0.5734573947110676,0.18509404113200914,0.12975615871622892,0.10135135135135136,0.03525954946131244,158,1861,0.05258250452079566,0.08490059108006448,0.10639083856667898,26509,30075,29534,31111,0.331,0.171,0.44299999999999995,0.716,0.654,0.37,0.193,0.069,0.09699999999999999,0.054000000000000006,0.151,0.7829999999999999,0.46,0.489,0.469,0.27,0.17,0.41200000000000003,0.461,0.4,0.27,0.141,0.10300000000000001,0.055999999999999994,0.146,0,0.17,22257,35551,40410,0.8885833831440526,0.8561159133753276,0.927728025573306,0.44429169157202636,0.9821184761065845,0.0054991034070531975,0.0019564117890477723,0.009871738495040432,0,0
35060,"Natchitoches, LA Micro Area",39051,20564,15975,844,266,0.8757117171111777,0.8035485000583635,0.8571428571428571,0.9320987654320988,0.2416841474378184,0.12069569277460021,0.41208791208791207,0.1697530864197531,186,740,0.031954400207271784,0.25135135135135134,0.11196645817581964,26484,26423,27617,NA,0.319,0.222,0.45799999999999996,0.049,0.212,0.331,0.191,0.135,0.124,0.07,0.194,0.851,0.49,0.485,0.48700000000000004,0.703,0.496,0.42200000000000004,0.44299999999999995,0.379,0.703,0.39899999999999997,0.136,0.087,0.22,0,0.165,23040,40859,51515,0.8425505248315839,0.85850242805559,0.8089445209921474,0.6740404198652672,0.9312400537612244,0.004856650477831741,0.00175541583536087,0.010045379620814369,0.031568228105906315,0
35100,"New Bern, NC Metro Area",125953,83857,27031,8267,2978,0.9179560569071471,0.7786600496277916,0.635223880597015,0.6336148188504495,0.2699048741476555,0.11568789633305762,0.23940298507462687,0.11904113320621085,1531,6720,0.07982988631368869,0.22782738095238095,0.06884303787364808,31511,31473,22925,22694,0.163,0.096,0.314,0.297,0.276,0.266,0.26899999999999996,0.106,0.145,0.084,0.22899999999999998,0.8699999999999999,0.599,0.59,0.575,0.675,0.763,0.484,0.485,0.46299999999999997,0.573,0.517,0.084,0.067,0.136,0.076,0.083,27630,41347,62089,0.8091913484723072,0.8279009750265801,0.7967422508035025,0.8091913484723071,0.6540039665735086,0.001835390650304099,0.0012996263275274688,0.0031342824951346923,0,0.0044250514308701566
35140,"Newberry, SC Micro Area",37914,22674,11972,2773,74,0.8749775354939197,0.7147952443857332,1,0.4316860465116279,0.22075121308332835,0.08599735799207398,0.358974358974359,0.023982558139534885,153,893,0.03460972017673049,0.1713325867861142,0.08057476666890485,30045,32655,16703,NA,0.198,0.12300000000000001,0.244,0,0.615,0.374,0.16699999999999998,0.092,0.11599999999999999,0.055,0.17099999999999999,0.8039999999999998,0.579,0.5589999999999999,0.596,0.284,0.735,0.532,0.525,0.532,0.284,0.633,0.081,0.06,0.10800000000000001,0,0.139,26262,44912,51979,0.8761548064918852,0.8846337239740647,0.89333431250153,0.8761548064918853,0.7301290054099043,8.739076154806492e-4,0.0013094518948089083,0,0,9.401127378655468e-4
35220,"New Castle, IN Micro Area",48649,45652,1109,813,228,0.8931618685163587,0.8074534161490683,0.632,0.6363636363636364,0.16812964213369344,0.03354037267080745,0.24,0.11086474501108648,246,1928,0.05595704542156436,0.1275933609958506,0.04078249336870027,32045,30467,18656,26318,0.161,0.157,0.201,0.27,0.213,0.436,0.207,0.078,0.11,0.055,0.165,0.886,0.541,0.55,0.40700000000000003,0.41100000000000003,0.516,0.502,0.51,0.384,0.41100000000000003,0.47200000000000003,0.07,0.071,0.057,0,0.085,28693,41075,55729,0.8534155837589119,0.8525219548753947,0.8960863629468575,1.1378874450118828,0.8534155837589118,0.001719168731354604,0.0016417611340265956,0.007564342417960258,0,0
35260,"New Castle, PA Micro Area",88231,81198,3106,1151,400,0.9006324760514705,0.8687852383393132,0.8888888888888888,0.8041431261770244,0.20984112604224336,0.09687339825730394,0.3991769547325103,0.2335216572504708,452,1803,0.028636320320193132,0.2506932889628397,0.09444232758151434,33900,30701,16544,31532,0.14,0.122,0.37799999999999995,0.019,0.284,0.441,0.16,0.09,0.136,0.07200000000000001,0.20800000000000002,0.899,0.579,0.579,0.53,0.579,0.654,0.541,0.5429999999999999,0.475,0.556,0.6409999999999999,0.065,0.062,0.10300000000000001,0.04,0.02,27500,46495,58783,0.8398075923036922,0.8424849810145435,0.8398075923036922,0.8398075923036922,0.7698236262783845,0.008346333853354135,0.008647901707779257,0.00745208379763762,0,0
35300,"New Haven-Milford, CT Metro Area",862127,553000,105661,148446,33678,0.9339215728679321,0.8701436324841403,0.9068817110811633,0.7426521523998021,0.3877887431906708,0.21912904011112544,0.6573490414293788,0.15420583869371599,10695,23391,0.039261202560009666,0.45722713864306785,0.11533833024844076,45686,44580,26780,43593,0.121,0.071,0.214,0.1,0.23800000000000002,0.307,0.17300000000000001,0.07400000000000001,0.188,0.159,0.347,0.901,0.653,0.648,0.667,0.669,0.6609999999999999,0.602,0.607,0.584,0.64,0.591,0.077,0.062,0.124,0.044000000000000004,0.105,35195,56741,73190,0.7835539679539478,0.8203729502953963,0.7111246095716501,0.6529616399616232,0.7195903787332175,0.04145602101631492,0.02361958319284903,0.1052077172010681,0.0582358390467281,0.06373510714072907
35380,"New Orleans-Metairie, LA Metro Area",1260660,653758,435693,109225,36679,0.912971277191952,0.8060415967077014,0.7469449509252435,0.7417812400081388,0.367688753869793,0.1691768538828119,0.39073592737711915,0.18964915850361888,16319,43488,0.050088744890402076,0.3752529433406917,0.10372969341766203,36203,40062,25660,31377,0.18,0.095,0.3,0.134,0.218,0.28600000000000003,0.228,0.055999999999999994,0.183,0.107,0.29,0.8600000000000001,0.628,0.642,0.586,0.638,0.7020000000000001,0.581,0.608,0.517,0.61,0.653,0.071,0.049,0.11599999999999999,0.043,0.064,28688,47558,62218,0.7864793328184256,0.8211565520784972,0.7705908614483564,0.710368429642449,0.6741251424157934,0.027962961355885135,0.0074962436086323464,0.06722408891616831,0.020746713264043808,0.03011395838326092
35420,"New Philadelphia-Dover, OH Micro Area",92531,87899,731,2251,383,0.8708356266390391,0.7254901960784313,0.9411764705882353,0.43767840152235965,0.1520866383915563,0.0766488413547237,0.4117647058823529,0.0390104662226451,462,2145,0.03351719611856806,0.2153846153846154,0.07412170296596257,32464,30042,19828,NA,0.138,0.13,0.462,0.214,0.256,0.465,0.174,0.073,0.1,0.051,0.151,0.863,0.62,0.622,0.551,0.583,0.657,0.589,0.591,0.514,0.583,0.657,0.049,0.05,0.066,0,0,29027,41535,57202,0.8468144174665914,0.849457958832252,0.4234072087332957,0.6351108130999434,0.8468144174665914,0.002376246941464333,0.002326793311048842,0.0029703086768304156,0.023762469414643324,0
35440,"Newport, OR Micro Area",47307,39216,204,4188,555,0.909139632396986,0.953125,0.9653579676674365,0.6548587841072283,0.24723351934171947,0.09375,0.5381062355658198,0.1460028721876496,827,2419,0.06680106042195957,0.3418768085985945,0.07516687626971075,26722,25537,19173,25417,0.184,0.16899999999999998,0.419,0.281,0.261,0.287,0.281,0.086,0.146,0.095,0.241,0.895,0.505,0.488,0.38799999999999996,0.59,0.711,0.47100000000000003,0.45299999999999996,0.29600000000000004,0.59,0.688,0.065,0.069,0.237,0,0.027000000000000003,23223,32679,42500,0.7236749499214986,0.7280396963022072,0.9648999332286647,0.8684099399057984,0.6407538619096602,0.013318174435601755,0.00960707878466809,0,0.036403010123978126,0.033295436089004385
35460,"Newport, TN Micro Area",35262,32994,564,776,0,0.78394215185139,0.8604651162790697,NaN,0.8379052369077307,0.11320284253833686,0.13953488372093023,NaN,0.16708229426433915,166,889,0.035049676707143984,0.18672665916760406,0.05626370614035088,26408,22884,24659,NA,0.25,0.248,0.391,NA,0.501,0.449,0.168,0.059000000000000004,0.071,0.043,0.11399999999999999,0.79,0.545,0.54,0.601,NA,0.6809999999999999,0.49200000000000005,0.48700000000000004,0.536,NA,0.597,0.096,0.098,0.10800000000000001,NA,0.12300000000000001,23084,35702,52188,0.8462688692680148,0.8543973856217097,0.8462688692680148,NaN,0.5641792461786765,0,NA,NA,NA,NA
35500,"Newton, IA Micro Area",36789,34649,586,738,155,0.939642567018684,0.8125,0.7716535433070866,0.6109589041095891,0.18480909829406986,0.0625,0.08661417322834646,0.14246575342465753,187,1669,0.06454232568931513,0.11204313960455363,0.04617078373357187,35186,31953,17250,30924,0.091,0.085,0.166,0.04,0.261,0.42,0.217,0.113,0.138,0.044000000000000004,0.18200000000000002,0.932,0.62,0.63,0.34700000000000003,0.521,0.475,0.591,0.6,0.318,0.521,0.475,0.046,0.046,0.084,0,0,31399,46581,58044,0.8161631508210133,0.817011553264694,0.6529305206568107,1.0202039385262665,0.7533813699886275,0.006018816104715713,0.006256565597417581,0,0,0
35580,"New Ulm, MN Micro Area",25243,23702,71,1030,177,0.9226262382217927,0.9285714285714286,1,0.6903353057199211,0.20161874848997344,0,0.12149532710280374,0.1301775147928994,105,397,0.02296789123517501,0.26448362720403024,0.05193100862392201,35983,31508,16277,31875,0.081,0.064,0.7290000000000001,0,0.397,0.377,0.22699999999999998,0.115,0.146,0.052000000000000005,0.198,0.917,0.6809999999999999,0.684,0.17600000000000002,0.7390000000000001,0.644,0.665,0.672,0.17600000000000002,0.7120000000000001,0.525,0.023,0.018000000000000002,0,0.035,0.185,30754,42059,53519,0.7954680977936792,0.8004501526859151,NaN,0.7954680977936791,0.6730883904408055,0.004621347644603459,0.004669587181603494,Inf,0,0
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",20192042,9488838,3171107,4863602,2178643,0.9375451514558499,0.8452679745701804,0.8297950047574344,0.6969318747189372,0.4851572048426303,0.2445079929845186,0.5320386844836501,0.18242090223036747,300198,559311,0.04011566395855996,0.5367282245477024,0.2989204700261313,45676,51907,26716,42795,0.138,0.077,0.201,0.129,0.222,0.252,0.152,0.068,0.225,0.162,0.387,0.859,0.6459999999999999,0.642,0.631,0.645,0.665,0.602,0.608,0.561,0.61,0.61,0.069,0.052000000000000005,0.111,0.054000000000000006,0.081,31574,61586,82811,0.49999165403992457,0.6001924106187758,0.4113855381341151,0.3849493265617117,0.3951899099616872,0.3115409187817068,0.22261932050595648,0.4416782646019134,0.39149389793807404,0.3741211906767222
35660,"Niles-Benton Harbor, MI Metro Area",154948,116416,22567,8080,2988,0.9209232021394105,0.7842669845053635,0.9428571428571428,0.6870286576168929,0.2785768269286669,0.1355035756853397,0.7177944862155389,0.26143790849673204,2181,4902,0.04573913205751449,0.4449204406364749,0.08430237169826287,32431,31424,19526,32500,0.172,0.11599999999999999,0.413,0.085,0.297,0.295,0.23,0.10300000000000001,0.158,0.109,0.267,0.895,0.611,0.613,0.5770000000000001,0.598,0.6990000000000001,0.5660000000000001,0.578,0.47700000000000004,0.5770000000000001,0.648,0.073,0.055999999999999994,0.174,0.036000000000000004,0.071,26718,45949,59335,0.8197942072070772,0.8413407383101418,0.7485077544064618,0.7378147864863694,0.7026807490346376,0.006061218304879281,0.003739900656202109,0.025088173157587285,6.06121830487928e-4,0.0012369833275263837
35700,"Nogales, AZ Micro Area",46358,6974,135,38653,353,0.9681539227069166,0.7935483870967742,0.7434944237918215,0.6925866236905721,0.45314314148283297,0.06451612903225806,0.42379182156133827,0.15511684125705077,253,1399,0.04844686082349275,0.18084345961401,0.044514388489208634,27703,33598,23913,37685,0.218,0.142,0.433,0.109,0.233,0.264,0.215,0.053,0.152,0.07,0.222,0.754,0.544,0.436,0.547,0.513,0.568,0.496,0.424,0.45299999999999996,0.513,0.512,0.087,0.027000000000000003,0.172,0,0.098,26347,41423,48188,0.8386292473617071,0.7673731675205163,0.9784007885886581,0.7338005914414936,0.8537669594079472,0.0031311608488924967,0,0,0,0.003767943259798432
35740,"Norfolk, NE Micro Area",48257,40779,576,5530,427,0.9411847822247342,0.8426229508196721,0.7288135593220338,0.4811650485436893,0.21678618107315695,0.17704918032786884,0.42033898305084744,0.051262135922330095,469,1871,0.0588216800804829,0.2506680919294495,0.0558450848150419,33936,30783,26492,68024,0.138,0.11199999999999999,0.36700000000000005,0.022000000000000002,0.284,0.315,0.21899999999999997,0.161,0.145,0.059000000000000004,0.204,0.899,0.701,0.6920000000000001,0.7709999999999999,0.648,0.7909999999999999,0.6779999999999999,0.675,0.6409999999999999,0.63,0.7290000000000001,0.032,0.024,0.16899999999999998,0.027999999999999997,0.078,30867,40670,61646,0.8039651134620044,0.8381174776389209,0.8039651134620044,0.3014869175482516,0.538656626019543,0.0029475894371315515,0.0029678943012220104,0,0,0.0036255350076718085
35820,"North Platte, NE Micro Area",36920,32739,322,2965,207,0.9429154367077618,0.9725490196078431,0.971830985915493,0.7281429483088705,0.23311338774092724,0.11764705882352941,0.22535211267605634,0.09444798978940651,332,1414,0.055805509511405796,0.2347949080622348,0.059487903484566514,35760,31797,26279,27448,0.126,0.10800000000000001,0.188,0.028999999999999998,0.318,0.28800000000000003,0.28600000000000003,0.134,0.15,0.07200000000000001,0.222,0.93,0.642,0.643,0.674,0.638,0.625,0.625,0.626,0.627,0.638,0.602,0.026000000000000002,0.025,0.07,0,0.037000000000000005,27710,49224,61798,0.842738309352518,0.8464672399248742,0.6895131621975147,0.9480805980215827,0.7900671650179856,0.0029788669064748203,0.0032952067549500224,0,0,0
35840,"North Port-Sarasota-Bradenton, FL Metro Area",768381,599265,49328,93345,13451,0.9352104708376915,0.822608125819135,0.8683173319858515,0.7218182510374234,0.3401109433440098,0.14007208387942333,0.47488630621526023,0.1792743746906765,17188,45404,0.07696675973060617,0.37855695533433176,0.05087776077523228,32447,31873,23361,27489,0.11900000000000001,0.084,0.299,0.158,0.24,0.3,0.20600000000000002,0.085,0.191,0.126,0.317,0.9079999999999999,0.506,0.47600000000000003,0.59,0.583,0.682,0.475,0.449,0.521,0.5589999999999999,0.642,0.061,0.055999999999999994,0.11800000000000001,0.04,0.057999999999999996,26998,45016,54633,0.8143459915611815,0.8259795057263412,0.827272118411359,0.7329113924050633,0.7660884513205188,0.007846792921859157,0.005258370321661461,0.02366493103417841,0.00902381186013803,0.014531098003442882
35860,"North Vernon, IN Micro Area",27840,26550,380,645,123,0.8605979919010374,0.7991266375545851,0.7903225806451613,0.6588235294117647,0.10617407222499584,0.1091703056768559,0.41935483870967744,0.13333333333333333,96,758,0.04057815845824411,0.1266490765171504,0.062029201153166555,33104,29521,NA,21146,0.139,0.132,0.456,0.21100000000000002,0.20199999999999999,0.46,0.20800000000000002,0.079,0.07400000000000001,0.033,0.10700000000000001,0.854,0.626,0.63,0.41700000000000004,0.557,0.6459999999999999,0.588,0.5920000000000001,0.317,0.557,0.6459999999999999,0.06,0.06,0.24,0,0,31927,42017,59792,0.8356526471274197,0.8399869450896988,0.9401092280183471,0.5013915882764518,0.7162736975377882,0.004275829899712353,0.0044355081947223575,0,0,0
35900,"North Wilkesboro, NC Micro Area",68525,60214,2820,4195,354,0.7961830855647545,0.8145695364238411,0.7286432160804021,0.4348279457768509,0.15820343341830403,0.14333017975402082,0.09045226130653267,0.08550573514077164,448,1523,0.03118090246499058,0.29415627051871307,0.06173239690257518,29654,27845,17867,20255,0.209,0.188,0.213,0,0.457,0.319,0.21,0.1,0.10800000000000001,0.046,0.15400000000000003,0.783,0.546,0.5329999999999999,0.542,0.813,0.79,0.505,0.494,0.48700000000000004,0.813,0.732,0.075,0.073,0.102,0,0.071,27590,42937,41828,0.8395646514318773,0.8529213617955663,0.6757471584695598,1.0261345739722945,0.6845681003983,4.700607463118311e-4,0,0.0017655940227322437,0,0.006118021405843216
35940,"Norwalk, OH Micro Area",58497,52999,757,3639,123,0.887660485021398,0.7364016736401674,1,0.6009879253567508,0.13936135191484691,0.13389121338912133,0.10833333333333334,0.08122941822173436,170,1895,0.04828271504280473,0.08970976253298153,0.07064172058052107,32293,30492,20723,26923,0.142,0.131,0.32899999999999996,0.13,0.26899999999999996,0.465,0.19,0.083,0.091,0.047,0.138,0.876,0.63,0.624,0.617,0.65,0.78,0.593,0.5920000000000001,0.426,0.65,0.6859999999999999,0.057999999999999996,0.051,0.302,0,0.121,31590,41370,56979,0.8364299684068001,0.8609241214946348,0.50185798104408,0.8364299684068001,0.48424892907762107,0.00639386189258312,0.001185846403071273,0.0038363171355498722,0,0.09243056490330687
35980,"Norwich-New London, CT Metro Area",270772,206261,14093,27186,11128,0.9401241401122796,0.843186372745491,0.84478277014482,0.786428821266177,0.35269233810389816,0.1557114228456914,0.43495482114123035,0.1721580972367961,3461,8954,0.04746909260555167,0.386531159258432,0.0619443433806312,43461,40438,25715,36966,0.099,0.07200000000000001,0.217,0.067,0.249,0.301,0.203,0.085,0.18100000000000002,0.149,0.33,0.919,0.6759999999999999,0.664,0.7040000000000001,0.738,0.741,0.6,0.598,0.5670000000000001,0.691,0.602,0.07,0.06,0.127,0.047,0.133,33036,54668,77489,0.800412669683258,0.8209097931066447,0.7114779286073404,0.7493224992779437,0.7185522830111066,0.014841628959276019,0.009938760493855772,0.07585721468074409,0.01578896697795321,0.02074454956807898
