cbsa_code,cbsa_name,unweighted_total,total,pemployed,med_hrly_earnings_adj,med_annual_earnings_adj,med_fam_income_adj,pmale,pa1824,pa2534,pa4554,pa5564,pa2550,pa5164,pwhiteNH,pblackNH,platino,pasianNH,plths,phs,psc,paa,pbaplus,pinsch,plep,pfb,plivewparent1824,pmar_1,pchildren,ppoor,p_below2xfpl,psafetynet,psoc_minor_412,psector_72,psector_3133,psector_4445
11020,"Altoona, PA",78,1168,1,11,17744,61048,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11100,"Amarillo, TX",338,7213,1,8,14711,35266,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11100,"Amarillo, TX",190,4223,1,8,9125,46149,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
11100,"Amarillo, TX",73,1417,1,9,15335,26172,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11100,"Amarillo, TX",571,12977,1,10,19424,34760,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11100,"Amarillo, TX",404,8776,1,11,20152,41311,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11100,"Amarillo, TX",225,3872,1,11,21159,51710,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11100,"Amarillo, TX",276,4626,1,9,19220,37868,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11100,"Amarillo, TX",153,2381,1,10,21075,44737,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11100,"Amarillo, TX",104,1492,1,11,22306,60835,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11180,"Ames, IA",78,2008,1,8,14195,25228,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11180,"Ames, IA",156,6068,1,8,6046,7184,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
11180,"Ames, IA",69,2616,1,9,11212,14784,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11180,"Ames, IA",118,2770,1,10,16121,42150,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11180,"Ames, IA",80,1742,1,10,18250,38862,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
11180,"Ames, IA",115,2807,1,11,18687,30522,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11180,"Ames, IA",53,865,1,11,19206,62498,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11180,"Ames, IA",39,709,1,13,25954,37079,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11180,"Ames, IA",35,719,1,10,18687,45679,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11260,"Anchorage, AK",319,13468,1,10,15114,62356,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
