cbsa_code,cbsa_name,year,patents_issued
26620,"Huntsville, AL",2000,103
45780,"Toledo, OH",2000,202
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",2000,148
36420,"Oklahoma City, OK",2000,178
11540,"Appleton, WI",2000,148
16300,"Cedar Rapids, IA",2000,101
27260,"Jacksonville, FL",2000,111
15940,"Canton-Massillon, OH",2000,108
46140,"Tulsa, OK",2000,135
35980,"Norwich-New London, CT",2000,165
23060,"Fort Wayne, IN",2000,153
24660,"Greensboro-High Point, NC",2000,129
36260,"Ogden-Clearfield, UT",2000,131
44140,"Springfield, MA",2000,111
25420,"Harrisburg-Carlisle, PA",2000,142
35840,"North Port-Bradenton-Sarasota, FL",2000,108
36780,"Oshkosh-Neenah, WI",2000,128
35380,"New Orleans-Metairie-Kenner, LA",2000,155
38860,"Portland-South Portland-Biddeford, ME",2000,74
23540,"Gainesville, FL",2000,101
29540,"Lancaster, PA",2000,111
36540,"Omaha-Council Bluffs, NE-IA",2000,95
16580,"Champaign-Urbana, IL",2000,62
48620,"Wichita, KS",2000,97
27060,"Ithaca, NY",2000,92
29140,"Lafayette, IN",2000,88
40420,"Rockford, IL",2000,101
22420,"Flint, MI",2000,81
49180,"Winston-Salem, NC",2000,82
28020,"Kalamazoo-Portage, MI",2000,109
49620,"York-Hanover, PA",2000,83
13820,"Birmingham-Hoover, AL",2000,64
12940,"Baton Rouge, LA",2000,167
43780,"South Bend-Mishawaka, IN-MI",2000,69
39540,"Racine, WI",2000,89
28700,"Kingsport-Bristol-Bristol, TN-VA",2000,126
38940,"Port St. Lucie, FL",2000,43
29620,"Lansing-East Lansing, MI",2000,84
21500,"Erie, PA",2000,103
44060,"Spokane, WA",2000,53
42020,"San Luis Obispo-Paso Robles, CA",2000,73
25860,"Hickory-Lenoir-Morganton, NC",2000,73
28740,"Kingston, NY",2000,78
39740,"Reading, PA",2000,130
16820,"Charlottesville, VA",2000,72
17900,"Columbia, SC",2000,69
35660,"Niles-Benton Harbor, MI",2000,48
21660,"Eugene-Springfield, OR",2000,73
21780,"Evansville, IN-KY",2000,66
19340,"Davenport-Moline-Rock Island, IA-IL",2000,44
28420,"Kennewick-Pasco-Richland, WA",2000,59
16700,"Charleston-North Charleston-Summerville, SC",2000,82
11180,"Ames, IA",2000,65
13980,"Blacksburg-Christiansburg-Radford, VA",2000,42
43900,"Spartanburg, SC",2000,59
41500,"Salinas, CA",2000,54
26180,"Honolulu, HI",2000,52
44300,"State College, PA",2000,56
30700,"Lincoln, NE",2000,83
12540,"Bakersfield-Delano, CA",2000,66
26980,"Iowa City, IA",2000,42
21300,"Elmira, NY",2000,46
14020,"Bloomington, IN",2000,21
49660,"Youngstown-Warren-Boardman, OH-PA",2000,67
42540,"Scranton--Wilkes-Barre, PA",2000,80
40220,"Roanoke, VA",2000,60
44700,"Stockton, CA",2000,56
34940,"Naples-Marco Island, FL",2000,42
11700,"Asheville, NC",2000,59
30860,"Logan, UT-ID",2000,48
19660,"Deltona-Daytona Beach-Ormond Beach, FL",2000,59
18020,"Columbus, IN",2000,60
29180,"Lafayette, LA",2000,56
29020,"Kokomo, IN",2000,44
17780,"College Station-Bryan, TX",2000,44
30780,"Little Rock-North Little Rock-Conway, AR",2000,75
45220,"Tallahassee, FL",2000,31
46700,"Vallejo-Fairfield, CA",2000,37
15980,"Cape Coral-Fort Myers, FL",2000,42
22020,"Fargo, ND-MN",2000,47
40980,"Saginaw-Saginaw Township North, MI",2000,40
48900,"Wilmington, NC",2000,33
23420,"Fresno, CA",2000,58
12260,"Augusta-Richmond County, GA-SC",2000,38
16860,"Chattanooga, TN-GA",2000,60
26820,"Idaho Falls, ID",2000,37
21140,"Elkhart-Goshen, IN",2000,50
13460,"Bend, OR",2000,31
22220,"Fayetteville-Springdale-Rogers, AR-MO",2000,48
12700,"Barnstable Town, MA",2000,50
43100,"Sheboygan, WI",2000,33
33780,"Monroe, MI",2000,38
13380,"Bellingham, WA",2000,41
12020,"Athens-Clarke County, GA",2000,66
41420,"Salem, OR",2000,38
42140,"Santa Fe, NM",2000,30
37860,"Pensacola-Ferry Pass-Brent, FL",2000,52
24580,"Green Bay, WI",2000,45
33700,"Modesto, CA",2000,42
22380,"Flagstaff, AZ",2000,27
21340,"El Paso, TX",2000,29
36500,"Olympia, WA",2000,21
20740,"Eau Claire, WI",2000,36
47940,"Waterloo-Cedar Falls, IA",2000,23
29460,"Lakeland-Winter Haven, FL",2000,39
31340,"Lynchburg, VA",2000,37
17860,"Columbia, MO",2000,22
16620,"Charleston, WV",2000,43
43580,"Sioux City, IA-NE-SD",2000,32
22500,"Florence, SC",2000,42
44180,"Springfield, MO",2000,34
34900,"Napa, CA",2000,21
27500,"Janesville, WI",2000,21
14060,"Bloomington-Normal, IL",2000,22
11340,"Anderson, SC",2000,23
29940,"Lawrence, KS",2000,24
27140,"Jackson, MS",2000,42
