cbsa_code,cbsa_name,tracts,households,price,income,pi,pi_map,pi_10,pi_90,pi_10_90
14540,"Bowling Green, KY",38,63544,"$132,018","$44,759",3.5,Normal range,5%,5%,89%
14740,"Bremerton-Silverdale, WA",51,96418,"$271,275","$68,434",3.96,Normal range,0%,0%,100%
14860,"Bridgeport-Stamford-Norwalk, CT",205,331205,"$523,555","$105,657",4.72,High,0%,14%,86%
15180,"Brownsville-Harlingen, TX",84,121290,"$78,530","$33,560",2.39,Normal range,25%,0%,75%
15260,"Brunswick, GA",21,44253,"$165,548","$46,534",3.36,Normal range,10%,5%,86%
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",288,468538,"$121,390","$51,768",2.38,Normal range,32%,2%,67%
15500,"Burlington, NC",36,62053,"$144,906","$46,148",3.22,Normal range,0%,0%,100%
15540,"Burlington-South Burlington, VT",46,85389,"$276,409","$65,402",4.61,High,0%,13%,87%
15680,"California-Lexington Park, MD",16,38574,"$295,119","$87,239",3.43,Normal range,0%,0%,100%
15940,"Canton-Massillon, OH",92,161299,"$114,745","$49,406",2.34,Low,22%,0%,78%
15980,"Cape Coral-Fort Myers, FL",164,256513,"$204,698","$53,904",3.57,Normal range,9%,4%,87%
16020,"Cape Girardeau, MO-IL",23,37170,"$113,457","$41,041",2.77,Normal range,13%,0%,87%
16060,"Carbondale-Marion, IL",28,48822,"$109,471","$43,021",2.89,Normal range,21%,7%,71%
16180,"Carson City, NV",13,21802,"$206,277","$52,082",3.91,Normal range,8%,0%,92%
16220,"Casper, WY",18,32422,"$195,033","$60,334",3.22,Normal range,0%,0%,100%
16300,"Cedar Rapids, IA",57,106405,"$143,274","$59,610",2.47,Normal range,5%,0%,95%
16540,"Chambersburg-Waynesboro, PA",27,59392,"$170,811","$54,952",3.24,Normal range,0%,4%,96%
16580,"Champaign-Urbana, IL",45,84697,"$141,411","$57,261",2.54,Normal range,16%,0%,84%
16620,"Charleston, WV",64,94549,"$107,142","$45,215",2.42,Normal range,28%,2%,70%
16700,"Charleston-North Charleston, SC",150,271468,"$253,692","$57,063",4.39,High,1%,12%,87%
16740,"Charlotte-Concord-Gastonia, NC-SC",528,875751,"$185,467","$59,346",3.12,Normal range,2%,1%,98%
16820,"Charlottesville, VA",45,83827,"$285,996","$63,285",4.75,High,0%,9%,91%
16860,"Chattanooga, TN-GA",116,208387,"$153,025","$49,189",3.19,Normal range,0%,2%,98%
16940,"Cheyenne, WY",19,36798,"$195,779","$63,077",3.09,Normal range,5%,0%,95%
16980,"Chicago-Naperville-Elgin, IL-IN-WI",2167,3400000,"$238,327","$66,370",3.76,Normal range,3%,6%,91%
17020,"Chico, CA",50,83930,"$226,164","$46,759",5.16,High,0%,16%,84%
17140,"Cincinnati, OH-KY-IN",480,815308,"$154,865","$58,066",2.8,Normal range,9%,1%,90%
17300,"Clarksville, TN-KY",55,94122,"$131,749","$47,109",2.86,Normal range,4%,0%,96%
17420,"Cleveland, TN",24,45944,"$130,517","$41,271",3.29,Normal range,0%,4%,96%
17460,"Cleveland-Elyria, OH",620,836168,"$130,128","$51,722",2.62,Normal range,16%,2%,82%
17660,"Coeur d'Alene, ID",25,57213,"$216,564","$53,002",4.07,Normal range,0%,0%,100%
17780,"College Station-Bryan, TX",47,81738,"$155,255","$51,189",3.59,Normal range,15%,9%,77%
17820,"Colorado Springs, CO",130,254885,"$227,603","$62,554",3.76,Normal range,1%,2%,97%
17860,"Columbia, MO",27,66057,"$166,537","$52,433",3.62,Normal range,0%,4%,96%
17900,"Columbia, SC",182,296949,"$147,634","$51,642",2.94,Normal range,7%,2%,91%
17980,"Columbus, GA-AL",67,106538,"$126,564","$42,443",3.08,Normal range,7%,3%,90%
18020,"Columbus, IN",15,31073,"$144,647","$58,057",2.45,Normal range,7%,0%,93%
18140,"Columbus, OH",414,744816,"$161,125","$60,420",2.71,Normal range,7%,1%,92%
18580,"Corpus Christi, TX",99,160663,"$121,820","$54,472",2.25,Low,40%,0%,60%
18700,"Corvallis, OR",17,32144,"$283,306","$53,221",6.82,Very high,0%,29%,71%
18880,"Crestview-Fort Walton Beach-Destin, FL",51,99903,"$209,404","$55,912",3.67,Normal range,0%,4%,96%
19060,"Cumberland, MD-WV",30,39456,"$119,143","$40,903",2.95,Normal range,10%,0%,90%
19100,"Dallas-Fort Worth-Arlington, TX",1238,2300000,"$188,427","$68,771",2.7,Normal range,21%,2%,76%
19140,"Dalton, GA",26,49080,"$112,319","$41,308",2.74,Normal range,12%,0%,88%
19180,"Danville, IL",24,31540,"$73,779","$43,831",1.68,Very low,92%,0%,8%
19300,"Daphne-Fairhope-Foley, AL",31,75149,"$181,829","$50,195",3.62,Normal range,3%,0%,97%
19340,"Davenport-Moline-Rock Island, IA-IL",104,154336,"$124,087","$52,580",2.35,Low,21%,1%,78%
19380,"Dayton, OH",206,326331,"$118,541","$49,995",2.45,Normal range,23%,0%,77%
19460,"Decatur, AL",36,59485,"$114,831","$45,901",2.54,Normal range,3%,0%,97%
19500,"Decatur, IL",34,44860,"$82,174","$46,528",1.8,Very low,76%,0%,24%
19660,"Deltona-Daytona Beach-Ormond Beach, FL",133,243460,"$150,881","$44,595",3.33,Normal range,3%,2%,95%
19740,"Denver-Aurora-Lakewood, CO",601,1000000,"$305,822","$74,950",4.21,Normal range,1%,7%,91%
19780,"Des Moines-West Des Moines, IA",129,234463,"$159,409","$63,523",2.52,Normal range,6%,0%,94%
19820,"Detroit-Warren-Dearborn, MI",1251,1600000,"$133,117","$56,972",2.22,Low,40%,0%,60%
20020,"Dothan, AL",34,56851,"$103,112","$39,452",2.65,Normal range,9%,0%,91%
20100,"Dover, DE",31,60984,"$197,032","$53,817",3.8,Normal range,0%,3%,97%
20220,"Dubuque, IA",26,38006,"$146,900","$57,269",2.57,Normal range,4%,0%,96%
20260,"Duluth, MN-WI",83,114767,"$138,072","$49,964",2.85,Normal range,11%,0%,89%
20500,"Durham-Chapel Hill, NC",100,206828,"$227,193","$59,345",4.03,Normal range,0%,7%,93%
20700,"East Stroudsburg, PA",33,57127,"$173,239","$58,572",3.01,Normal range,3%,0%,97%
20740,"Eau Claire, WI",30,64309,"$155,707","$52,788",3.07,Normal range,0%,3%,97%
20940,"El Centro, CA",30,45740,"$143,760","$43,941",3.51,Normal range,3%,3%,93%
