stco_code,co_name,type,oic,comp_type,largest_city_pop,pop1990,pop2000,pop2010,pop2016,mf_share_1970,mf_share_2016,projected_jobs_2016,job_deficit,percent_job_deficit,yf_jobs_2000,yf_jobs_2010,yf_jobs_2016,prod_1980,prod_1990,prod_2000,prod_2010,prod_2016,incpercap_00,incpercap_10,incpercap_16,incpercap_ch0016,incpercap_ch0010,incpercap_ch1016,incpercap_sigch0016,incpercap_sigch0010,incpercap_sigch1016,epop_00,epop_10,epop_16,epop_ch_0016,epop_ch_0010,epop_ch_1016,epop_sigch_0016,epop_sigch_0010,epop_sigch_1016,medinc00,medinc10,medinc16,medinc_ch_0016,medinc_ch_0010,medinc_ch_1016,medinc_sigch_0016,medinc_sigch_0010,medinc_sigch_1016,score_0016,gscore_0016,pscore_0016,iscore_0016,ext_povrate_1216,nih_nsf_ed_16,hub_share_15,units_16,units_10,fb_share_10,fb_share_16,fb_share_ch_1016,fb_share_sigch_1016,ba_rate_nhw,ba_rate_col,ba_rate_ch,ba_rate_sigch,DissInd_WB2015
38035,Grand Forks County,1,0,0,56952,70683,66109,66861,71083,0.064480732,0.049103361,37.26129517,6.488626561,0.174138514,3699,3860,3341,59312.2935,58239.25498,61975.9407,74025.4857,72481.31644,26350.67598,29141.99837,30369.68539,4019.009409,2791.322386,1227.687024,1,1,0,0.805339642,0.823512243,0.823,0.018089069,0.018172601,-8.35314e-5,0,1,0,49876.01913,47134.97649,50008,131.9808653,-2741.042648,2873.023513,0,0,0,0.42805566,0.185472728,0.730764735,0.367929516,0,15862532,0.368893865,339,144,0.037273664,0.05696158,0.019687916,0,0.350262503,0.217785844,0.13247666,0,0.552750732
39017,Butler County,2,0,0,62262,291479,332807,368130,377537,0.364086496,0.141493433,128.2831196,29.21941698,0.227772891,16441,13134,11475,67384.71318,73154.32042,85218.90664,92809.68837,94450.29657,31445.93205,28819.04929,31168.77634,-277.155713,-2626.882768,2349.727055,0,1,1,0.766580398,0.728294738,0.76557114,-0.001009258,-0.03828566,0.037276402,0,1,1,66740.6225,59893.03526,63273,-3467.622503,-6847.58724,3379.964737,1,1,0,-0.316162467,-0.259185358,-0.446828053,-0.242473989,0.087338606,4432583,0.342374171,1140,462,0.050467949,0.058452549,0.0079846,0,0.305586739,0.245642569,0.059944171,0,0.394565097
39023,Clark County,3,1,3,59618,147548,144742,138333,134786,0.358864955,0.133719926,87.65444552,-37.74611218,-0.430624048,3973,4065,4173,61420.92678,66277.72655,76099.26594,91270.02726,93224.88503,27588.8117,22656.49287,25620.20643,-1968.605272,-4932.318834,2963.713562,1,1,1,0.737352108,0.666869413,0.723946818,-0.01340529,-0.070482695,0.057077405,0,1,1,56224.63635,43463.93238,46811,-9413.636353,-12760.70398,3347.067624,1,1,0,-0.628313325,-0.467862003,-0.323670943,-1.093407028,0.239034801,562378,0.164518913,55,57,0.027533956,0.018881783,-0.008652173,1,0.184217348,0.13952453,0.044692818,0,0.622126509
39035,Cuyahoga County,3,1,3,387812,1412140,1393978,1280122,1249352,0.331914052,0.08915862,1386.969542,-634.231208,-0.457278396,72053,55460,57454,65102.9137,75896.64045,90585.20732,105340.3878,105101.5624,31332.49646,27786.72784,31303.59905,-28.89740641,-3545.768622,3516.871215,0,1,1,0.732285645,0.709540541,0.72340957,-0.008876075,-0.022745104,0.013869029,1,NA,NA,54591.13923,45404.32572,46601,-7990.139233,-9186.813515,1196.674282,1,1,1,-0.647991949,-0.854190808,-0.18725507,-0.902529971,0.344527649,288894263,0.514598431,829,531,0.072939615,0.073455679,5.16064e-4,0,0.376431749,0.198270337,0.178161411,1,0.706017508
39049,Franklin County,1,0,0,832193.076,961439,1068978,1163414,1264518,0.195015391,0.04805999,802.1675787,-18.52745942,-0.023096744,67855,56837,65772,70062.39361,77050.8464,88284.95231,103046.6083,103600.2142,32411.531609999998,28577.04374,31660.14352,-751.3880839,-3834.48787,3083.099786,1,1,1,0.784,0.746225054,0.782621403,-9.25009e-4,-0.037321359,0.03639635,0,1,1,59561.31904,52223.7047,56055,-3506.319036,-7337.614337,3831.295301,1,1,1,-0.209617336,-0.088118024,-0.260307758,-0.280426225,0.191158857,213952520,0.515216871,5770,3119,0.095794054,0.102215231,0.006421178,0,0.442590802,0.27517125,0.167419552,1,0.562716342
39061,Hamilton County,3,1,2,298654,866228,845303,802374,809099,0.324475862,0.089925046,816.8830064,-276.377093,-0.338331304,51090,37010,38790,72034.71777,80615.07346,90832.98103,103959.8188,104407.5573,33866.19652,31178.13808,33721.32425,-144.8722727,-2688.058448,2543.186175,0,1,1,0.754216644,0.715714557,0.758058132,0.003841488,-0.038502087,0.042343575,0,1,1,57094.34813,50773.07674,53229,-3865.34813,-6321.271391,2455.923261,1,1,0,-0.451033823,-0.846306587,-0.251094864,-0.255700018,0.278370093,74259265,0.527012447,1340,549,0.054051595,0.052332286,-0.001719309,0,0.435451699,0.216431341,0.219020358,1,0.611086503
39093,Lorain County,3,1,3,63668,271126,284664,301356,306365,0.337811104,0.163500569,155.6082854,-52.29932227,-0.336096,11859,8277,7631,62880.44819,71982.07737,84380.86745,90652.47074,91453.69002,29869.40287,27121.12382,30206.69259,337.2897285,-2748.279042,3085.568771,0,1,1,0.742593904,0.712559983,0.714219355,-0.02837455,-0.030033921,0.001659372,1,1,0,62778.1376,55126.05875,54504,-8274.137596,-7652.078848,-622.0587482,1,1,0,-0.867489898,-1.043562072,-0.432692014,-1.126215608,0.167314608,1260916,0.159035524,990,620,0.034655945,0.036711113,0.002055167,0,0.263580557,0.155065551,0.108515007,0,0.479426023
39095,Lucas County,3,1,3,279676,462361,455054,441815,432488,0.279065775,0.106596998,389.4181734,-165.7182449,-0.425553444,21084,17398,14779,63228.64046,70623.95409,85203.63035,96137.69742,101617.6761,28804.87316,25261.85577,28025.48939,-779.3837758,-3543.017397,2763.633621,0,1,1,0.740240753,0.685103001,0.728512149,-0.011728604,-0.055137752,0.043409148,0,1,1,52968.79226,42577.74255,44534,-8434.792265,-10391.04972,1956.257453,1,1,0,-0.734144677,-0.978503071,-0.203400491,-1.02053047,0.35878063,13099834,0.324047437,505,303,0.04168139,0.03539289,-0.006288501,0,0.291397711,0.174630733,0.116766978,1,0.555388037
39099,Mahoning County,3,1,3,64713,264806,257555,238823,230008,0.400682483,0.083550473,193.7297055,-92.04495006,-0.475120477,14067,10730,10010,61840.27708,69291.1159,82422.55737,88579.09157,89597.04475,26652.59238,24588.55394,26244.04702,-408.5453647,-2064.038439,1655.493074,0,1,0,0.69808059,0.656450337,0.701786214,0.003705623,-0.041630254,0.045335877,0,1,1,49127.56525,41560.87541,42295,-6832.56525,-7566.689842,734.1245928,1,1,0,-0.760612808,-1.046417467,-0.572019247,-0.663401712,0.390074223,80272,0.235000335,146,100,0.030103647,0.030629369,5.25723e-4,0,0.285100068,0.114133776,0.170966293,1,0.687376414
39113,Montgomery County,3,1,4,140575,573810,559062,535153,531239,0.358995939,0.100083845,443.443129,-177.8648512,-0.401099576,32361,19114,18213,63905.26653,72946.30914,82916.44756,96683.96738,95532.04617,30786.12004,25214.31604,28982.17323,-1803.946809,-5571.803995,3767.857186,1,1,1,0.734818439,0.677083483,0.728158677,-0.006659762,-0.057734956,0.051075193,0,1,1,55968.18288,44603.78992,46936,-9032.18288,-11364.39296,2332.210075,1,1,1,-0.966554446,-1.395244884,-0.55139068,-0.953027773,0.24736692,2893758,0.386485692,411,243,0.036311883,0.049117252,0.012805369,1,0.27847412,0.19372299,0.08475113,1,0.65308627
39151,Stark County,3,1,2,71865,367585,378098,375586,373612,0.4189919,0.15420291,245.0361219,-79.73328904,-0.325394021,16592,12775,12657,63684.36152,69811.49874,81684.10323,90123.49961,100849.752,28782.94075,25127.11118,28149.02595,-633.914798,-3655.829565,3021.914767,0,1,1,0.76041688,0.704493266,0.7522381,-0.008178779,-0.055923613,0.047744834,0,1,1,55505.45161,46850.56116,50994,-4511.451614,-8654.89045,4143.438836,1,1,1,-0.440748417,-0.799244491,-0.001238262,-0.521762498,0.224511973,NA,0.276288608,553,449,0.019660504,0.021701658,0.002041154,0,0.250008588,0.173878982,0.076129605,0,0.53166735
39153,Summit County,3,1,3,198244,514990,542899,541781,540300,0.365518259,0.103181801,414.3654076,-131.7958277,-0.318066676,29170,24550,23225,58852.49967,66749.37603,84292.78813,93532.65601,95134.22479,31978.41605,28037.67334,30550.95987,-1427.456183,-3940.742707,2513.286524,1,1,1,0.760733985,0.726218001,0.747530528,-0.013203457,-0.034515984,0.021312527,1,1,1,58961.99842,50066.98001,52036,-6925.99842,-8895.01841,1969.01999,1,1,0,-0.646500676,-0.564674347,-0.568487395,-0.806340286,0.161058544,8439417,0.209506657,636,561,0.043143482,0.052687396,0.009543914,1,0.333261691,0.230239304,0.10302238700000001,1,0.581371648
40027,Cleveland County,1,0,0,120184,174253,208016,255755,278655,0.048048255,0.044830256,48.31465965,37.13318008,0.76856963,9634,9584,9720,66752.47924,68024.62906,70623.11755,79212.00865,77852.73128,29009.13461,27836.41668,30351.52855,1342.393934,-1172.717938,2515.111872,1,0,1,0.750654462,0.732320649,0.770663804,0.020009341,-0.018333814,0.038343155,1,0,1,58323.65228,55968.32343,61288,2964.347724,-2355.328846,5319.676569,1,0,1,0.39327855,0.663514746,-0.155545918,0.671866822,0,19575218,0.342855777,1950,1143,0.052285953,0.05933502,0.007049067,0,0.33512587,0.322254806,0.012871064,0,0.36154752
