"Appendix Table 1: Average price-income ratios in U.S. metro areas, 2012-16",,,,,,,,,,
Note: Figures include only tracts where at least 10% of homes are owner-occupied,,,,,,,,,,
Source: Brookings Institution analysis of 2012-16 American Community Survey data,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,% of tracts where the price-income ratio is…,,
CBSA,Metro Name,# Tracts,# Households,Average price,Average income,Average price-income rato,Map category,Under 10th percentile,Between 10th-90th percentile,Above the 90th percentile
19300,"Daphne-Fairhope-Foley, AL",31,"75,149",181829,50195,3.62,Normal range,0.03,0.97,0.00
19340,"Davenport-Moline-Rock Island, IA-IL",104,"154,336",124087,52580,2.35,Low,0.21,0.78,0.01
19380,"Dayton, OH",206,"326,331",118541,49995,2.45,Normal range,0.23,0.77,0.00
19460,"Decatur, AL",36,"59,485",114831,45901,2.54,Normal range,0.03,0.97,0.00
19500,"Decatur, IL",34,"44,860",82174,46528,1.8,Very low,0.76,0.24,0.00
19660,"Deltona-Daytona Beach-Ormond Beach, FL",133,"243,460",150881,44595,3.33,Normal range,0.03,0.95,0.02
19740,"Denver-Aurora-Lakewood, CO",601,"1,000,000",305822,74950,4.21,Normal range,0.01,0.91,0.07
19780,"Des Moines-West Des Moines, IA",129,"234,463",159409,63523,2.52,Normal range,0.06,0.94,0.00
19820,"Detroit-Warren-Dearborn, MI",1251,"1,600,000",133117,56972,2.22,Low,0.40,0.60,0.00
20020,"Dothan, AL",34,"56,851",103112,39452,2.65,Normal range,0.09,0.91,0.00
20100,"Dover, DE",31,"60,984",197032,53817,3.8,Normal range,0.00,0.97,0.03
20220,"Dubuque, IA",26,"38,006",146900,57269,2.57,Normal range,0.04,0.96,0.00
20260,"Duluth, MN-WI",83,"114,767",138072,49964,2.85,Normal range,0.11,0.89,0.00
20500,"Durham-Chapel Hill, NC",100,"206,828",227193,59345,4.03,Normal range,0.00,0.93,0.07
20700,"East Stroudsburg, PA",33,"57,127",173239,58572,3.01,Normal range,0.03,0.97,0.00
20740,"Eau Claire, WI",30,"64,309",155707,52788,3.07,Normal range,0.00,0.97,0.03
20940,"El Centro, CA",30,"45,740",143760,43941,3.51,Normal range,0.03,0.93,0.03
21340,"El Paso, TX",153,"254,949",113315,42148,2.81,Normal range,0.08,0.92,0.00
21060,"Elizabethtown-Fort Knox, KY",29,"54,288",131597,48240,2.79,Normal range,0.03,0.97,0.00
21140,"Elkhart-Goshen, IN",36,"70,822",121536,48923,2.5,Normal range,0.08,0.92,0.00
21300,"Elmira, NY",20,"33,931",95385,47966,2.06,Low,0.50,0.50,0.00
21500,"Erie, PA",69,"108,812",112838,48106,2.35,Low,0.23,0.77,0.00
21660,"Eugene, OR",84,"142,138",233510,48799,5.16,High,0.00,0.88,0.12
21780,"Evansville, IN-KY",77,"126,521",110873,46359,2.49,Normal range,0.14,0.84,0.01
21820,"Fairbanks, AK",17,"32,459",214100,71140,3.18,Normal range,0.00,1.00,0.00
22020,"Fargo, ND-MN",44,"89,988",170993,57963,3.11,Normal range,0.05,0.93,0.02
