cbsa,CMA_CBSA_name,complex
39900,"Reno, NV",0.300202655
27980,"Kahului-Wailuku-Lahaina, HI",0.299323104
39340,"Provo-Orem, UT",0.298580527
29940,"Lawrence, KS",0.298461036
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0.297206624
12220,"Auburn-Opelika, AL",0.297070154
34060,"Morgantown, WV",0.296505223
29200,"Lafayette-West Lafayette, IN",0.291173182
45060,"Syracuse, NY",0.290011247
31540,"Madison, WI",0.288843287
35300,"New Haven-Milford, CT",0.287122001
41700,"San Antonio-New Braunfels, TX",0.286749029
22380,"Flagstaff, AZ",0.285980656
41180,"St. Louis, MO-IL",0.28569939
44300,"State College, PA",0.285678544
29820,"Las Vegas-Henderson-Paradise, NV",0.28545093
13980,"Blacksburg-Christiansburg-Radford, VA",0.282883722
41620,"Salt Lake City, UT",0.279325182
42680,"Sebastian-Vero Beach, FL",0.279154985
28940,"Knoxville, TN",0.278392362
30460,"Lexington-Fayette, KY",0.277139145
27740,"Johnson City, TN",0.275081385
21660,"Eugene, OR",0.2716818
49180,"Winston-Salem, NC",0.271486999
29740,"Las Cruces, NM",0.270959717
38540,"Pocatello, ID",0.270909203
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",0.270450072
17140,"Cincinnati, OH-KY-IN",0.270113725
31460,"Madera, CA",0.270109386
28700,"Kingsport-Bristol-Bristol, TN-VA",0.268331882
31340,"Lynchburg, VA",0.264231222
19060,"Cumberland, MD-WV",0.264214905
24540,"Greeley, CO",0.263033186
44420,"Staunton-Waynesboro, VA",0.262932409
36500,"Olympia-Tumwater, WA",0.262073141
17900,"Columbia, SC",0.261511904
19380,"Dayton, OH",0.260942784
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0.260876076
12700,"Barnstable Town, MA",0.260540274
30340,"Lewiston-Auburn, ME",0.260164042
16180,"Carson City, NV",0.259526824
46540,"Utica-Rome, NY",0.257966798
21820,"Fairbanks, AK",0.256744124
10540,"Albany, OR",0.256317117
15680,"California-Lexington Park, MD",0.255075736
22220,"Fayetteville-Springdale-Rogers, AR-MO",0.254890574
16740,"Charlotte-Concord-Gastonia, NC-SC",0.25440414
36100,"Ocala, FL",0.253907843
43300,"Sherman-Denison, TX",0.251467058
