"","Year","Academic.Institution..Campus.Level..survey.specific.","RDINST","fice","CITY","state","Zip","Total.R.D.Expenditures.in.All.Fields.Sum.","Total.R.D.Expenditures.in.All.Fields.Sum..Flag","Deflated.Total.R.D.Expenditures.in.All.Fields.Sum.","Deflated.Total.R.D.Expenditures.in.All.Fields.Sum..Flag","Business.Financed.R.D.Expenditures.Sum.","Business.Financed.R.D.Expenditures.Sum..Flag","Deflated.Business.Financed.R.D.Expenditures.Sum.","Deflated.Business.Financed.R.D.Expenditures.Sum..Flag","county","fips","cbsacode"
"121",2012,"College of William and Mary",8828,8828,"Williamsburg","Virginia","23185",55805,"",53243.97,"","1301","","1241.29","","51095","51095",47260
"122",2012,"College of Wooster, The",3037,3037,"Wooster","Ohio","44691",966,"",921.67,"","0","","0.00","","39005","39005",11740
"123",2012,"College of Wooster, The",3037,3037,"Wooster","Ohio","44691",966,"",921.67,"","0","","0.00","","39169","39169",49300
"124",2012,"Colorado College",1347,1347,"Colorado Spg","Colorado","80903",1248,"",1190.73,"","7","","6.68","","8041","08041",17820
"125",2012,"Colorado School of Mines",1348,1348,"Golden","Colorado","80401",58836,"",56135.86,"","16566","","15805.74","","8059","08059",19740
"126",2012,"Colorado State University, Fort Collins",1350,1350,"Fort Collins","Colorado","80523",375919,"",358667.11,"","9014","","8600.32","","8069","08069",22660
"127",2012,"Columbia College, Chicago",1665,1665,"Chicago","Illinois","60605",1318,"",1257.51,"","0","","0.00","","17031","17031",16980
"128",2012,"Columbia University in the City of New York",2707,2707,"New York","New York","10027",889487,"",848666.16,"","37341","","35627.33","","36061","36061",35620
"129",2012,"Columbia University, Teachers College",3979,3979,"New York","New York","10027",20805,"",19850.21,"","5620","","5362.08","","36061","36061",35620
"130",2012,"Columbus State University",1561,1561,"Columbus","Georgia","31993",1432,"",1366.28,"","14","","13.36","","13215","13215",17980
"131",2012,"Commonwealth Medical College, The",667004,667004,"Scranton","Pennsylvania","18509",2777,"",2649.56,"","0","","0.00","","42069","42069",42540
"132",2012,"Connecticut College",1379,1379,"New London","Connecticut","06320",1740,"",1660.15,"","0","","0.00","","9011","09011",35980
"133",2012,"Cornell University",8779,8779,"Ithaca","New York","14850",802387,"",765563.4,"","31365","","29925.58","","36109","36109",27060
"134",2012,"Creighton University",2542,2542,"Omaha","Nebraska","68178",32594,"",31098.18,"","4811","","4590.21","","31055","31055",36540
"135",2012,"Dakota State University",3463,3463,"Madison","South Dakota","57042",5709,"",5447,"","177","","168.88","","46079","46079",NA
"136",2012,"Dakota State University",3463,3463,"Madison","South Dakota","57042",5709,"",5447,"","177","","168.88","","46099","46099",43620
"137",2012,"Dakota State University",3463,3463,"Madison","South Dakota","57042",5709,"",5447,"","177","","168.88","","46087","46087",43620
"138",2012,"Dartmouth College",2573,2573,"Hanover","New Hampshire","03755",195930,"",186938.27,"","5939","","5666.44","","33009","33009",17200
"139",2012,"Davidson College",2918,2918,"Davidson","North Carolina","28036",1400,"",1335.75,"","55","","52.48","","37097","37097",16740
"140",2012,"Davidson College",2918,2918,"Davidson","North Carolina","28036",1400,"",1335.75,"","55","","52.48","","37119","37119",16740
"141",2012,"Davidson College",2918,2918,"Davidson","North Carolina","28036",1400,"",1335.75,"","55","","52.48","","37025","37025",16740
"142",2012,"Davidson College",2918,2918,"Davidson","North Carolina","28036",1400,"",1335.75,"","55","","52.48","","37159","37159",16740
"143",2012,"DePaul University",1671,1671,"Chicago","Illinois","60604",5706,"",5444.14,"","65","","62.02","","17031","17031",16980
"144",2012,"Delaware State University",1428,1428,"Dover","Delaware","19901",15668,"",14948.96,"","23","","21.94","","10001","10001",20100
"145",2012,"Desert Research Institute",8907,8907,"Reno","Nevada","89501",33056,"",31538.98,"","451","","430.30","","32031","32031",39900
"146",2012,"Dickinson College",3253,3253,"Carlisle","Pennsylvania","17013",2167,"",2067.55,"","0","","0.00","","42041","42041",25420
"147",2012,"Dillard University",2004,2004,"New Orleans","Louisiana","70122",7448,"",7106.19,"","8","","7.63","","22071","22071",35380
"148",2012,"Doane College",2544,2544,"Crete","Nebraska","68333",678,"",646.88,"","0","","0.00","","31151","31151",NA
"149",2012,"Doane College",2544,2544,"Crete","Nebraska","68333",678,"",646.88,"","0","","0.00","","31109","31109",30700
"150",2012,"Drew University",2603,2603,"Madison","New Jersey","07940",1597,"",1523.71,"","53","","50.57","","34027","34027",35620
"151",2012,"Drexel University",3256,3256,"Philadelphia","Pennsylvania","19104",116768,"",111409.22,"","2531","","2414.85","","42101","42101",37980
"152",2012,"Duke University",2920,2920,"Durham","North Carolina","27706",1009911,"",963563.59,"","226200","","215819.10","","37063","37063",20500
"153",2012,"Duquesne University",3258,3258,"Pittsburgh","Pennsylvania","15282",15547,"",14833.51,"","323","","308.18","","42003","42003",38300
"154",2012,"East Carolina University",2923,2923,"Greenville","North Carolina","27858",31990,"",30521.9,"","4855","","4632.19","","37147","37147",24780
"155",2012,"East Central University",3154,3154,"Ada","Oklahoma","74820",937,"",894,"","0","","0.00","","40069","40069",NA
"156",2012,"East Central University",3154,3154,"Ada","Oklahoma","74820",937,"",894,"","0","","0.00","","40123","40123",10220
"157",2012,"East Tennessee State University",3487,3487,"Johnson City","Tennessee","37614",11213,"",10698.41,"","683","","651.66","","47179","47179",27740
"158",2012,"Eastern Kentucky University",1963,1963,"Richmond","Kentucky","40475",3404,"",3247.78,"","50","","47.71","","21151","21151",40080
"159",2012,"Eastern Michigan University",2259,2259,"Ypsilanti","Michigan","48197",12437,"",11866.23,"","487","","464.65","","26161","26161",11460
"160",2012,"Eastern Virginia Medical School",10338,10338,"Norfolk","Virginia","23501",37745,"",36012.79,"","2151","","2052.29","","51710","51710",47260
"161",2012,"Eastern Washington University",3775,3775,"Cheney","Washington","99004",2700,"",2576.09,"","205","","195.59","","53063","53063",44060
"162",2012,"Eastern Washington University",3775,3775,"Cheney","Washington","99004",2700,"",2576.09,"","205","","195.59","","53075","53075",39420
"163",2012,"Edward Via College of Osteopathic Medicine",101555,37093,"Blacksburg","Virginia","24060",2576,"",2457.78,"","0","","0.00","","51121","51121",13980
"164",2012,"Elizabeth City State University",2926,2926,"Elizabeth Cy","North Carolina","27909",4455,"",4250.55,"","0","","0.00","","37139","37139",21020
"165",2012,"Elizabeth City State University",2926,2926,"Elizabeth Cy","North Carolina","27909",4455,"",4250.55,"","0","","0.00","","37029","37029",21020
"166",2012,"Elon University",2927,2927,"Elon College","North Carolina","27244",1658,"",1581.91,"","3","","2.86","","37001","37001",15500
