Jurisdiction,Young..less.educated..and.diverse,Less.educated..prime.age.people,Diverse..less.educated..and.eyeing.retirement,Motivated.and.moderately.educated.younger.people,Moderately.educated.older.people,Highly.educated.and.engaged.younger.people,Highly.educated..high.income.older.people,fips,cbsacode
"Chicago, IL",0.00,0.46,0.13,0.09,0.15,0.12,0.05,17031,16980
"Clark County (excluding Las Vegas), NV",0.00,0.44,0.12,0.23,0.07,0.02,0.12,32003,29820
"Cook County (excluding Chicago), IL",0.19,0.30,0.00,0.21,0.07,0.06,0.17,17031,16980
"Denver, CO",0.27,0.24,0.00,0.23,0.00,0.11,0.14,8031,19740
"Detroit, MI",0.66,0.00,0.00,0.22,0.05,0.05,0.02,26163,19820
"El Paso, TX",0.00,0.42,0.16,0.09,0.18,0.06,0.08,48141,21340
"Indianapolis, IN",0.20,0.41,0.00,0.10,0.15,0.02,0.12,18097,26900
"Jacksonville, FL",0.17,0.38,0.00,0.24,0.06,0.05,0.10,12031,27260
"King County (excluding Seattle), WA",0.13,0.28,0.00,0.19,0.09,0.09,0.22,53033,42660
"Las Vegas, NV",0.19,0.39,0.00,0.12,0.16,0.04,0.09,32003,29820
"Los Angeles County (excluding Los Angeles city), CA",0.00,0.58,0.00,0.17,0.07,0.08,0.10,6037,31080
"Los Angeles, CA",0.00,0.47,0.13,0.16,0.05,0.14,0.05,6037,31080
"Louisville/Jefferson County, KY",0.14,0.29,0.12,0.20,0.08,0.11,0.06,21111,31140
"Manhattan, New York city",0.00,0.35,0.11,0.12,0.05,0.11,0.26,36061,35620
"Maricopa County (excluding Phoenix), AZ",0.00,0.38,0.11,0.19,0.12,0.07,0.13,4013,38060
"Milwaukee, WI",0.00,0.54,0.11,0.19,0.10,0.00,0.07,55079,33340
"Nashville-Davidson, TN",0.00,0.45,0.11,0.07,0.15,0.07,0.15,47037,34980
"Philadelphia, PA",0.23,0.35,0.12,0.07,0.11,0.09,0.03,42101,37980
"Phoenix, AZ",0.18,0.37,0.10,0.08,0.14,0.08,0.04,4013,38060
"Portland, OR",0.12,0.28,0.00,0.11,0.22,0.12,0.16,41051,38900
"Queens and Staten Island, New York City",0.00,0.44,0.16,0.17,0.04,0.15,0.04,36085,35620
"San Francisco, CA",0.00,0.26,0.13,0.04,0.19,0.29,0.09,6075,41860
"Seattle, WA",0.11,0.18,0.00,0.06,0.21,0.11,0.32,53033,42660
"The Bronx, New York City",0.22,0.33,0.12,0.18,0.04,0.08,0.02,36005,35620
"Washington, DC",0.19,0.30,0.00,0.16,0.07,0.08,0.19,11001,47900
"Wayne County (excluding Detroit), MI",0.15,0.41,0.00,0.08,0.20,0.10,0.05,26163,19820
