GeoType,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Metropolitan Statistical Area,136260,"Ogden-Clearfield, UT",131,117,113,102,126,101,127,88,103,93,133,133,117,151,155,197,1987
Metropolitan Statistical Area,144140,"Springfield, MA",111,136,167,126,89,89,132,96,85,125,118,120,140,147,138,165,1981
Metropolitan Statistical Area,125420,"Harrisburg-Carlisle, PA",142,114,123,114,142,93,120,104,104,97,151,128,135,123,130,125,1945
Metropolitan Statistical Area,135840,"North Port-Bradenton-Sarasota, FL",108,114,87,106,103,109,110,109,95,93,130,133,171,151,145,141,1900
Metropolitan Statistical Area,136780,"Oshkosh-Neenah, WI",128,117,132,146,140,124,101,105,86,90,145,129,117,116,114,98,1888
Metropolitan Statistical Area,135380,"New Orleans-Metairie-Kenner, LA",155,161,169,120,120,70,115,85,78,86,100,97,102,131,146,134,1869
Metropolitan Statistical Area,138860,"Portland-South Portland-Biddeford, ME",74,94,102,99,80,111,109,79,74,92,163,133,146,168,164,143,1831
Metropolitan Statistical Area,123540,"Gainesville, FL",101,118,95,101,84,96,114,85,77,114,110,108,127,153,160,187,1830
Metropolitan Statistical Area,129540,"Lancaster, PA",111,114,92,124,134,102,116,95,77,101,120,119,112,121,122,148,1808
Metropolitan Statistical Area,136540,"Omaha-Council Bluffs, NE-IA",95,88,88,93,88,70,79,79,102,89,103,98,137,156,215,178,1758
Metropolitan Statistical Area,116580,"Champaign-Urbana, IL",62,57,57,67,95,58,107,97,78,107,121,136,160,165,187,166,1720
Metropolitan Statistical Area,148620,"Wichita, KS",97,74,94,107,110,88,120,73,73,88,105,105,132,133,139,110,1648
Metropolitan Statistical Area,127060,"Ithaca, NY",92,85,83,100,105,78,98,87,74,83,123,115,128,127,120,140,1638
Metropolitan Statistical Area,129140,"Lafayette, IN",88,75,85,80,65,69,61,77,59,84,122,101,116,150,187,191,1610
Metropolitan Statistical Area,140420,"Rockford, IL",101,104,83,85,59,58,85,91,65,68,93,117,116,140,133,155,1553
Metropolitan Statistical Area,122420,"Flint, MI",81,84,110,100,87,93,105,90,64,94,84,85,93,108,116,120,1514
Metropolitan Statistical Area,149180,"Winston-Salem, NC",82,89,90,78,86,61,69,80,65,72,101,102,120,132,138,147,1512
Metropolitan Statistical Area,128020,"Kalamazoo-Portage, MI",109,113,104,103,101,111,97,67,77,58,73,88,74,105,104,100,1484
Metropolitan Statistical Area,149620,"York-Hanover, PA",83,81,107,93,72,66,88,68,92,67,113,112,97,90,118,114,1461
Metropolitan Statistical Area,113820,"Birmingham-Hoover, AL",64,94,98,109,91,82,88,69,56,74,92,86,79,92,109,112,1395
Metropolitan Statistical Area,112940,"Baton Rouge, LA",167,147,103,115,85,73,59,68,61,45,51,64,70,77,92,82,1359
Metropolitan Statistical Area,143780,"South Bend-Mishawaka, IN-MI",69,82,70,91,73,70,76,66,66,61,79,90,105,104,125,110,1337
Metropolitan Statistical Area,139540,"Racine, WI",89,78,114,96,90,74,82,66,71,67,78,78,70,71,106,97,1327
Metropolitan Statistical Area,128700,"Kingsport-Bristol-Bristol, TN-VA",126,122,122,101,84,53,43,76,64,67,65,96,68,76,81,75,1319
Metropolitan Statistical Area,138940,"Port St. Lucie, FL",43,60,41,46,57,54,52,69,33,77,113,138,128,139,122,93,1265
Metropolitan Statistical Area,129620,"Lansing-East Lansing, MI",84,79,104,88,56,71,63,73,68,72,80,79,68,88,71,93,1237
Metropolitan Statistical Area,121500,"Erie, PA",103,97,86,73,60,64,71,61,54,57,63,77,72,102,86,91,1217
Metropolitan Statistical Area,144060,"Spokane, WA",53,56,72,62,72,56,79,68,59,49,73,73,93,117,105,104,1191
Metropolitan Statistical Area,142020,"San Luis Obispo-Paso Robles, CA",73,59,56,99,85,69,77,43,52,56,68,64,77,89,106,117,1190
Metropolitan Statistical Area,125860,"Hickory-Lenoir-Morganton, NC",73,78,75,74,62,71,65,69,63,45,73,49,79,86,109,106,1177
Metropolitan Statistical Area,128740,"Kingston, NY",78,70,76,62,71,58,70,79,59,69,82,90,66,84,82,77,1173
Metropolitan Statistical Area,139740,"Reading, PA",130,116,104,96,87,62,60,46,60,37,60,56,63,53,66,61,1157
Metropolitan Statistical Area,116820,"Charlottesville, VA",72,70,50,65,50,38,52,55,56,47,82,101,95,94,103,92,1122
Metropolitan Statistical Area,117900,"Columbia, SC",69,76,58,63,67,48,62,41,40,53,61,86,96,110,91,94,1115
Metropolitan Statistical Area,135660,"Niles-Benton Harbor, MI",48,36,29,40,34,33,55,48,40,52,74,104,108,132,133,137,1103
Metropolitan Statistical Area,121660,"Eugene-Springfield, OR",73,75,66,71,43,56,62,68,52,57,84,56,80,84,87,79,1093
Metropolitan Statistical Area,121780,"Evansville, IN-KY",66,38,65,44,57,52,47,57,56,52,81,69,89,97,92,118,1080
Metropolitan Statistical Area,119340,"Davenport-Moline-Rock Island, IA-IL",44,70,74,84,80,45,57,59,56,49,71,92,69,80,73,76,1079
Metropolitan Statistical Area,128420,"Kennewick-Pasco-Richland, WA",59,56,65,93,74,64,79,40,48,51,74,69,72,69,82,84,1079
Metropolitan Statistical Area,116700,"Charleston-North Charleston-Summerville, SC",82,65,93,63,71,52,52,41,36,46,55,62,82,96,95,69,1060
Metropolitan Statistical Area,111180,"Ames, IA",65,75,42,58,62,46,64,61,51,69,71,58,64,77,78,84,1025
Metropolitan Statistical Area,113980,"Blacksburg-Christiansburg-Radford, VA",42,36,55,58,65,69,71,66,63,51,61,53,63,87,95,84,1019
Metropolitan Statistical Area,143900,"Spartanburg, SC",59,73,86,99,76,76,83,50,43,56,47,53,44,43,59,60,1007
Metropolitan Statistical Area,141500,"Salinas, CA",54,57,68,51,59,64,55,54,47,45,57,73,55,89,90,74,992
Metropolitan Statistical Area,126180,"Honolulu, HI",52,71,57,50,47,32,54,46,56,43,77,63,73,88,93,88,990
Metropolitan Statistical Area,144300,"State College, PA",56,72,64,60,55,42,43,51,47,36,66,64,73,93,94,72,988
Metropolitan Statistical Area,130700,"Lincoln, NE",83,64,62,46,52,51,51,64,51,50,59,50,70,84,77,72,986
Metropolitan Statistical Area,112540,"Bakersfield-Delano, CA",66,68,56,61,74,48,43,60,58,55,51,70,61,66,56,85,978
Metropolitan Statistical Area,126980,"Iowa City, IA",42,70,53,47,38,34,52,42,53,51,85,58,79,65,90,85,944
Metropolitan Statistical Area,121300,"Elmira, NY",46,78,76,84,75,51,37,44,28,29,48,60,53,69,81,75,934
Metropolitan Statistical Area,114020,"Bloomington, IN",21,27,29,40,26,27,29,24,22,38,91,77,112,110,131,129,933
Metropolitan Statistical Area,149660,"Youngstown-Warren-Boardman, OH-PA",67,62,80,51,57,43,61,46,55,54,71,57,47,50,52,66,919
Metropolitan Statistical Area,142540,"Scranton--Wilkes-Barre, PA",80,67,68,60,69,51,51,58,60,54,48,50,48,54,49,42,908
Metropolitan Statistical Area,140220,"Roanoke, VA",60,54,46,40,40,48,51,46,40,36,50,67,67,56,95,98,894
Metropolitan Statistical Area,144700,"Stockton, CA",56,51,58,52,40,36,46,41,32,34,54,62,60,80,84,94,880
Metropolitan Statistical Area,134940,"Naples-Marco Island, FL",42,32,43,59,32,43,69,53,28,39,46,61,65,86,88,81,867
Metropolitan Statistical Area,111700,"Asheville, NC",59,63,70,53,56,60,53,38,31,49,38,42,52,67,71,57,859
Metropolitan Statistical Area,130860,"Logan, UT-ID",48,42,32,35,34,45,46,34,34,64,68,55,67,57,78,89,828
Metropolitan Statistical Area,119660,"Deltona-Daytona Beach-Ormond Beach, FL",59,52,51,51,44,37,42,44,36,44,49,46,60,65,76,62,818
Metropolitan Statistical Area,118020,"Columbus, IN",60,51,47,52,42,39,37,33,30,38,48,45,43,64,96,91,816
Metropolitan Statistical Area,129180,"Lafayette, LA",56,56,51,53,46,41,40,43,39,44,38,54,59,59,74,62,815
Metropolitan Statistical Area,129020,"Kokomo, IN",44,45,46,57,59,50,55,66,62,65,55,39,42,58,34,36,813
Metropolitan Statistical Area,117780,"College Station-Bryan, TX",44,46,63,51,46,37,48,53,29,33,50,45,65,60,61,67,798
Metropolitan Statistical Area,130780,"Little Rock-North Little Rock-Conway, AR",75,73,48,37,37,49,46,36,30,36,58,48,54,52,56,61,796
Metropolitan Statistical Area,145220,"Tallahassee, FL",31,26,50,42,40,46,37,34,25,36,72,55,72,96,65,52,779
Metropolitan Statistical Area,146700,"Vallejo-Fairfield, CA",37,48,38,42,45,38,44,38,45,45,60,50,62,63,56,67,777
Metropolitan Statistical Area,115980,"Cape Coral-Fort Myers, FL",42,49,39,46,50,39,47,26,39,33,44,37,49,76,65,85,766
Metropolitan Statistical Area,122020,"Fargo, ND-MN",47,40,30,21,17,30,31,39,43,35,55,54,53,84,107,75,761
Metropolitan Statistical Area,140980,"Saginaw-Saginaw Township North, MI",40,26,62,64,55,33,41,35,27,34,49,55,55,58,64,60,758
Metropolitan Statistical Area,148900,"Wilmington, NC",33,56,44,46,44,23,33,41,32,52,38,49,56,63,81,54,745
Metropolitan Statistical Area,123420,"Fresno, CA",58,40,44,36,40,39,33,27,25,31,39,56,53,73,78,72,744
Metropolitan Statistical Area,112260,"Augusta-Richmond County, GA-SC",38,50,61,44,29,29,31,41,41,39,56,52,61,58,56,54,740
Metropolitan Statistical Area,116860,"Chattanooga, TN-GA",60,71,53,44,53,43,36,35,37,29,40,33,45,47,57,45,728
Metropolitan Statistical Area,126820,"Idaho Falls, ID",37,38,44,35,39,43,61,61,32,36,69,51,39,61,46,34,726
Metropolitan Statistical Area,121140,"Elkhart-Goshen, IN",50,47,39,43,53,47,39,44,27,30,43,44,49,57,54,47,713
Metropolitan Statistical Area,113460,"Bend, OR",31,31,24,21,29,44,46,39,37,49,46,61,35,63,63,67,686
Metropolitan Statistical Area,122220,"Fayetteville-Springdale-Rogers, AR-MO",48,31,47,32,42,30,39,31,26,32,31,42,52,54,66,80,683
Metropolitan Statistical Area,112700,"Barnstable Town, MA",50,46,32,42,44,33,46,40,39,35,45,32,48,40,53,52,677
Metropolitan Statistical Area,143100,"Sheboygan, WI",33,43,50,38,45,38,37,23,27,44,47,35,37,40,60,60,657
Metropolitan Statistical Area,133780,"Monroe, MI",38,42,36,35,48,18,37,23,35,34,47,46,41,57,63,56,656
Metropolitan Statistical Area,113380,"Bellingham, WA",41,31,32,34,31,32,39,42,32,33,45,43,36,48,44,56,619
Metropolitan Statistical Area,112020,"Athens-Clarke County, GA",66,46,37,29,27,23,26,26,40,30,40,48,40,38,51,49,616
Metropolitan Statistical Area,141420,"Salem, OR",38,43,41,37,50,32,44,41,23,26,37,38,37,45,46,36,614
Metropolitan Statistical Area,142140,"Santa Fe, NM",30,37,29,40,34,20,46,27,30,33,63,47,41,46,40,50,613
Metropolitan Statistical Area,137860,"Pensacola-Ferry Pass-Brent, FL",52,31,27,42,28,44,28,40,31,29,33,40,35,37,48,48,593
Metropolitan Statistical Area,124580,"Green Bay, WI",45,54,42,35,31,36,50,32,28,29,30,31,30,37,28,42,580
Metropolitan Statistical Area,133700,"Modesto, CA",42,54,35,32,32,14,37,30,23,19,34,43,43,45,51,36,570
Metropolitan Statistical Area,122380,"Flagstaff, AZ",27,25,24,26,23,25,19,13,19,20,41,58,63,52,68,64,564
Metropolitan Statistical Area,121340,"El Paso, TX",29,32,46,45,51,36,39,33,25,16,23,23,28,29,38,34,527
Metropolitan Statistical Area,136500,"Olympia, WA",21,30,35,28,27,20,33,28,34,21,34,36,38,50,40,43,518
Metropolitan Statistical Area,120740,"Eau Claire, WI",36,34,29,32,45,40,33,20,24,23,33,22,28,30,38,43,510
Metropolitan Statistical Area,147940,"Waterloo-Cedar Falls, IA",23,33,42,32,32,32,31,24,21,31,25,29,30,46,28,49,508
Metropolitan Statistical Area,129460,"Lakeland-Winter Haven, FL",39,39,31,40,37,19,20,27,26,18,16,38,51,36,34,40,507
Metropolitan Statistical Area,131340,"Lynchburg, VA",37,38,41,31,23,26,17,27,26,21,23,31,25,51,42,46,505
Metropolitan Statistical Area,117860,"Columbia, MO",22,32,27,30,24,19,32,18,12,18,31,39,49,48,58,34,493
Metropolitan Statistical Area,116620,"Charleston, WV",43,49,44,34,19,28,20,25,12,22,22,19,32,45,33,26,473
Metropolitan Statistical Area,143580,"Sioux City, IA-NE-SD",32,34,50,42,43,38,40,22,24,18,25,17,26,22,15,25,473
Metropolitan Statistical Area,122500,"Florence, SC",42,30,34,27,37,26,47,30,20,20,25,21,25,31,33,23,471
Metropolitan Statistical Area,144180,"Springfield, MO",34,42,32,31,24,18,24,32,30,24,32,26,26,37,23,35,470
Metropolitan Statistical Area,134900,"Napa, CA",21,29,17,29,28,20,26,25,15,27,31,32,34,35,39,43,450
Metropolitan Statistical Area,127500,"Janesville, WI",21,33,24,21,18,17,23,21,19,21,27,38,39,44,39,39,444
Metropolitan Statistical Area,114060,"Bloomington-Normal, IL",22,13,22,32,13,23,14,18,27,23,13,23,24,39,57,74,437
Metropolitan Statistical Area,111340,"Anderson, SC",23,31,25,28,22,19,26,14,20,13,19,25,34,43,41,45,428
Metropolitan Statistical Area,129940,"Lawrence, KS",24,10,30,18,11,16,17,18,14,20,23,25,46,38,62,52,424
Metropolitan Statistical Area,127140,"Jackson, MS",42,32,20,37,28,23,13,24,13,18,23,31,29,27,28,27,415
Metropolitan Statistical Area,120220,"Dubuque, IA",17,28,18,14,8,16,13,18,15,14,27,25,25,46,63,61,408
