CBSA,Name,Size_Category,I5HGC_Density
15980,"Cape Coral-Fort Myers, FL",Medium,60.1
16180,"Carson City, NV",Small,55.1
16300,"Cedar Rapids, IA",Medium,154.7
16540,"Chambersburg-Waynesboro, PA",Small,40.0
16580,"Champaign-Urbana, IL",Small,25.9
16660,"Charleston-Mattoon, IL",Micro,46.3
16700,"Charleston-North Charleston, SC",Medium,165.2
16740,"Charlotte-Concord-Gastonia, NC-SC",Large,114.4
16820,"Charlottesville, VA",Small,150.5
16860,"Chattanooga, TN-GA",Medium,53.0
16940,"Cheyenne, WY",Small,31.4
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Large,118.5
17020,"Chico, CA",Small,18.3
17140,"Cincinnati, OH-KY-IN",Large,104.9
17200,"Claremont-Lebanon, NH-VT",Micro,18.4
17220,"Clarksburg, WV",Micro,63.8
17460,"Cleveland-Elyria, OH",Large,110.9
17660,"Coeur d'Alene, ID",Small,121.9
17780,"College Station-Bryan, TX",Small,35.4
17820,"Colorado Springs, CO",Medium,40.5
17860,"Columbia, MO",Small,164.2
17900,"Columbia, SC",Medium,43.1
17980,"Columbus, GA-AL",Medium,20.2
18020,"Columbus, IN",Small,103.7
18060,"Columbus, MS",Micro,67.0
18140,"Columbus, OH",Large,117.2
18180,"Concord, NH",Micro,20.4
18260,"Cookeville, TN",Micro,9.6
18460,"Cornelia, GA",Micro,93.2
18580,"Corpus Christi, TX",Medium,11.6
18700,"Corvallis, OR",Small,23.6
18880,"Crestview-Fort Walton Beach-Destin, FL",Small,116.2
19100,"Dallas-Fort Worth-Arlington, TX",Large,130.1
19180,"Danville, IL",Small,12.2
19300,"Daphne-Fairhope-Foley, AL",Small,42.0
19340,"Davenport-Moline-Rock Island, IA-IL",Medium,15.8
19380,"Dayton, OH",Medium,43.7
19460,"Decatur, AL",Small,32.6
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Medium,11.8
19740,"Denver-Aurora-Lakewood, CO",Large,181.1
19780,"Des Moines-West Des Moines, IA",Medium,69.1
19820,"Detroit-Warren-Dearborn, MI",Large,82.3
19860,"Dickinson, ND",Micro,35.2
20100,"Dover, DE",Small,6.1
20260,"Duluth, MN-WI",Medium,25.1
20340,"Duncan, OK",Micro,66.9
20420,"Durango, CO",Micro,19.6
20500,"Durham-Chapel Hill, NC",Medium,137.4
20660,"Easton, MD",Micro,80.4
20700,"East Stroudsburg, PA",Small,11.8
20780,"Edwards, CO",Micro,97.3
20820,"Effingham, IL",Micro,175.2
20900,"El Campo, TX",Micro,24.3
20940,"El Centro, CA",Small,29.2
20980,"El Dorado, AR",Micro,24.6
21020,"Elizabeth City, NC",Micro,31.7
21060,"Elizabethtown-Fort Knox, KY",Small,27.7
21120,"Elk City, OK",Micro,45.3
21140,"Elkhart-Goshen, IN",Small,80.8
21340,"El Paso, TX",Medium,8.7
21460,"Enterprise, AL",Micro,19.9
21500,"Erie, PA",Medium,7.1
21660,"Eugene, OR",Medium,48.5
21780,"Evansville, IN-KY",Medium,25.6
21820,"Fairbanks, AK",Small,21.1
21840,"Fairfield, IA",Micro,57.2
21860,"Fairmont, MN",Micro,97.3
22020,"Fargo, ND-MN",Small,136.0
22180,"Fayetteville, NC",Medium,27.0
22220,"Fayetteville-Springdale-Rogers, AR-MO",Medium,59.5
22300,"Findlay, OH",Micro,80.0
22420,"Flint, MI",Medium,9.3
22500,"Florence, SC",Small,34.2
22520,"Florence-Muscle Shoals, AL",Small,13.7
22540,"Fond du Lac, WI",Small,29.6
22580,"Forest City, NC",Micro,14.8
22660,"Fort Collins, CO",Medium,126.4
22700,"Fort Dodge, IA",Micro,26.5
22900,"Fort Smith, AR-OK",Medium,3.6
23060,"Fort Wayne, IN",Medium,66.9
23180,"Frankfort, KY",Micro,14.3
23420,"Fresno, CA",Medium,31.3
23460,"Gadsden, AL",Small,9.6
23540,"Gainesville, FL",Medium,34.1
23580,"Gainesville, GA",Small,27.0
23860,"Georgetown, SC",Micro,82.9
23900,"Gettysburg, PA",Small,9.9
23940,"Gillette, WY",Micro,41.7
24020,"Glens Falls, NY",Small,7.8
24060,"Glenwood Springs, CO",Micro,27.4
24220,"Grand Forks, ND-MN",Small,20.3
24260,"Grand Island, NE",Small,12.2
24300,"Grand Junction, CO",Small,27.3
24340,"Grand Rapids-Wyoming, MI",Medium,94.2
24420,"Grants Pass, OR",Small,24.0
24500,"Great Falls, MT",Small,12.2
24540,"Greeley, CO",Medium,27.4
24580,"Green Bay, WI",Medium,13.0
24620,"Greeneville, TN",Micro,72.8
24660,"Greensboro-High Point, NC",Medium,66.3
24780,"Greenville, NC",Small,54.0
24860,"Greenville-Anderson-Mauldin, SC",Medium,87.9
24940,"Greenwood, SC",Micro,21.0
