pl_code,stco_name,cbsa_name,population,unweighted_total,total,ptotal,pemployed,punemployed,pnilf,plw1,plw5,plw5plus,pmale,med_age,pa1821,pa2224,pwhiteNH,pblackNH,platino,pasianNH,potherNH,pinsch,plths,phs,psc,paa,pbaplus,pdis,pdiss,pdish,pdisv,pdisi,pdisw,pdisc,pfb,plep,pmar_1,pnospouse_kids,pchildren,pwparents,pgroupquarters,med_fam_income_adj,ppoor,psafetynet,psnap,pmedicaid,occ1,pocc1,occ2,pocc2,occ3,pocc3,ind1,pind1,ind2,pind2,ind3,pind3,fb1,pfb1,fb2,pfb2,fb3,pfb3,lsh1,plsh1,lsh2,plsh2,lsh3,plsh3,stco_code,cbsa_code
24033c,"Prince George's County, MD","Washington-Arlington-Alexandria, DC-VA-MD-WV",Cluster 5,26,985.354402154039,0.06106805442477586,0,0.465418487787247,0.534581542015076,0.311515599489212,0.36801689863205,0.3204675018787384,0.413201928138733,22,0.198014706373215,0.801985263824463,0.0240184310823679,0.648858666419983,0.0622449479997158,0.0253715813159943,0.239506363868713,0.239971980452538,0,0,0,0,1,0.0334387198090553,0,0,0,0,0,0.0334387198090553,0.348934590816498,0.207341089844704,0.0385648049414158,0,0,0.803254425525665,0,95335.1066676211,0.175152629613876,0.296075582504272,0.12696099281311035,0.16911457479000092,(None reported),0.320467501878738,Service,0.2593526542186737,Professional and Related,0.22838667035102844,Education and Health Services,0.335717707872391,(None reported),0.3000698685646057,Leisure and Hospitality,0.12380155920982361,United States,0.617626667022705,Afghanistan,0.14509615302085876,Nigeria,0.07765709608793259,English,0.685477614402771,Arabic,0.14509615302085876,Spanish,0.06224494427442551,24033,47900
24033c,"Prince George's County, MD","Washington-Arlington-Alexandria, DC-VA-MD-WV",Cluster 2,106,4936.21109668345,0.3059252663259758,0,0.461332321166992,0.538667678833008,0.429185926914215,0.212376490235329,0.35843759775161743,0.516295433044434,23,0,1,0.0431929938495159,0.643343031406403,0.267753809690475,0,0.0457101613283157,0,0.210701420903206,0.789298593997955,0,0,0,0.0692148804664612,0.020912192761898,0.000400497316149995,0.0230700578540564,0.0403192825615406,0.0115572279319167,0.0512769669294357,0.27124035358429,0.168770641088486,0.14039671421051,0.118586048483849,0.167923331260681,0.682224571704865,0.00562556693330407,60075.84,0.196355015039444,0.553352475166321,0.44858911633491516,0.3138411343097687,(None reported),0.475023061037064,Service,0.20545729994773865,Sales and Related,0.1416427493095398,(None reported),0.289053529500961,"Trade, Transportation, and Utilities",0.22846980392932892,Leisure and Hospitality,0.1415754109621048,United States,0.701859593391418,El Salvador,0.13784652948379517,Guatemala,0.041847411543130875,English,0.730224788188934,Spanish,0.22568243741989136,French Creole,0.01767740026116371,24033,47900
24033c,"Prince George's County, MD","Washington-Arlington-Alexandria, DC-VA-MD-WV",Cluster 4,51,1719.02979848129,0.10653811974856947,0,0.684799551963806,0.315200418233871,0.462135970592499,0.426846593618393,0.11101742088794708,0.408532202243805,23,0,1,0.0935623124241829,0.678447127342224,0.16226701438427,0.0381955690681934,0.0275279860943556,0.320422112941742,0,0,0.944671213626862,0.0553288087248802,0,0.0393090210855007,0.0120753366500139,0,0,0.0180334281176329,0,0.0272336844354868,0.0631861016154289,0.00780935818329453,0.129795745015144,0.201131582260132,0.303974151611328,0.828283667564392,0,75094.8,0.148747742176056,0.426234751939774,0.36114832758903503,0.2978273332118988,(None reported),0.238323017954826,Sales and Related,0.21013841032981873,Service,0.20839440822601318,"Trade, Transportation, and Utilities",0.269162654876709,Leisure and Hospitality,0.20752161741256714,Education and Health Services,0.10905303806066513,United States,0.93681389093399,Philippines,0.027918456122279167,Mexico,0.026067394763231277,English,0.832437455654144,Spanish,0.113653764128685,Tagalog,0.027918456122279167,24033,47900
24033c,"Prince George's County, MD","Washington-Arlington-Alexandria, DC-VA-MD-WV",Cluster 1,146,6305.25173879209,0.39077255402191147,0,0.447425544261932,0.552574455738068,0.272047966718674,0.15791442990303,0.5700376033782959,0.531949102878571,19,1,0,0.0405845418572426,0.77593582868576,0.173234939575195,0.00708004925400019,0.00316464435309172,0.0680765509605408,0.269490629434586,0.730509400367737,0,0,0,0.0827863290905952,0,0.0139002082869411,0,0.00692649697884917,0.00308719673193991,0.0633142217993736,0.188589602708817,0.0533776581287384,0.0579291060566902,0.0785033479332924,0.113386206328869,0.759642958641052,0.00153128488454968,69361.0297844751,0.145967692136765,0.444946110248566,0.3461495637893677,0.2841973602771759,(None reported),0.636847317218781,Service,0.14654423296451569,Sales and Related,0.13545052707195282,(None reported),0.394240111112595,Unclassified,0.1757974922657013,"Trade, Transportation, and Utilities",0.15434536337852478,United States,0.808695793151855,El Salvador,0.034503839910030365,Africa (not specified),0.028389032930135727,English,0.780281841754913,Spanish,0.12018207460641861,French,0.03918802738189697,24033,47900
24033c,"Prince George's County, MD","Washington-Arlington-Alexandria, DC-VA-MD-WV",Cluster 3,56,2189.5024757654,0.13569600547876792,0,0.731432378292084,0.268567591905594,0.507464647293091,0.216633483767509,0.2759018540382385,0.476707577705383,20,1,0,0.129397481679916,0.612776458263397,0.0841749683022499,0.0905271545052528,0.0831239074468613,0.471850663423538,0,0,0.954744338989258,0.045255646109581,0,0.00809691566973925,0,0,0.00413863454014063,0,0,0.00395828112959862,0.18130199611187,0.0199010614305735,0.00842722691595554,0,0,0.817078709602356,0,84981.5090617826,0.154582589864731,0.166288644075394,0.09332409501075745,0.14573602378368378,(None reported),0.3344866335392,Office and Administrative Support,0.21423572301864624,Service,0.19311928749084473,"Trade, Transportation, and Utilities",0.189936816692352,(None reported),0.18429680168628693,Leisure and Hospitality,0.18338726460933685,United States,0.796166300773621,Pakistan,0.0513157956302166,Nigeria,0.026977764442563057,English,0.847719490528107,Urdu,0.0513157956302166,Spanish,0.04570971056818962,24033,47900
24510a,"Baltimore, MD","Baltimore-Columbia-Towson, MD",Out-of-work population,344,13815.4951336971,NA,0,0.496278166770935,0.503721833229065,0.302876025438309,0.291894614696503,0.4052293598651886,0.525401055812836,21,0.547633349895477,0.4523666203022,0.0810844302177429,0.845412075519562,0.0522617287933826,0.00478912703692913,0.0164526458829641,0.125241428613663,0.223914384841919,0.477589815855026,0.245171025395393,0.0145039027556777,0.0388208813965321,0.0766379907727242,0.00795806385576725,0.00785786006599665,0.0127459308132529,0.0177204329520464,0.0175860673189163,0.0523832440376282,0.0371965654194355,0.0172544624656439,0.0337766706943512,0.159443944692612,0.175806254148483,0.660938084125519,0.00623907335102558,33264.7764662828,0.43924555182457,0.634401023387909,0.5346071124076843,0.38335341215133667,(None reported),0.501809179782867,Service,0.17748114466667175,Sales and Related,0.1263914853334427,(None reported),0.315385699272156,Leisure and Hospitality,0.153656467795372,"Trade, Transportation, and Utilities",0.14531801640987396,United States,0.95561820268631,Trinidad & Tobago,0.009958612732589245,Germany,0.006051186006516218,English,0.954290151596069,Spanish,0.029434973374009132,"Kru, Ibo, Yoruba",0.008042770437896252,24510,12580
24510a,"Baltimore, MD","Baltimore-Columbia-Towson, MD",Universe population,2056,66448.9562275906,NA,0.465197890996933,0.115859776735306,0.418942332267761,0.579290986061096,0.0912081301212311,0.32950088381767273,0.465563595294952,21,0.553466081619263,0.446533918380737,0.24369178712368,0.629657030105591,0.0493436418473721,0.0435019135475159,0.0338055975735188,0.504608154296875,0.148204565048218,0.29109188914299,0.397888123989105,0.0243891458958387,0.138426259160042,0.0594126991927624,0.0107507156208158,0.00763159058988094,0.00954668875783682,0.0264486633241177,0.013161962851882,0.0377618558704853,0.0644992589950562,0.0222818069159985,0.0293694920837879,0.0812135487794876,0.0908520370721817,0.464656054973602,0.180430129170418,41926.9447602764,0.453020840883255,0.404014855623245,0.3147306442260742,0.263963520526886,(None reported),0.392542272806168,Service,0.1857651323080063,Sales and Related,0.14836817979812622,(None reported),0.311091363430023,"Trade, Transportation, and Utilities",0.18257060647010803,Leisure and Hospitality,0.1584480106830597,United States,0.927329480648041,China,0.00851653516292572,Nigeria,0.00644433731213212,English,0.911684632301331,Spanish,0.03568026050925255,Chinese,0.008247469551861286,24510,12580
24510a,"Baltimore, MD","Baltimore-Columbia-Towson, MD",Cluster 2,97,3790.57683873888,0.27437140703653573,0,0.37793031334877,0.622069716453552,0.20552097260952,0.395014703273773,0.39946433901786804,0.527363240718842,23,0,1,0.083991639316082,0.834569990634918,0.0765285640954971,0,0.00490979105234146,0.0120253199711442,0.370049834251404,0.629950165748596,0,0,0,0.103436030447483,0.0203909780830145,0.0227652881294489,0.0331764817237854,0.0278494767844677,0.0237325988709927,0.0686766728758812,0.0293576531112194,0.0293576531112194,0.0272419806569815,0.280781269073486,0.283499181270599,0.597150444984436,0.00508802849799395,25932.7376,0.60307365655899,0.750363886356354,0.687125563621521,0.38906756043434143,(None reported),0.532731115818024,Office and Administrative Support,0.16515551507472992,Service,0.12928590178489685,(None reported),0.345774292945862,Leisure and Hospitality,0.18808101117610931,"Trade, Transportation, and Utilities",0.1594468504190445,United States,0.966509282588959,Dominican Republic,0.016870547086000443,El Salvador,0.012487105093896389,English,0.970642328262329,Spanish,0.029357653111219406,English,NA,24510,12580
24510a,"Baltimore, MD","Baltimore-Columbia-Towson, MD",Cluster 5,16,536.329675656407,0.03882087977782691,0,0.714567363262177,0.285432636737823,0.411109626293182,0.423712551593781,0.1651778370141983,0.641521811485291,24,0.106193400919437,0.893806576728821,0.394246220588684,0.419184476137161,0,0.0799890235066414,0.106580287218094,0.391859859228134,0,0,0,0,1,0,0,0,0,0,0,0,0.012393057346344,0,0.0465760119259357,0.0428499691188335,0.0770329236984253,0.635311663150787,0,41209.3686885846,0.29450798034668,0.469888806343079,0.43509671092033386,0.015525350347161293,Service,0.485433965921402,"Management, Business, and Financial",0.19810348749160767,(None reported),0.1819084733724594,Professional and Business Services,0.335238695144653,Education and Health Services,0.30978256464004517,Leisure and Hospitality,0.1326836347579956,United States,0.987607002258301,Canada,0.012393057346343994,.,NA,English,0.906300723552704,Mandarin,0.04957222938537598,Hebrew,0.026103349402546883,24510,12580
24510a,"Baltimore, MD","Baltimore-Columbia-Towson, MD",Cluster 4,48,1979.71710776305,0.14329686258832408,0,0.677340865135193,0.322659134864807,0.577639400959015,0.291044294834137,0.13131628930568695,0.524495244026184,23,0,1,0.0339634530246258,0.933087229728699,0.0211982820183039,0.0117510100826621,0,0.292278796434402,0,0,0.928329646587372,0.07167037576437,0,0.0478093102574348,0,0,0,0.0365372076630592,0.0365372076630592,0.011272101663053,0.0539136938750744,0,0.102703019976616,0.126317963004112,0.201792240142822,0.622648358345032,0,41926.9447602764,0.368803799152374,0.491567105054855,0.45008769631385803,0.3694075644016266,Office and Administrative Support,0.39026927947998,(None reported),0.21923092007637024,Service,0.21036626398563385,"Trade, Transportation, and Utilities",0.313130140304565,Professional and Business Services,0.25920990109443665,(None reported),0.0978364646434784,United States,0.946086287498474,Africa (not specified),0.029881136491894722,Jamaica,0.01228154357522726,English,0.937169551849365,"Kru, Ibo, Yoruba",0.029881136491894722,Spanish,0.021198280155658722,24510,12580
24510a,"Baltimore, MD","Baltimore-Columbia-Towson, MD",Cluster 3,42,1607.8205044751,0.11637805876052139,0,0.610129237174988,0.389870762825012,0.543983399868011,0.265243798494339,0.19077280163764954,0.576933264732361,20,1,0,0.0989851057529449,0.760579347610474,0.111704096198082,0,0.0287314485758543,0.453350961208344,0,0,0.963620603084564,0.0363793894648552,0,0.115425378084183,0,0.0138489715754986,0,0,0.0420859567821026,0.0733394250273705,0.0105733191594481,0,0,0.149394914507866,0.149394914507866,0.626391887664795,0.00248586153611541,47660.1664,0.282389789819717,0.580806851387024,0.4606550335884094,0.3434261381626129,Service,0.315460413694382,(None reported),0.310621976852417,Sales and Related,0.17935247719287872,Education and Health Services,0.260413318872452,"Trade, Transportation, and Utilities",0.22385326027870178,Leisure and Hospitality,0.20648127794265747,United States,0.937430679798126,Germany,0.051995933055877686,Trinidad & Tobago,0.010573319159448147,English,0.907975614070892,Spanish,0.05970815569162369,"Kru, Ibo, Yoruba",0.03231620043516159,24510,12580
24510a,"Baltimore, MD","Baltimore-Columbia-Towson, MD",Cluster 1,141,5901.05100706363,0.42713279183679104,0,0.460695803165436,0.539304196834564,0.197703510522842,0.22122086584568,0.5810756087303162,0.499849945306778,20,1,0,0.0616857036948204,0.884815216064453,0.0356491655111313,0,0.0178499277681112,0.02829784527421,0.286522835493088,0.713477194309235,0,0,0,0.0654929727315903,0.00553308660164475,0,0.00852955412119627,0.0113399522379041,0.00220299744978547,0.0547604225575924,0.0461317673325539,0.0215379428118467,0.0228900909423828,0.105950318276882,0.114084459841251,0.726499736309052,0.0106612369418144,31539.816,0.413533926010132,0.63738477230072,0.4941844344139099,0.42867106199264526,(None reported),0.657913684844971,Sales and Related,0.13698767125606537,Service,0.13182395696640015,(None reported),0.441667765378952,Leisure and Hospitality,0.1475147306919098,Unclassified,0.13940785825252533,United States,0.953868269920349,Trinidad & Tobago,0.017779290676116943,Honduras,0.008134144358336926,English,0.966510593891144,Spanish,0.02667485736310482,French Creole,0.006814536172896624,24510,12580
25005c,"Bristol County, MA","Providence-Warwick, RI-MA",Cluster 4,42,1835.83097326846,0.23796088862342918,0,0.526414513587952,0.473585486412048,0.68378084897995,0.298788338899612,0.017430799081921577,0.581972301006317,23,0,1,0.774706840515137,0.0226955525577068,0.0968027114868164,0.0512054637074471,0.0545894168317318,0.155194878578186,0,0,0.660891115665436,0.126362130045891,0.212746769189835,0.190962687134743,0,0,0,0.0821598917245865,0,0.1855398863554,0.175695672631264,0.0874497666954994,0.0183386523276567,0.0643962025642395,0.0643962025642395,0.527954339981079,0.0821598917245865,59620.3204708477,0.30644103884697,0.565116941928864,0.2588129937648773,0.5522254109382629,Service,0.397787064313889,(None reported),0.22435262799263,Professional and Related,0.08830540627241135,Leisure and Hospitality,0.337691932916641,Education and Health Services,0.2540779411792755,"Trade, Transportation, and Utilities",0.1513584554195404,United States,0.824304342269897,Dominica,0.07673709094524384,Turkey,0.04775312542915344,English,0.850549221038818,Spanish,0.07673709094524384,Hindi,0.04049278795719147,25005,39300
25005c,"Bristol County, MA","Providence-Warwick, RI-MA",Out-of-work population,186,7714.84332525603,NA,0,0.627921760082245,0.372078269720078,0.511455357074738,0.281258016824722,0.20728664100170135,0.502686381340027,21,0.52169942855835,0.478300541639328,0.678806900978088,0.0399204902350903,0.128310695290565,0.0277240239083767,0.12523789703846,0.176950559020042,0.164421960711479,0.460667431354523,0.279555886983871,0.044729296118021,0.0506254136562347,0.117120862007141,0.00203071744181216,0.0256873462349176,0.0030971891246736,0.0553175397217274,0.00129049550741911,0.0867559909820557,0.0811763778328896,0.0627788156270981,0.0790837779641151,0.0856695398688316,0.112717188894749,0.649348556995392,0.0304221753031015,49963.0736,0.326854020357132,0.568287014961243,0.3707261383533478,0.5275773406028748,Service,0.311217546463013,(None reported),0.31109818816185,Sales and Related,0.1675989329814911,Leisure and Hospitality,0.244970366358757,"Trade, Transportation, and Utilities",0.19458745419979095,(None reported),0.13364388048648834,United States,0.903216958045959,Dominica,0.018260426819324493,Cabo Verde,0.016781935468316078,English,0.815652668476105,Spanish,0.0971437394618988,Portuguese,0.05956809222698212,25005,39300
25005c,"Bristol County, MA","Providence-Warwick, RI-MA",Universe population,1441,53289.6423115756,NA,0.659292817115784,0.111667118966579,0.229040086269379,0.817454218864441,0.0645794868469238,0.11796628683805466,0.504751801490784,21,0.559339821338654,0.440660178661346,0.780027210712433,0.0452186204493046,0.091139942407608,0.0249183643609285,0.0586958564817905,0.49003991484642,0.130995586514473,0.34380504488945,0.360882669687271,0.0487706176936626,0.115546077489853,0.0703126192092896,0.00730871548876166,0.00762829277664423,0.00853445567190647,0.0341828539967537,0.00677193095907569,0.0517774038016796,0.0573177970945835,0.0390998609364033,0.0364152938127518,0.0543848164379597,0.0693137645721436,0.63408887386322,0.12416984885931,81102.384,0.257323175668716,0.319890141487122,0.17013001441955566,0.27354979515075684,Service,0.305757224559784,(None reported),0.20544828474521637,Sales and Related,0.14771994948387146,"Trade, Transportation, and Utilities",0.22462785243988,Leisure and Hospitality,0.21786794066429138,Education and Health Services,0.18380361795425415,United States,0.935539960861206,Cabo Verde,0.007479136809706688,China,0.007295510731637478,English,0.83827143907547,Spanish,0.06703215092420578,Portuguese,0.06468325853347778,25005,39300
