"","young_less_educated_and_diverse_perc","less_educated_prime_age_people_perc","diverse_less_educated_and_eyeing_retirement_perc","moderately_educated_older_people_perc","highly_educated_and_engaged_younger_people_perc","highly_educated_high_income_older_people_perc","stco_code","co_name"
"110",0.01,0.24,0.08,0.1,0.2,0.28,"48141","El Paso, TX"
"111",0.12,0.23,0.01,0.07,0.11,0.04,"18097","Indianapolis, IN"
"112",0.09,0.2,0.01,0.2,0.19,0.02,"12031","Jacksonville, FL"
"113",0.05,0.1,0.01,0.23,0.23,0.15,"53033","King County (excluding Seattle), WA"
"114",0.11,0.21,0.01,0.08,0.18,0.29,"32003","Las Vegas, NV"
"115",0.01,0.37,0.01,0.21,0.22,0.02,"06037","Los Angeles County (excluding Los Angeles city), CA"
"116",0.01,0.29,0.05,0.19,0.06,0.25,"06037","Los Angeles, CA"
"117",0.06,0.11,0.04,0.22,0.03,0.26,"21111","Louisville/Jefferson County, KY"
"118",0.01,0.17,0.03,0.19,0.03,0.19,"36061","Manhattan, New York city"
"119",0.01,0.2,0.03,0.04,0.21,0.05,"04013","Maricopa County (excluding Phoenix), AZ"
"120",0.01,0.34,0.03,0.02,0.01,0.27,"55079","Milwaukee, WI"
"121",0.01,0.27,0.03,0.07,0.21,0.07,"47037","Nashville-Davidson, TN"
"122",0.15,0.17,0.04,0.03,0.23,0.22,"42101","Philadelphia, PA"
"123",0.1,0.19,0.02,0.06,0.22,0.24,"04013","Phoenix, AZ"
"124",0.04,0.1,0.01,0.14,0.04,0.08,"41051","Portland, OR"
"125",0.01,0.26,0.08,0.18,0.07,0.24,"36085","Queens and Staten Island, New York City"
"126",0.01,0.08,0.05,0.11,0.16,0.29,"06075","San Francisco, CA"
"127",0.03,0.02,0.01,0.13,0.03,0.23,"53033","Seattle, WA"
"128",0.14,0.15,0.04,0.18,0.22,0.12,"36005","The Bronx, New York City"
"129",0.11,0.12,0.01,0.21,0.22,0.11,"11001","Washington, DC"
"130",0.07,0.23,0.01,0.12,0.02,0.25,"26163","Wayne County (excluding Detroit), MI"
