cbsa_code,CBSA,CBSA.Title,Metropolitan.Division.Code,Metropolitan.Division.Title,Level,SOC.code,Occupation.title,Good.sub.BA.jobs,Promising.sub.BA.jobs,Good.and.promising.sub.BA.jobs,Good.high.skill.jobs,Promising.high.skill.jobs,Good.and.promising.high.skill.jobs,Other.jobs,Quality.unknown,Opportunity.jobs..sub.BA.,Opportunity.jobs..high.skill.,cbsa_name
38060,38060,"Phoenix-Mesa-Scottsdale, AZ",NA,NA,1,NA,Total,0.12074743,0.101872043,0.222619473,0.150687311,0.042781943,0.193469254,0.581850927,0.002060346,0.207645193,0.186992242,"Phoenix-Mesa-Scottsdale, AZ"
26420,26420,"Houston-The Woodlands-Sugar Land, TX",NA,NA,1,NA,Total,0.09919758,0.076820094,0.176017674,0.146144725,0.043151746,0.189296471,0.633436049,0.001249806,0.159000047,0.17720359,"Houston-The Woodlands-Sugar Land, TX"
47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",NA,NA,1,NA,Total,0.12947016,0.092222635,0.221692795,0.148360171,0.040474548,0.188834719,0.587782965,0.001689521,0.204217999,0.18102078,"Virginia Beach-Norfolk-Newport News, VA-NC"
28940,28940,"Knoxville, TN",NA,NA,1,NA,Total,0.180283537,0.128057909,0.308341446,0.152335423,0.035817594,0.188153017,0.49765253,0.005853007,0.284026215,0.182542965,"Knoxville, TN"
31140,31140,"Louisville/Jefferson County, KY-IN",NA,NA,1,NA,Total,0.143428158,0.107806344,0.251234501,0.142489392,0.043667451,0.186156843,0.558525913,0.004082759,0.235365444,0.179583103,"Louisville/Jefferson County, KY-IN"
24860,24860,"Greenville-Anderson-Mauldin, SC",NA,NA,1,NA,Total,0.154811935,0.116528343,0.271340278,0.144649175,0.041384149,0.186033324,0.539033895,0.003592503,0.251155465,0.178909382,"Greenville-Anderson-Mauldin, SC"
35380,35380,"New Orleans-Metairie, LA",NA,NA,1,NA,Total,0.132660726,0.095429137,0.228089863,0.140734416,0.045282325,0.186016741,0.584245895,0.001647502,0.208632868,0.177383996,"New Orleans-Metairie, LA"
49180,49180,"Winston-Salem, NC",NA,NA,1,NA,Total,0.152596247,0.111281006,0.263877253,0.148684996,0.036941054,0.18562605,0.54643725,0.004059447,0.245342669,0.179165165,"Winston-Salem, NC"
37100,37100,"Oxnard-Thousand Oaks-Ventura, CA",NA,NA,1,NA,Total,0.083365605,0.088738658,0.172104263,0.142694454,0.041144258,0.183838711,0.64060055,0.003458138,0.153794102,0.176219129,"Oxnard-Thousand Oaks-Ventura, CA"
24660,24660,"Greensboro-High Point, NC",NA,NA,1,NA,Total,0.170597567,0.122090227,0.292687794,0.143500861,0.038225484,0.181726345,0.521864433,0.003721428,0.273148308,0.174097314,"Greensboro-High Point, NC"
27260,27260,"Jacksonville, FL",NA,NA,1,NA,Total,0.133799292,0.105731254,0.239530546,0.139691574,0.041416518,0.181108093,0.575834168,0.003527193,0.2194666,0.174510626,"Jacksonville, FL"
46140,46140,"Tulsa, OK",NA,NA,1,NA,Total,0.141378048,0.104658522,0.24603657,0.137949181,0.041782112,0.179731292,0.570640788,0.00359135,0.229268283,0.172876098,"Tulsa, OK"
41700,41700,"San Antonio-New Braunfels, TX",NA,NA,1,NA,Total,0.121316319,0.108057741,0.22937406,0.14245919,0.035844106,0.178303296,0.590622706,0.001699941,0.21352094,0.172321301,"San Antonio-New Braunfels, TX"
45780,45780,"Toledo, OH",NA,NA,1,NA,Total,0.167937394,0.120917781,0.288855176,0.137966806,0.040201661,0.178168468,0.526798941,0.006177415,0.266776403,0.17158883,"Toledo, OH"
10900,10900,"Allentown-Bethlehem-Easton, PA-NJ",NA,NA,1,NA,Total,0.12020521,0.102570678,0.222775889,0.132831903,0.043932435,0.176764337,0.597015245,0.003444528,0.207541861,0.168862148,"Allentown-Bethlehem-Easton, PA-NJ"
32820,32820,"Memphis, TN-MS-AR",NA,NA,1,NA,Total,0.135504233,0.103787394,0.239291627,0.133673101,0.036697099,0.1703702,0.588040369,0.002297805,0.222309691,0.1649407,"Memphis, TN-MS-AR"
23420,23420,"Fresno, CA",NA,NA,1,NA,Total,0.18168546,0.149032906,0.330718366,0.144221141,0.024834915,0.169056056,0.497072552,0.003153836,0.303417433,0.164186773,"Fresno, CA"
49660,49660,"Youngstown-Warren-Boardman, OH-PA",NA,NA,1,NA,Total,0.188667786,0.130739777,0.319407563,0.132924192,0.03576079,0.168684982,0.50541266,0.006495203,0.291571135,0.160432858,"Youngstown-Warren-Boardman, OH-PA"
21340,21340,"El Paso, TX",NA,NA,1,NA,Total,0.175422475,0.143161492,0.318583967,0.143354526,0.022945398,0.166299925,0.509553959,0.005562149,0.291013533,0.161454496,"El Paso, TX"
12940,12940,"Baton Rouge, LA",NA,NA,1,NA,Total,0.124789476,0.085552286,0.210341763,0.121481018,0.044697727,0.166178745,0.618815702,0.00466379,0.198586386,0.157952276,"Baton Rouge, LA"
36260,36260,"Ogden-Clearfield, UT",NA,NA,1,NA,Total,0.130008601,0.10577744,0.235786042,0.130371471,0.031398942,0.161770414,0.594316999,0.008127763,0.220498924,0.157278382,"Ogden-Clearfield, UT"
32580,32580,"McAllen-Edinburg-Mission, TX",NA,NA,1,NA,Total,0.163936417,0.143460381,0.307396798,0.134387347,0.024552346,0.158939693,0.527496424,0.006167084,0.286519606,0.153937217,"McAllen-Edinburg-Mission, TX"
35840,35840,"North Port-Sarasota-Bradenton, FL",NA,NA,1,NA,Total,0.129616129,0.121994013,0.251610143,0.116245165,0.039804497,0.156049662,0.585399276,0.006940919,0.229180613,0.149207408,"North Port-Sarasota-Bradenton, FL"
15980,15980,"Cape Coral-Fort Myers, FL",NA,NA,1,NA,Total,0.154346905,0.133677803,0.288024708,0.117899913,0.031922424,0.149822337,0.556094573,0.006058382,0.263116219,0.144674752,"Cape Coral-Fort Myers, FL"
40140,40140,"Riverside-San Bernardino-Ontario, CA",NA,NA,1,NA,Total,0.169990599,0.137783134,0.307773733,0.123722489,0.025074398,0.148796886,0.54248253,9.47251e-4,0.286452833,0.1437046,"Riverside-San Bernardino-Ontario, CA"
29460,29460,"Lakeland-Winter Haven, FL",NA,NA,1,NA,Total,0.19242927,0.137487493,0.329916762,0.117411998,0.028411336,0.145823333,0.518296123,0.005964249,0.306008698,0.139935108,"Lakeland-Winter Haven, FL"
19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL",NA,NA,1,NA,Total,0.187791604,0.144208027,0.33199963,0.11216862,0.030650501,0.142819122,0.51938234,0.005798908,0.303492139,0.1370954,"Deltona-Daytona Beach-Ormond Beach, FL"
12540,12540,"Bakersfield, CA",NA,NA,1,NA,Total,0.170401226,0.131170625,0.301571851,0.121264557,0.018898083,0.14016264,0.556900812,0.001365608,0.272310087,0.135500165,"Bakersfield, CA"
29820,29820,"Las Vegas-Henderson-Paradise, NV",NA,NA,1,NA,Total,0.105973322,0.119610622,0.225583944,0.098899637,0.035815398,0.134715035,0.637580052,0.002120969,0.200564883,0.126249817,"Las Vegas-Henderson-Paradise, NV"
44700,44700,"Stockton-Lodi, CA",NA,NA,1,NA,Total,0.117843619,0.115907482,0.233751101,0.099177477,0.027834939,0.127012416,0.631841219,0.007395264,0.212647848,0.121674233,"Stockton-Lodi, CA"
